"Name","FileName","StartFrame","EndFrame","FaceFreezeFrame","Speed","TransitionInMs","TransitionOutMs","AutoFadeMs","Looping","Humanoid","Priority"
"string","string","int","int","int","int","int","int","int","boolean","boolean","string"
"Turret","jessie_tanuki_turret_redux_geo.glb","","-1","","","","","","","",""
"TurretSpawn","turret_jessie_spawn.glb","","-1","","","","","1","","","3"
"TurretIdle","turret_jessie_idle.glb","","-1","","","","","","true","",""
"TurretAttack","turret_jessie_attack.glb","","-1","","","","","1","","","4"
"GunslingerIdle","colt_idle.glb","","-1","","","100","100","","true","",""
"GunslingerWalk","colt_walk.glb","","-1","","125","100","100","","true","","1"
"GunslingerPrimary","colt_attack.glb","","-1","","","100","200","100","","","spine_lower_s#3"
"GunslingerSecondary","colt_attack.glb","","-1","","","200","200","100","","","spine_lower_s#3"
"GunslingerRecoil","colt_recoil1.glb","1","10","","","100","100","200","","","spine_lower_s#4"
"GunslingerRecoil2","colt_recoil2.glb","1","10","","","100","100","200","","","spine_lower_s#4"
"GunslingerReload","colt_idle.glb","1","3","","","800","800","800","","","spine_lower_s#4"
"GunslingerPushback","colt_pushback.glb","","-1","","","100","100","100","","","5"
"GunslingerWin","colt_win.glb","","-1","","","","","","","",""
"GunslingerWinloop","colt_idle.glb","","-1","","","","","","true","",""
"GunslingerLose","colt_loseloop.glb","","47","","","","","200","","",""
"GunslingerLoseloop","colt_loseloop.glb","48","85","","","","","200","true","",""
"GunslingerProfile","colt_win.glb","1","1","","","","","","","",""
"TntguyIdle","dynamike_idle.glb","","-1","","","100","100","","true","","0"
"TntguyWalk","dynamike_walk.glb","1","29","","150","100","100","","true","","1"
"TntguyPrimary","dynamike_win.glb","1","5","","","","","10","","","hips_s#3"
"TntguySecondary","dynamike_super.glb","1","5","","","","","10","true","","hips_s#3"
"TntguyRecoil","dynamike_attack.glb","5","20","","","","","100","","","hips_s#4"
"TntguyReload","dynamike_walk.glb","1","5","","150","66","66","6","","","spine_lower_s#0"
"TntguyUlti","dynamike_super.glb","5","20","","","","","100","","","hips_s#4"
"TntguyPushback","dynamike_pushback.glb","","-1","","","100","100","100","","","5"
"TntguyWin","dynamike_win.glb","1","62","","","","","","","",""
"TntguyWinloop","dynamike_win.glb","62","89","","80","","","","true","",""
"TntguyLose","dynamike_lose.glb","","100","","","","","","","",""
"TntguyLoseloop","dynamike_lose.glb","41","100","","","","","","true","",""
