"Name","LogicComponent","IntValues","BoolValues","StringValues","Effects"
"string","string","int","boolean","string","string"
"Stalker_Hunt","Stalker_Hunt","800","TRUE","","alli_def_footprint"
"","","","","","alli_def_target"
"","","","","","bull_sware"
"","","","","","alli_hunt_mode"
"","","","","","alli_hunts_you"
"Brawler_Dancer","Brawler_Dancer","","","",""
"Brawler_Bulletstorm","Brawler_Bulletstorm","","","",""
"Brawler_Shadowdemon","Brawler_Shadowdemon","","","",""
"Brawler_Mender","Brawler_Mender","50","","","glowbert_def_atk_beam_heal"
"","","5","","","glowbert_def_atk_beam_damage"
"","","300","","","glowbert_def_atk_beam_light"
"","","","","","glowbert_def_atk_heal"
"","","","","","glowbert_def_atk_damage_hit"
"Brawler_Mender_Gold","Brawler_Mender","50","","","glowbert_def_atk_beam_heal"
"","","5","","","glowbert_def_atk_beam_damage"
"","","300","","","glowbert_def_atk_beam_light"
"","","","","","glowbert_def_atk_heal"
"","","","","","glowbert_def_atk_damage_hit"
"Brawler_Mender_April","Brawler_Mender","50","","","glowbert_002_atk_beam_heal"
"","","5","","","glowbert_002_atk_beam_damage"
"","","300","","","glowbert_002_atk_beam_light"
"","","","","","glowbert_002_atk_heal"
"","","","","","glowbert_002_atk_hit"
"MegaBossBlackHoleShieldPet","MegaBossBlackHoleShieldPet","","","","glowbert_def_atk_beam_heal"
"","","","","","glowbert_def_atk_beam_light"
"","","","","","glowbert_def_atk_heal"
"Brawler_Rock","Brawler_Rock","","","sc/effects_brawler_bolt.sc","gen_move_fx"
"","","","","bolt_def_indicator","bolt_def_moving"
"","","","","bolt_def_indicator_needle","bolt_def_dash"
"","","","","","bolt_def_dash_loop"
"","","","","","bolt_def_dash_mid_loop"
"","","","","","bolt_def_atk_hit"
"","","","","","bolt_def_oc_dash"
"","","","","","bolt_def_oc_dash_loop"
"Brawler_KatanaKid","Brawler_KatanaKid","","","","nori_def_atk_max_hit"
"Friendship_Bond_Modifier","Friendship_Bond_Modifier","","","","bolt_def_oc_atk"
"SuperNovaCactus","SuperNovaCactus","","","",""
"SuperNovaBeeSniper","SuperNovaBeeSniper","","","",""
"SuperNovaFireDude","SuperNovaFireDude","","","",""
"SuperNovaVoodoo","SuperNovaVoodoo","","","",""
"SuperNovaMagicalGirl","SuperNovaMagicalGirl","","","",""
