"Name","Loop","AngleToSpawnOffset","FollowParent","FollowParentAngle","FollowBone","IgnoreInitialAngle","OwnScreenShake","OthersScreenShake","OwnHapticLevel","OthersHapticLevel","Time","Sound","Type","FileName","ExportName","ParticleEmitterName","Effect","Layer","FakeObject3D","GroundBasis","Scale","SWFScaleX","SWFScaleY","EnemyVersion","ChinaReplacement","TargetedAnimation","EffectZ","EffectSpace","TargetOffsetZ","UseForcedZ","ForcedZ"
"string","boolean","boolean","boolean","boolean","string","boolean","int","int","int","int","int","string","string","string","string","string","string","string","boolean","boolean","int","int","int","string","string","boolean","int","string","int","boolean","int"
"8bit_def_ulti_spawn",,,"true",,,,,,,,,,"ParticleEmitter",,,"jessie_def_spawncloud_blue",,"Above",,,100,,,"8bit_def_ulti_spawn_red",,,,,,,
,,,,,,,,,,,,"8bit_ulti","Sound",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"jessie_def_spawncloudground_blue",,"GroundHigh",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"twinkle_vertical",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"SWF","sc/effects_brawler.sc","jessie_def_spawn_blue",,,"Above",,,,100,100,,,,,,,,
"8bit_def_ulti_spawn_red",,,"true",,,,,,,,,,"ParticleEmitter",,,"jessie_def_spawncloud_red",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,"8bit_ulti","Sound",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"jessie_def_spawncloudground_red",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"twinkle_vertical",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"SWF","sc/effects_brawler.sc","jessie_def_spawn_red",,,"Above",,,,100,100,,,,,,,,
"actionshow_fragile_explo",,,,,,,,,,,,,"Effect",,,,"cacti_explo_debris",,,,,,,,,,,,,,
"actionshow_grass_explo",,,,,,,,,,,,,"Effect",,,,"grass_explo_yellow",,,,,,,,,,,,,,
"actionshow_grass_explo_yellow",,,,,,,,,,,,,"Effect",,,,"grass_explo_yellow",,,,,,,,,,,,,,
"actionshow_grass_hit",,,,,,,,,,,,,"Effect",,,,"grass_hit_yellow",,,,,,,,,,,,,,
"actionshow_grass_hit_yellow",,,,,,,,,,,,,"Effect",,,,"grass_hit_yellow",,,,,,,,,,,,,,
"actionshow_wall1_explo",,,,,,,,,,,,,"ParticleEmitter",,,"explo_dust_100",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"hay_hit_big",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"hay_on_ground",,"Above",,,100,,,,,,,,,,
"actionshow_wall1_hit",,,,,,,,,,,,,"ParticleEmitter",,,"hay_hit",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,"Bullet_rico_grass","Sound",,,,,,,,,,,,,,,,,,
"actionshow_wall2_explo",,,,,,,,,,,,,"Effect",,,,"actionshow_wall1_explo",,,,,,,,,,,,,,
"actionshow_wall2_hit",,,,,,,,,,,,,"Effect",,,,"actionshow_wall1_hit",,,,,,,,,,,,,,
"airhockey_barrel_explo",,,,,,,300,300,,,,,"ParticleEmitter",,,"explo_debris_airhockey",,"Above",,,80,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"fragile_explo_debris_candystand",,"Above",,,135,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"explo_dust_100",,"Above",,,100,,,,,,,,,,
,,,,,,,,,,,,,"ParticleEmitter",,,"ground_explosion_small_50",,"GroundHigh",,"true",100,,,,,,,,,,
"airhockey_barrel_hit",,,,,,,,,,,,,"ParticleEmitter",,,"fence_hit_debris1_candystand",,"Above",,,100,,,,,,,,,,
