"Name","RewardTID","RewardDescTID","RewardTypes","FileName","PanelAsset","HudAsset","ChooseRewardAsset","FeaturedAsset","RewardPanelFrame","FeaturedContainerFrame"
"String","String","String","int","String","String","String","String","String","String","String"
"BrawlerChoice","TID_LOGIN_CALENDAR_REWARD_BRAWLER_CHOICE","TID_LOGIN_CALENDAR_REWARD_DESC_BRAWLER_CHOICE",3,"sc/ui.sc","login_calendar_panel_reward_brawler_2","login_calendar_hud_brawler_2","login_calendar_choose_brawler","login_calendar_featured_reward_brawler_2","choose_brawler","2_brawlers"
"BrawlerChoiceLast","TID_LOGIN_CALENDAR_REWARD_BRAWLER_CHOICE","TID_LOGIN_CALENDAR_REWARD_DESC_BRAWLER_CHOICE",,"sc/ui.sc","login_calendar_panel_reward_last","login_calendar_hud_brawler_2","login_calendar_choose_brawler","login_calendar_featured_reward_brawler_2","choose_brawler","2_brawlers"
"LevelUpgrade","TID_LOGIN_CALENDAR_REWARD_LEVEL_UPGRADE","TID_LOGIN_CALENDAR_REWARD_DESC_LEVEL_UPGRADE",34,"sc/ui.sc","login_calendar_panel_reward_upgrade","login_calendar_hud_reward_upgrade",,"login_calendar_featured_reward_upgrade","brawler_upgrade","upgrade"
"Pin","TID_LOGIN_CALENDAR_REWARD_PIN","TID_LOGIN_CALENDAR_REWARD_DESC_PIN",19,"sc/ui.sc","login_calendar_panel_reward_pin_1","login_calendar_hud_reward_pin_1",,"login_calendar_featured_reward_pin_1","1_pin","1_pin"
"PinX2","TID_LOGIN_CALENDAR_REWARD_PIN_X2","TID_LOGIN_CALENDAR_REWARD_DESC_PIN_X2",20,"sc/ui.sc","login_calendar_panel_reward_pin_2","login_calendar_hud_reward_pin_2",,"login_calendar_featured_reward_pin_2","2_pins","2_pins"
"Skin","TID_LOGIN_CALENDAR_REWARD_SKIN","TID_LOGIN_CALENDAR_REWARD_DESC_SKIN",4,"sc/ui.sc","login_calendar_panel_reward_skin","login_calendar_hud_reward_skin",,"login_calendar_featured_reward_skin","skin","skin"
"GadgetStarPowerChoice","TID_LOGIN_CALENDAR_REWARD_GADGET_CHOICE","TID_LOGIN_CALENDAR_REWARD_DESC_GADGET_CHOICE",5,"sc/ui.sc","login_calendar_panel_reward_item_2","login_calendar_hud_reward_item_2","login_calendar_choose_item","login_calendar_featured_reward_item_2","item_2","item_2"
"HeroLvlUpMaterial","TID_LOGIN_CALENDAR_REWARD_HERO_LVL_UP_MATERIAL","TID_LOGIN_CALENDAR_REWARD_DESC_HERO_LVL_UP_MATERIAL",1,"sc/ui.sc",login_calendar_panel_reward_resource_coins,login_calendar_hud_reward_resource_coins,,,,
"PowerPoints","TID_LOGIN_CALENDAR_REWARD_POWER_POINTS","TID_LOGIN_CALENDAR_REWARD_DESC_POWER_POINTS",41,"sc/ui.sc",login_calendar_panel_reward_resource_power_points,login_calendar_hud_reward_resource_power_points,,,,
"RecruitTokens","TID_LOGIN_CALENDAR_REWARD_RECRUIT_TOKEN","TID_LOGIN_CALENDAR_REWARD_DESC_RECRUIT_TOKEN",38,"sc/ui.sc",login_calendar_panel_reward_resource_recruit_tokens,login_calendar_hud_reward_resource_recruit_tokens,,,,
"Bling","TID_LOGIN_CALENDAR_REWARD_BLING","TID_LOGIN_CALENDAR_REWARD_DESC_BLING",45,"sc/ui.sc",login_calendar_panel_reward_resource_cosmetic_coins,login_calendar_hud_reward_resource_cosmetic_coins,,,,
"Brawler","TID_LOGIN_CALENDAR_REWARD_BRAWLER","TID_LOGIN_CALENDAR_REWARD_DESC_BRAWLER",3,"sc/ui.sc",login_calendar_panel_reward_skin_single,login_calendar_hud_brawler_1,,,,
"OverchargeStarrDrop","TID_LOGIN_CALENDAR_REWARD_OVERCHARGE","TID_LOGIN_CALENDAR_REWARD_DESC_OVERCHARGE",47,"sc/ui.sc",login_calendar_panel_reward_random_reward,login_calendar_hud_reward_random_reward,,,,
"StarrDropContainer",TID_LOGIN_CALENDAR_REWARD_STARR_DROP_CONTAINER,TID_LOGIN_CALENDAR_REWARD_DESC_STARR_DROP_CONTAINER,49,"sc/ui.sc",login_calendar_panel_reward_random_reward,login_calendar_hud_reward_random_reward,,,,
"RandomStarrDrop","TID_LOGIN_CALENDAR_REWARD_STARR_DROP","TID_LOGIN_CALENDAR_REWARD_DESC_STARR_DROP",50,"sc/ui.sc","login_calendar_panel_reward_random_reward","login_calendar_hud_reward_random_reward",,,,
"Gems","TID_LOGIN_CALENDAR_REWARD_GEMS","TID_LOGIN_CALENDAR_REWARD_DESC_GEMS",16,"sc/ui.sc","login_calendar_panel_reward_resource_gems","login_calendar_panel_reward_resource_gems",,,,
"Gadget","TID_LOGIN_CALENDAR_REWARD_GADGET","TID_LOGIN_CALENDAR_REWARD_DESC_GADGET",5,"sc/ui.sc","login_calendar_featured_reward_item_1","login_calendar_hud_reward_item_1",,,,
"StarPower","TID_LOGIN_CALENDAR_REWARD_STARPOWER","TID_LOGIN_CALENDAR_REWARD_DESC_STARPOWER",5,"sc/ui.sc","login_calendar_featured_reward_sp_1","login_calendar_hud_reward_sp_1",,,,
"Overcharge","TID_LOGIN_CALENDAR_REWARD_OVERCHARGE","TID_LOGIN_CALENDAR_REWARD_DESC_OVERCHARGE",5,"sc/ui.sc","login_calendar_featured_reward_overcharge","login_calendar_hud_reward_overcharge",,,,
