"Name","OfferType","AcceptToOffers","AcceptToChallengeRewards","AcceptToChallengeFallbackRewards","AcceptToQuestRewards","AcceptToQuestFallbackRewards","IconFrameNumber","MaxResourcePerFrame","ShopItemAsset","ShopItemAssetBig","PopupItemAsset","PopupItemAssetHighlight","MiniOfferAsset","SeparatedSectionOfferAsset","SeparatedSectionTeaseAsset","SeasonalEventOfferAsset","LegendaryOfferAsset","ClubShopItemAsset","OfferAssetSolo","OfferAssetHalf","OfferAssetQuarter","OfferAssetHeroLayout","OfferAssetSoloHighlight","OfferAssetHalfHighlight","OfferAssetQuarterHighlight","OfferAssetHeroLayoutHighlight","FullscreenPreview","SoloOfferBgFrames","BrawlPassAssetPaid","BrawlPassAssetFree","BrawlPassAssetPlus","TrophyRankRewardProfile","SameSizeForCollected","TrophyRewardMediumThreshold","TrophyRewardLargeThreshold","TrophyRankRewardTiny","TrophyRankRewardSmall","TrophyRankRewardMedium","TrophyRankRewardLarge","TrophyWorldReward","TrophyWorldIconFrameNumber","TrophyWorldMaxResourcePerFrame","ChainOfferMiniItemSmall","ChainOfferMiniItemMedium","ChainOfferMiniItemLarge","RankedRewardAsset","RankedGoalAsset","RankedGoalQuestAsset","ClubCollabAsset","RewardDescTID","ChallengeRewardFrame","ChallengeRewardAsset","RecordsPopupRewards","CustomGachaScreenOverride","GridViewAsset","ShowGridViewCount"
"String","int","boolean","boolean","boolean","boolean","boolean","int","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","StringArray","String","String","String","String","Boolean","int","int","String","String","String","String","String","int","int","String","String","String","String","String","String","String","String","String","String","String","String","String","boolean"
"FreeBox",0,"FALSE","FALSE",,"FALSE",,0,,"sc/shop.sc#shop_item_resourses_boxes",,,,,,,,"shop_item_resourses_boxes","shop_item_resourses_boxes",,,,,,,,,,,,,,"reward_profilebutton_14",,,,"reward_popupitem_collected_6","reward_popupitem_small_6",,,,0,,,,,,,,,"TID_SHOP_OFFER_TITLE_0","box",,,,,
"Ticket",7,"FALSE","FALSE",,"FALSE",,0,10,,,"sc/shop.sc#shop_popupitem_7",,,,,,,,,,,,,,,,,,,,,"reward_profilebutton_7",,,,,,,,,0,10,,,,,,,,"TID_SHOP_OFFER_TITLE_7",,,,,,
,,,,,,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50,,,,,,,,,,,,,,
,,,,,,,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,,,,,,,,,,,,,,
"WildcardPower",12,"FALSE","FALSE",,"FALSE",,,,,,"sc/shop.sc#shop_popupitem_12",,,,,,,"shop_item_resourses_power_points","sc/shop.sc#offer_item_power_points_big","sc/shop.sc#offer_item_power_points_big","sc/shop.sc#offer_item_power_points_small","sc/shop.sc#offer_item_power_points_big",,,,,"sc/shop.sc#hero_item_coins",,"sc/brawl_pass.sc#brawlpass_reward_premium_power_points","sc/brawl_pass.sc#brawlpass_reward_free_power_points",,"reward_profilebutton_12",,,,"reward_popupitem_collected_12","reward_popupitem_small_12","reward_popupitem_medium_12","reward_popupitem_large_12",,,,,,,,"offer_item_power_points_small","offer_item_power_points_small","offer_item_power_points_small","TID_SHOP_OFFER_TITLE_12","resource","icon_powerpoints","sc/shop.sc#offer_item_power_points_small",,,
"CoinDoubler",9,"TRUE","FALSE",,"FALSE",,,,"sc/shop.sc#shop_item_resourses_coin_doubler",,"sc/shop.sc#shop_popupitem_9",,"sc/shop.sc#shop_item_daily_freebie_token_doubler",,,,"shop_item_coin_doubler","shop_item_resourses_coin_doubler","offer_item_token_doubler_big","sc/shop.sc#offer_item_token_doubler_big","sc/shop.sc#offer_item_token_doubler_small","sc/shop.sc#offer_item_token_doubler_big",,,,,"sc/shop.sc#hero_item_xp",,"reward_popupitem_large_9","reward_popupitem_small_9",,"reward_profilebutton_9",,1000,1000,"reward_popupitem_collected_9","reward_popupitem_small_9",,"reward_popupitem_large_9","reward_popupitem_large_9",,,,,,,"offer_item_token_doubler_small","offer_item_token_doubler_small","offer_item_token_doubler_small","TID_SHOP_OFFER_TITLE_9",,"reward_profilebutton_9","sc/shop.sc#offer_item_token_doubler_small",,"grid_item_xp","true"
"Keys",11,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,"sc/shop.sc#hero_item_key",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EventSlot",13,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,"reward_popupitem_large_13",,,"reward_profilebutton_13",,,,"reward_popupitem_collected_13",,,"reward_popupitem_large_13","sc/trophy_world_common.sc#reward_item_event_slot",,,,,,,,,,,,"reward_profilebutton_13",,,,
"AdBox",15,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"reward_popupitem_collected_6","reward_popupitem_small_6",,,,,,,,,,,,,"TID_SHOP_OFFER_TITLE_15",,,,,,
