"Name","Disabled","StartDelayMS","EndDelayMS","ForceSpeechBubbleCloseMS","StartCondition","StartLocationX","StartLocationY","StartLocationRadius","AnimationX","AnimationY","AnimationX2","AnimationY2","CompleteCondition","ShouldUseAutoShoot","CompleteLocationX","CompleteLocationY","CompleteLocationRadius","UseUltiX","UseUltiY","AnimationClipSWF","AnimationMovieClip","AnimationClipSWF2","AnimationMovieClip2","SpeechBubbleCharacterSWF","SpeechBubbleCharacterMovieClip","SpeechBubbleTIDs","StartSound","SpawnCharacter","SpawnLocationX","SpawnLocationY","CustomData","BlockingSpeechBubble","ShowUlti","ShowShootStick","LeftSpeechBubble"
"string","boolean","int","int","int","string","int","int","int","int","int","int","int","string","boolean","int","int","int","int","int","string","string","string","string","string","string","string","string","string","int","int","int","boolean","boolean","boolean","boolean"
"loot_1",,7000,,,"none",,,,,,,,"loot",,,,,,,,,,,"sc/ui.sc","tutorial_character_top","TID_TUTORIAL_1","Tut_speech",,,,0,,,,
"loot_2","true",0,,,"none",,,,,,,,"loot",,,,,,,,,,,"sc/ui.sc","tutorial_character_top","TID_TUTORIAL_2","Tut_speech",,,,0,,,,
"gg1",,500,1500,,"none",,,,,,,,"none",,,,,,,,,,,"sc/ui.sc","tutorial_character_top","TID_TUTORIAL_GOOD_JOB_1","Tutorial_circle",,,,,,,,
"pve1d1","true",500,,,"none",,,,,,,,"none",,,,,,,,,,,,,,"Pve_wave_01","TutorialDummy",1400,3200,1,,,,
"pve1d2","true",300,,,"none",,,,,,,,"none",,,,,,,,,,,,,,,"TutorialDummy",2200,3200,1,,,,
"pve1d3","true",300,,,"none",,,,,,,,"none",,,,,,,,,,,,,,,"TutorialDummy",3000,3200,1,,,,
"pve1d4","true",300,,,"none",,,,,,,,"none",,,,,,,,,,,,,,,"TutorialDummy",3800,3200,1,,,,
"manual_shoot","true",1000,,,"none",,,,,,,,"kill_everything",,,,,,,,,,,"sc/ui.sc","tutorial_character_top","TID_TUTORIAL_3","Tut_speech",,,,,,,"true",
"gg2","true",500,6000,,"none",,,,,,,,"none",,,,,,,,,,,"sc/ui.sc","tutorial_character_top","TID_TUTORIAL_GOOD_JOB_2","Tutorial_circle",,,,,,,,
"pve2d1",,0,,,"none",,,,,,,,"none",,,,,,,,,,,,,,"Pve_wave_01","TutorialDummy2",1400,4500,1,,,,
"pve2d2",,500,,,"none",,,,,,,,"none",,,,,,,,,,,,,,,"TutorialDummy2",1900,3100,1,,,,
"pve2d3",,200,,,"none",,,,,,,,"none",,,,,,,,,,,,,,,"TutorialDummy2",3000,2900,1,,,,
"pve2d4",,100,,,"none",,,,,,,,"none",,,,,,,,,,,,,,,"TutorialDummy2",3800,4000,1,,,,
"auto_shoot",,1000,,,"none",,,,,,,,"kill_everything","true",,,,,,,,,,"sc/ui.sc","tutorial_character_top","TID_TUTORIAL_5","Tut_speech",,,,,,"true","true",
"gg3",,0,1500,,"none",,,,,,,,"none",,,,,,,,,,,"sc/ui.sc","tutorial_character_top","TID_TUTORIAL_GOOD_JOB_3","Tutorial_circle",,,,,,,,
"pve3d1",,0,,,"none",,,,,,,,"none",,,,,,,,,,,,,,"Pve_wave_01","TutorialDummy3",2600,1600,1,,,,
"use_ulti",,1000,,,"none",,,,,,,,"use_ulti",,,,,2600,1200,,,,,"sc/ui.sc","tutorial_character_top","TID_TUTORIAL_6","Tut_speech",,,,,,"true",,
"click_to_end",,1500,,2000,"none",,,,,,,,"none",,,,,,,,,,,"sc/ui.sc","tutorial_character_top","TID_TUTORIAL_9","Tutorial_circle",,,,,"true",,,
