"Name","Disabled","TimeMs","MinTimeMs","Radius","Damage","DontOverrideDmg","DamageScaleType","CustomValue","CustomValue2","Type","StatusEffectSelf","StatusEffectAlly","StatusEffectEnemy","StatusEffectTickInterval","ActionsSelf","ActionsAlly","ActionsEnemy","ActionsTickInterval","DelayFirstTick","IsPersonal","TargetEnemiesOnly","BulletExplosionBullet","BulletExplosionBulletDistance","BulletExplosionBulletOffset","BulletExplosionItem","ExpandOnDistance","BulletAngleOffset","BulletApplyAngle","DestroysEnvironment","DestroysDecorations","DestroysOnlyBushes","PushbackStrength","PushbackStrengthSelf","PushbackDeadzone","CanStopGrapple","StunTicks","SameAreaEffectCanNotDamageMs","RelatedImmunityAreas","DontShowToEnemy","RequireLineOfSight","ChainAreaEffect","ChainAreaEffect2","ChainAreaEffect3","OverchargedChainAreaEffect","OverchargedChainAreaEffect2","OverchargedChainAreaEffect3","SpawnItem","SnapToTile","DamageScaleDistanceNear","DamageScaleDistanceFar","SourceType","OverHealTicks","StackOverHeal","MaxOverHeal","OverHealMultiplier","AffectOnlyHeroes","AffectProjectiles","IgnoreCharacters","InnerRadius","InnerRadiusDamagePercent","ExpireTypes","CurveBall","CurveBallAddDistance","BooleanAttributes","LifeStealPercent","StatusEffectPassiveMultiplierValues","StatusEffectPassiveMultiplierTickStamps","SuperChargeScalePercent","ReloadDebuffPercent","ReloadDebuffTicks"
"string","boolean","int","int","string","int","boolean","int","int","int","string","string","string","string","int","string","string","string","int","boolean","boolean","boolean","string","int","int","string","int","int","boolean","boolean","boolean","boolean","int","int","int","boolean","int","int","string","boolean","boolean","string","string","string","string","string","string","string","boolean","int","int","int","int","boolean","int","int","boolean","boolean","boolean","int","int","string","int","int","string","int","string","string","int","int","int"
"Brock_def_atk_area","","700","","450","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_def_ulti_area","","700","","450","","","","","","Damage","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketGirlExplosion","","700","","600","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketGirlUltiExplosion","","700","","450","","","","","","Damage","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusExplosion","","700","","300","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusSpikeExplosion","","700","","300","","","","6","","BulletExplosion","","","","","","","","","","","","CactusSpike","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusUltiExplosion","","4500","","800","800","","","","","Dot","","","CactusUltiExplosionSlow","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusOverchargedExplosion","","700","","300","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CactusOverchargedExplosion2","CactusOverchargedSpikeExplosion","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusOverchargedExplosion2","","700","","300","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusOverchargedSpikeExplosion","","700","","300","","","","6","","BulletExplosion","","","","","","","","","","","","SpikeOverchargedFrag","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_def_atk","","1900","","600","","","","","","Dot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barley_def_ulti","","3900","","600","","","","","","Dot","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_def_ulti1_area","","700","","300","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_def_ulti2_area","","700","","600","99","","","","","Damage","","","","","","","","","","","","","","","","","","","true","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_def_atk_area","","700","","300","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bo_006_ulti2_area","","700","","600","99","","","","","Damage","","","","","","","","","","","","","","","","","","","true","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarkeepExplosion","","1900","","600","","","","","","Dot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarkeepUltiExplosion","","3900","","600","","","","","","Dot","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ExplodingBarrelExplosion","","700","","600","2000","","","","","Damage","","","","","","","","","","","","","","","","","","","true","","","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PoisonBarrelExplosion","","10500","","800","400","","","","","Dot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntDudeExplosion","","700","","450","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntDudeUltiExplosion","","700","","800","","","","","","Damage","","","","","","","","","","","","","","","","","","","true","","","150","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpawnerDudeExplosion","","700","","450","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BowDudeExplosion","","700","","300","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CrowUltiKnifes","","700","","300","","","","14","","BulletExplosion","","","","","","","","","","","","CrowUltiProjectile","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HealingStationHeal","","600000","","1000","-10","","2","","","Hot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Heal","","700","","800","-560","","2","","","Heal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MineExplosion","","700","","600","99","","","","","Damage","","","","","","","","","","","","","","","","","","","true","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
