"Name","SpawnCondition","SpawnConditionData","BossTraits","SetupHpThresholds","VulnerableStateStartTicks","VulnerableStateDurationTicks","VulnerableStatusEffect","AwakeDistance","MovableTileUpDownLeftRight","EscapeDistance","NumSkills","AttackSkills","AttackMaxCount","DamageIncrease","ProjectileSpeedIncrease","AttackPreDelayTicks","AttackCooldownTicks","AttackIndicatorStyles","AttackIndicatorAreaEffects","AttackIndicatorDistances","AttackIndicatorAddWidth","MoveStyle","SkipForWin","SpawnBossOnDeath","PlayLoseAnimOnDeath","CountToKill","PhaseNumber","DropPowerCubeCount","SpawnTeamMateTime","SkillTPCameraType","BattleIntroFrameLabel","BattleIntroTomlConfigId","BossModeNameTID","ChatSuggestionItemName","GameModeIconName","GameModeRoomIconName","ChargeRadiusMod","SpawnedPetRandomSkin","HideInMapPreview"
"string","string","string","string","boolean","int","int","string","int","string","int","int","string","string","int","int","string","string","string","string","string","string","string","boolean","string","boolean","boolean","int","int","int","string","string","string","string","string","string","string","int","string","boolean"
"MegaBossKenji",,,,,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,5,"MegaKenjiPushAway;MegaKenjiAttackSlowProjectiles;MegaKenjiSpawnRobots;MegaKenjiCharge;MegaKenji360Madness","1;2;1;1;0",0,-15,"20;20;10;20;15","20;20;10;40;20","0;0;1;3;1","-;-;MegaBossAreaIndicatorSmall;-;MegaBossWarning360","0;-1;4000;-1;100","0;0;0;400;0","1;1;1;1;1",,,"TRUE","TRUE",,,-1,"0;0;0;0;0","default",,,,,,,,
,,,,,350,60,,,,,,,"1;2;1;2;1",0,-10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;1;2;1;1",0,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;2;2;1",50,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;5;4;2",100,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;5;4;2",150,15,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossTrickshot",,,,,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,6,"MegaBossTrickshotPushAway;MegaBossTrickshotWeapon;MegaBossTrickshotDudeUlti;MegaBossTrickshotWeaponSecond;MegaBossTrickshotDude360Madness;MegaBossTrickshotUltraSuper","1;2;1;1;0;0",0,-15,"20;25;30;35;40;40","20;30;30;35;40;40","0;0;0;0;1;0","'-;-;-;-;MegaBossIndicatorLarge;-","0;-1;-1;-1;0;-1","0;120;180;250;0;400","1;1;1;1;1;1",,,"TRUE","TRUE",,,-1,"0;0;0;0;0;0","boss_rico_brawloween",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_rico_brawloween","event_icon_boss_rico_brawloween","event_gameroom_boss_rico_brawloween",,,
,,,,,350,60,,,,,,,"1;2;1;2;1;0",0,-10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;2;1;2;1;1",0,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;3;3;1;1",50,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;4;3;2;2",100,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;4;3;3;2",150,15,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossSpike",,,,,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,6,"MegaBossCactusPushAway;MegaBossCactusWeapon;MegaBossCactusUlti;MegaBossCactusPet;MegaBossCactusCharge;MegaBossCactusSecondWeapon","1;2;1;1;0;0",0,-15,"20;20;30;30;35;40","20;30;30;30;35;40","0;3;0;0;3;3","''-;-;-;-;-;-","0;-1;-1;-1;-1;-1","0;250;0;0;500;900","1;1;1;1;1;1",,,"TRUE","TRUE",,,-1,"0;0;0;0;0;0","boss_spike_carreta",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_spike_carreta","event_icon_boss_spike_carreta","event_gameroom_boss_spike_carreta",,,
,,,,,350,60,,,,,,,"1;2;1;2;1;0",0,-10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;2;2;3;1;1",0,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;3;4;2;1",50,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;3;5;3;1",100,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;3;6;3;2",150,15,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossClusterBomb",,,,,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,6,"MegaTickPushAway;MegaTickUlti;MegaTickWeapon;MegaTickWeaponSecond;MegaTickUltiMid;MegaTickUltiLarge","1;2;1;1;0;0",0,-15,"20;20;30;30;35;40","20;30;35;40;45;50","0;0;0;1;0;0","-;-;-;MegaBossCrowUltiIndicator;-;-","0;-1;-1;-1;-1;1500","0;0;0;0;0;0","1;1;1;1;1;1",,,"TRUE","TRUE",,,-1,"0;0;0;0;0;0","boss_tick_brawloween",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_tick_brawloween","event_icon_boss_tick_brawloween","event_gameroom_boss_tick_brawloween",,,
,,,,,350,60,,,,,,,"1;2;1;2;1;0",0,-10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;2;2;2;1;1",0,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;3;2;2;1",50,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;4;3;3;1",100,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;4;3;3;2",150,15,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossSplitter",,,,,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,5,"MegaBossSplitterAtkPushAway;MegaBossSplitterLegDefence;MegaBossSplitterSpawnRobotsShoot;MegaBossSplitterSpawnRobotsThrow;MegaBossSplitterUlti360","1;1;0;0;0",0,-15,"40;20;30;30;30","20;30;30;30;30","0;0;1;1;0","-;-;MegaBossAreaIndicatorSmall;MegaBossAreaIndicatorSmall;-","0;-1;4800;4800;0","0;0;0;0;0;0","0;0;0;0;0",,,"TRUE","TRUE",,,-1,"0;0;0;0;0","boss_rt_brawloween",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_rt_brawloween","event_icon_boss_rt_brawloween","event_gameroom_boss_rt_brawloween",,,
,,,,,350,60,,,,,,,"1;1;1;1;0",0,-10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;2;1;1;1",0,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;1;1;2",50,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;2;2;3",100,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;3;3;3;5",150,15,,,,,,,,,,,,,,,,,,,,,,,,
