"Name","Disabled","Premium","FreeRewardOptionType","FreeRewardOption","FreeRewardOptionFrame","PaidRewardOptionType","PaidRewardOption","PaidRewardOptionCost","PerSeasonPurchaseLimit","PaidRewardOptionFrame","Tickets"
"string","boolean","boolean","string","string","string","string","string","int","int","string","int"
"TailChoices1",,,"DEMONIC_STAR",1,"demon","NEW_MEGA_BOX",1,29,,"megabox",8
"TailChoices2",,,"DEMONIC_STAR",1,"demon","DEMONIC_STAR",3,19,,"demon",8
"TailChoices3",,,"DEMONIC_STAR",1,"demon","RANDOM_SPLITTING_STAR",1,14,,"splitting_star",8
"TailChoices4",,,"ANGELIC_STAR",1,"angel","MECH_BOX",1,39,,"mech_box",8
"TailChoices5",,,"ANGELIC_STAR",1,"angel","ANGELIC_STAR",3,19,,"angel",8
"TailChoices6",,,"ANGELIC_STAR",1,"angel","RANDOM_SPLITTING_STAR",1,14,,"splitting_star",8
"TailChoices7",,,"SUSHI_DROP",1,"sushi","NEW_MEGA_BOX",1,29,,"megabox",8
"TailChoices8",,,"SUSHI_DROP",1,"sushi","SUSHI_DROP",3,19,,"sushi",8
"TailChoices9",,,"SUSHI_DROP",1,"sushi","RANDOM_SPLITTING_STAR",1,14,,"splitting_star",8
"TailChoices10",,,"MECH_BOX",1,"mech_box","VAULT_BRAWLER_KEY",1,79,1,"key_brawler",1
"TailChoices11",,,"MECH_BOX",1,"mech_box","MECH_BOX",2,39,,"mech_box",8
"TailChoices12",,,"GRAFFITI_BOX",1,"boom_box","VAULT_RESOURCE_KEY",1,79,1,"key_currency",1
"TailChoices13",,,"RANDOM_SPLITTING_STAR",1,"splitting_star","RANDOM_SPLITTING_STAR",2,19,,"splitting_star",3
"TailChoices14",,,"RANDOM_SPLITTING_STAR",1,"splitting_star","RANDOM_SPLITTING_STAR",3,39,,"splitting_star",3
"TailChoices15",,,"RANDOM_SPLITTING_STAR",1,"splitting_star","VAULT_RESOURCE_KEY",1,79,1,"key_currency",1
"TailChoices16",,,"COINS",100,"coins","NEW_MEGA_BOX",1,29,,"megabox",6
"TailChoices17",,,"COINS",100,"coins","COINS",500,19,,"coins",6
"TailChoices18",,,"COINS",100,"coins","RANDOM_SPLITTING_STAR",1,14,,"splitting_star",6
"TailChoices19",,,"COINS",500,"coins","VAULT_RESOURCE_KEY",1,79,1,"key_currency",1
"TailChoices20",,,"POWER_POINTS",100,"power_points","MECH_BOX",1,39,,"mech_box",8
"TailChoices21",,,"POWER_POINTS",100,"power_points","POWER_POINTS",500,19,,"power_points",6
"TailChoices22",,,"POWER_POINTS",100,"power_points","RANDOM_SPLITTING_STAR",1,14,,"splitting_star",6
"TailChoices23",,,"RECRUIT_TOKEN",30,"recruit_tokens","NEW_MEGA_BOX",1,29,,"megabox",3
"TailChoices24",,,"RECRUIT_TOKEN",30,"recruit_tokens","MECH_BOX",1,39,,"mech_box",3
"TailChoices25",,,"RECRUIT_TOKEN",30,"recruit_tokens","RANDOM_SPLITTING_STAR",1,19,,"splitting_star",3
"TailChoices26",,,"POWER_POINTS",200,"power_points","STARR_DROP_CONTAINER","LegendaryStar",49,1,"legendary",1
"TailChoices27",,,"POWER_POINTS",200,"power_points","MECH_BOX",1,29,,"mech_box",3
"TailChoices28",,,"RECRUIT_TOKEN",75,"recruit_tokens","STARR_DROP_CONTAINER","MythicStar",19,,"mythic",3
"TailChoices29",,,"RECRUIT_TOKEN",75,"recruit_tokens","STARR_DROP_CONTAINER","LegendaryStar",59,,"legendary",3
"TailChoices30",,,"RECRUIT_TOKEN",75,"recruit_tokens","RANDOM_SPLITTING_STAR",1,19,,"splitting_star",3
