"Name","TicketsInDancerBrawlerBox","TicketsInFuryBrawlerBox","TicketsInDaredevilBrawlerBox","TicketsInPierceBox","TicketsInGlowbertBox","TicketsInShadowdemonBox","TicketsInRedirecterBox","TicketsInGladiatorBox","TicketsInMagicalGirlBox","TicketsInRockBox","TicketsInKatanaKidBox","TicketsInFutureGirlBox","TypeName","SpecificBrawler","TypeValue","InPremiumDraw","TypePriceMin","TypePriceMax","AmountMin","AmountMax","FallbackTypeName","FallbackAmount","NoEventFallbackTypeName","NoEventFallbackAmount","TierForVisualization","SkinsInReward","TicketsInSkinDraw","SpraysInReward","TicketsInSprayDraw","ProfilePicsInReward","TicketsInProfilePicDraw","PinsInReward","TicketsInPinDraw"
"String","int","int","int","int","int","int","int","int","int","int","int","int","String","String","int","boolean","int","int","int","int","String","int","String","int","int","String","int","String","int","String","int","String","int"
"COINS S",300,300,300,300,300,320,300,300,300,300,300,300,"Coins",,,,,,30,70,,,,,,,,,,,,,
"COINS M",25,25,30,30,30,180,30,30,30,30,40,40,"Coins",,,,,,80,120,,,,,,,,,,,,,
"COINS L",4,4,4,4,4,35,4,4,4,4,4,4,"Coins",,,,,,130,350,,,,,,,,,,,,,
"COINS XL",,,,,,12,,,,,1,1,"Coins",,,,,,400,650,,,,,,,,,,,,,
"COINS JACKPOT",1,1,1,1,1,5,1,1,1,1,1,1,"Coins",,,,,,1000,1000,,,,,,,,,,,,,
"POWER POINTS S",100,100,120,120,120,280,120,120,120,120,120,120,"PowerPoints",,,,,,10,26,,,,,,,,,,,,,
"POWER POINTS M",6,6,6,6,6,120,6,6,6,6,10,10,"PowerPoints",,,,,,30,70,,,,,,,,,,,,,
"POWER POINTS L",3,3,3,3,3,50,3,3,3,3,5,5,"PowerPoints",,,,,,80,120,,,,,,,,,,,,,
"POWER POINTS XL",,,,2,,30,,,,,1,1,"PowerPoints",,,,,,130,350,,,,,,,,,,,,,
"POWER POINTS JACKPOT",1,1,1,1,1,5,1,1,1,1,1,1,"PowerPoints",,,,,,1000,1000,,,,,,,,,,,,,
"CREDITS S",,,,,,140,,,,,,,"Credits",,,,,,4,10,,,,,,,,,,,,,
"CREDITS M",100,100,100,90,100,80,100,100,100,100,100,100,"Credits",,,,,,10,26,,,,,,,,,,,,,
"CREDITS L",15,15,15,20,15,45,15,15,15,10,15,15,"Credits",,,,,,30,70,,,,,,,,,,,,,
"CREDITS XL",5,5,5,5,5,20,5,5,5,3,5,5,"Credits",,,,,,80,120,,,,,,,,,,,,,
"CREDITS JACKPOT",,,,,,,,,,,,,"Credits",,,,,,300,300,,,,,,,,,,,,,
"BLING S",41,60,50,50,50,,50,50,50,50,50,50,"Bling",,,,,,30,70,,,,,,,,,,,,,
"BLING M",,,,,,,,,,,,,"Bling",,,,,,80,120,,,,,,,,,,,,,
"BLING L",,,,,,,,,,,,,"Bling",,,,,,130,350,,,,,,,,,,,,,
"BLING XL",,,,,,,,,,,,,"Bling",,,,,,400,650,,,,,,,,,,,,,
"BLING JACKPOT",1,1,1,1,1,,1,1,1,1,1,1,"Bling",,,,,,1000,1000,,,,,,,,,,,,,
"XP DOUBLERS S",149,149,143,120,120,280,120,120,120,120,110,110,"TokenDoubler",,,,,,100,300,,,,,,,,,,,,,
"XP DOUBLERS L",,,,,,,,,,,,,"TokenDoubler",,,,,,500,1000,,,,,,,,,,,,,
"XP DOUBLERS JACKPOT",1,1,1,1,1,16,1,1,1,1,1,1,"TokenDoubler",,,,,,5000,5000,,,,,,,,,,,,,
"GEMS S",10,10,,,,,,,,,,,"Gems",,,,,,3,3,,,,,,,,,,,,,
"GEMS L",,,,,,,,,,,,,"Gems",,,,,,10,10,,,,,,,,,,,,,
"GEMS JACKPOT",1,1,,,,,,,,,,,"Gems",,,,,,100,100,,,,,,,,,,,,,
"GADGET",,,,,,15,,,,,,,"Gadget",,,,,,,,"Coins",500,,,2,,,,,,,,
"STAR POWER",,,,,,8,,,,,,,"StarPower",,,,,,,,"Coins",1000,,,2,,,,,,,,
"HYPERCHARGE",,,,,,2,,,,,,,"Overcharge",,,,,,,,"Coins",1000,,,3,,,,,,,,
"BRAWLER EPIC",,,,,,15,,,,,,,"Brawler",,3,,,,,,"Credits",500,,,3,,,,,,,,
"BRAWLER MYTHIC",,,,,,8,,,,,,,"Brawler",,4,,,,,,"Credits",1000,,,3,,,,,,,,
"BRAWLER LEGENDARY",,,,,,2,,,,,,,"Brawler",,5,,,,,,"Credits",1000,,,3,,,,,,,,
"Dancer Brawler",2,,,,,,,,,,,,"SpecificBrawler","Dancer",,,,,,,"Credits",1000,,,,,,,,,,,
"Dancer Skin 29",,,,,,,,,,,,,"ListedSkin",,,,1,29,,,"Bling",500,,,,"SkaterRapper",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Alternator29gem",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"BeamerMC",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"GhostSwag",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"DancerGraffitiSpecial",1,,,,,,
"Dancer Skin 79",5,,,,,,,,,,,,"ListedSkin",,,,30,79,,,"Bling",750,,,,"RocketGirlBoombox",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"HammerDudeDJ",1,,,,,,
"Dancer Skin 149",5,,,,,,,,,,,,"ListedSkin",,,,80,149,,,"Bling",1000,,,,"DuplicatorCholaChroma",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"MummyDj",1,,,,,,
"Dancer Skin 199",8,,,,,,,,,,,,"ListedSkin",,,,150,199,,,"Bling",1000,,,,"Dancer199Gem",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Dancer199GemChroma1",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Dancer199GemChroma2",1,,,,,,
"Dancer Spray",80,,,,,,,,,,,,"ListedSpray",,,,,,,,"Bling",75,,,,,,"spray_hub1",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_badgem",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_poco_street",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_graffiti_1",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_sushi_6",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_mila_1",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_mila_2",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_mila_3",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_box_mina",1,,,,
"Dancer Icon",20,,,,,,,,,,,,"ListedProfilePic",,,,,,,,"Bling",50,,,,,,,,"player_icon_starr",1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"player_icon_whatcouldthisbe",1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"player_icon_mina_box",1,,
"Dancer Pin",60,,,,,,,,,,,,"ListedPin",,,,,,,,"Bling",100,,,,,,,,,,"emoji_aprilfools_eggcool",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_popstar",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_champie_whistle",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_box_mina",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_mina",1
