"Name","Accessory","Traits","Components","Value","NameTID","DescriptionTID","DifferenceTID","DescriptionReplacements","DifferenceReplacements","OverchargeExtendTicks"
"string","string","string","string","int","string","string","string","string","string","int"
"ShotgunGirl_Gadget_1","ShotgunGirl_Dash_Buddy",,,,,"TID_SHOTGUNGIRL_BUDDY_GADGET_1_DESC","TID_SHOTGUNGIRL_BUDDY_GADGET_1_DIFF",,,
"ShotgunGirl_Gadget_2","ShotgunGirl_Focus_Buddy",,,,,"TID_SHOTGUNGIRL_BUDDY_GADGET_2_DESC","TID_SHOTGUNGIRL_BUDDY_GADGET_2_DIFF",,,
"ShotgunGirl_Starpower_1",,"ShelllyBuddySp1",,,,"TID_SHOTGUNGIRL_BUDDY_STARPOWER_1_DESC","TID_SHOTGUNGIRL_BUDDY_STARPOWER_1_DIFF",,,
"ShotgunGirl_Starpower_2",,"ShelllyBuddySp2",,,,"TID_SHOTGUNGIRL_BUDDY_STARPOWER_2_DESC","TID_SHOTGUNGIRL_BUDDY_STARPOWER_2_DIFF",,,
"ShotgunGirl_Overcharge",,,,,,"TID_SHOTGUNGIRL_BUDDY_OVERCHARGE_DESC","TID_SHOTGUNGIRL_BUDDY_OVERCHARGE_DIFF",,,40
"Gunslinger_Gadget_1","Gunslinger_Reload_Buddy",,,,,"TID_GUNSLINGER_BUDDY_GADGET_1_DESC","TID_GUNSLINGER_BUDDY_GADGET_1_DIFF",,,
"Gunslinger_Gadget_2","Gunslinger_BigBullet_Buddy",,,,,"TID_GUNSLINGER_BUDDY_GADGET_2_DESC","TID_GUNSLINGER_BUDDY_GADGET_2_DIFF",,,
"Gunslinger_Starpower_1",,"ColtBuddySp1",,,,"TID_GUNSLINGER_BUDDY_STARPOWER_1_DESC","TID_GUNSLINGER_BUDDY_STARPOWER_1_DIFF",,,
"Gunslinger_Starpower_2",,"ColtBuddySp2",,,,"TID_GUNSLINGER_BUDDY_STARPOWER_2_DESC","TID_GUNSLINGER_BUDDY_STARPOWER_2_DIFF",,,
"Gunslinger_Overcharge",,,,,,"TID_GUNSLINGER_BUDDY_OVERCHARGE_DESC","TID_GUNSLINGER_BUDDY_OVERCHARGE_DIFF",,,40
"Cactus_Gadget_1","Cactus_ShootAround_Buddy",,,,,"TID_CACTUS_BUDDY_GADGET_1_DESC","TID_CACTUS_BUDDY_GADGET_1_DIFF",,,
"Cactus_Gadget_2","Cactus_Cover_Buddy",,,,,"TID_CACTUS_BUDDY_GADGET_2_DESC","TID_CACTUS_BUDDY_GADGET_2_DIFF",,,
"Cactus_Starpower_1",,"SpikeBuddySp1",,,,"TID_CACTUS_BUDDY_STARPOWER_1_DESC","TID_CACTUS_BUDDY_STARPOWER_1_DIFF",,,
"Cactus_Starpower_2",,,,500,,"TID_CACTUS_BUDDY_STARPOWER_2_DESC","TID_CACTUS_BUDDY_STARPOWER_2_DIFF",,,
"Cactus_Overcharge",,,,,,"TID_CACTUS_BUDDY_OVERCHARGE_DESC","TID_CACTUS_BUDDY_OVERCHARGE_DIFF",,,40
"Mummy_Gadget_1","Mummy_Push_Buddy",,,,,"TID_MUMMY_BUDDY_GADGET_1_DESC","TID_MUMMY_BUDDY_GADGET_1_DIFF",,,
"Mummy_Gadget_2","Mummy_Acid_Buddy",,,,,"TID_MUMMY_BUDDY_GADGET_2_DESC","TID_MUMMY_BUDDY_GADGET_2_DIFF",,,
"Mummy_Starpower_1",,"EmzBuddySp1",,,,"TID_MUMMY_BUDDY_STARPOWER_1_DESC","TID_MUMMY_BUDDY_STARPOWER_1_DIFF",,,
"Mummy_Starpower_2",,"EmzBuddySp2",,,,"TID_MUMMY_BUDDY_STARPOWER_2_DESC","TID_MUMMY_BUDDY_STARPOWER_2_DIFF",,,
"Mummy_Overcharge",,,,,,"TID_MUMMY_BUDDY_OVERCHARGE_DESC","TID_MUMMY_BUDDY_OVERCHARGE_DIFF",,,40
"HammerDude_Gadget_1","HammerDude_Immunity_Buddy",,,,,"TID_HAMMERDUDE_BUDDY_GADGET_1_DESC","TID_HAMMERDUDE_BUDDY_GADGET_1_DIFF",,,
"HammerDude_Gadget_2","HammerDude_Pull_Buddy",,,,,"TID_HAMMERDUDE_BUDDY_GADGET_2_DESC","TID_HAMMERDUDE_BUDDY_GADGET_2_DIFF",,,
"HammerDude_Starpower_1",,"FrankBuddySp1",,,,"TID_HAMMERDUDE_BUDDY_STARPOWER_1_DESC","TID_HAMMERDUDE_BUDDY_STARPOWER_1_DIFF",,,
"HammerDude_Starpower_2",,,"FrankBuddyHealthShield",,,"TID_HAMMERDUDE_BUDDY_STARPOWER_2_DESC","TID_HAMMERDUDE_BUDDY_STARPOWER_2_DIFF",,,
"HammerDude_Overcharge",,,,,,"TID_HAMMERDUDE_BUDDY_OVERCHARGE_DESC","TID_HAMMERDUDE_BUDDY_OVERCHARGE_DIFF",,,40
"Undertaker_Gadget_1","Undertaker_Swing_Buddy",,,,,"TID_UNDERTAKER_BUDDY_GADGET_1_DESC","TID_UNDERTAKER_BUDDY_GADGET_1_DIFF",,,
"Undertaker_Gadget_2","Undertaker_Reload_Buddy",,,,,"TID_UNDERTAKER_BUDDY_GADGET_2_DESC","TID_UNDERTAKER_BUDDY_GADGET_2_DIFF",,,
"Undertaker_Starpower_1",,"MortisBuddySp1",,,,"TID_UNDERTAKER_BUDDY_STARPOWER_1_DESC","TID_UNDERTAKER_BUDDY_STARPOWER_1_DIFF",,,
"Undertaker_Starpower_2",,"MortisBuddySp2",,,,"TID_UNDERTAKER_BUDDY_STARPOWER_2_DESC","TID_UNDERTAKER_BUDDY_STARPOWER_2_DIFF",,,
"Undertaker_Overcharge",,,,,,"TID_UNDERTAKER_BUDDY_OVERCHARGE_DESC","TID_UNDERTAKER_BUDDY_OVERCHARGE_DIFF",,,40
"Shaman_Gadget_1","Shaman_PetSlam_Buddy",,,,,"TID_SHAMAN_BUDDY_GADGET_1_DESC","TID_SHAMAN_BUDDY_GADGET_1_DIFF",,,
"Shaman_Gadget_2","Shaman_Shield_Buddy",,,,,"TID_SHAMAN_BUDDY_GADGET_2_DESC","TID_SHAMAN_BUDDY_GADGET_2_DIFF",,,
"Shaman_Starpower_1",,"ShamanBuddySp1",,,,"TID_SHAMAN_BUDDY_STARPOWER_1_DESC","TID_SHAMAN_BUDDY_STARPOWER_1_DIFF",,,
"Shaman_Starpower_2",,"ShamanBuddySp2",,,,"TID_SHAMAN_BUDDY_STARPOWER_2_DESC","TID_SHAMAN_BUDDY_STARPOWER_2_DIFF",,,
"Shaman_Overcharge",,,,,,"TID_SHAMAN_BUDDY_OVERCHARGE_DESC","TID_SHAMAN_BUDDY_OVERCHARGE_DIFF",,,40
"Crow_Gadget_1","Crow_InstaDot_Buddy",,,,,"TID_CROW_BUDDY_GADGET_1_DESC","TID_CROW_BUDDY_GADGET_1_DIFF",,,
"Crow_Gadget_2","Crow_PoisonDagger_Buddy",,,,,"TID_CROW_BUDDY_GADGET_2_DESC","TID_CROW_BUDDY_GADGET_2_DIFF",,,
"Crow_Starpower_1",,"CrowBuddySp1",,,,"TID_CROW_BUDDY_STARPOWER_1_DESC","TID_CROW_BUDDY_STARPOWER_1_DIFF",,,
"Crow_Starpower_2",,"CrowBuddySp2",,,,"TID_CROW_BUDDY_STARPOWER_2_DESC","TID_CROW_BUDDY_STARPOWER_2_DIFF",,,
"Crow_Overcharge",,,,,,"TID_CROW_BUDDY_OVERCHARGE_DESC","TID_CROW_BUDDY_OVERCHARGE_DIFF",,,40
"BullDude_Gadget_1","BullDudeGadgetSkillMarkEnemyBuddy",,,,,"TID_BULL_DUDE_BUDDY_GADGET_1_DESC","TID_BULL_DUDE_BUDDY_GADGET_1_DIFF",,,
"BullDude_Gadget_2","BullDude_Stomp_Buddy","BullDude_Gadget_2",,,,"TID_BULL_DUDE_BUDDY_GADGET_2_DESC","TID_BULL_DUDE_BUDDY_GADGET_2_DIFF",,,
"BullDude_Starpower_1",,,,,,"TID_BULL_DUDE_BUDDY_STARPOWER_1_DESC","TID_BULL_DUDE_BUDDY_STARPOWER_1_DIFF",,,
"BullDude_Starpower_2",,,,10,,"TID_BULL_DUDE_BUDDY_STARPOWER_2_DESC","TID_BULL_DUDE_BUDDY_STARPOWER_2_DIFF",,,
"BullDude_Overcharge",,,,,,"TID_BULL_DUDE_BUDDY_OVERCHARGE_DESC","TID_BULL_DUDE_BUDDY_OVERCHARGE_DIFF",,,40
"Bowdude_Gadget_1","BowDude_Totem_Buddy",,,,,"TID_BOWDUDE_BUDDY_GADGET_1_DESC","TID_BOWDUDE_BUDDY_GADGET_1_DIFF",,,
"Bowdude_Gadget_2","BowDude_MineTrigger_Buddy",,,,,"TID_BOWDUDE_BUDDY_GADGET_2_DESC","TID_BOWDUDE_BUDDY_GADGET_2_DIFF",,,
"Baseball_Gadget_1","Baseball_Heal_Buddy",,,,,"TID_BASEBALL_BUDDY_GADGET_1_DESC","TID_BASEBALL_BUDDY_GADGET_1_DIFF",,,
"Baseball_Gadget_2","Baseball_Sticky_Buddy",,,,,"TID_BASEBALL_BUDDY_GADGET_2_DESC","TID_BASEBALL_BUDDY_GADGET_2_DIFF",,,
"Ninja_Gadget_1","Ninja_Fake_Buddy",,,,,"TID_NINJA_BUDDY_GADGET_1_DESC","TID_NINJA_BUDDY_GADGET_1_DIFF",,,
"Ninja_Gadget_2","Ninja_InvisibleArea_Buddy",,,,,"TID_NINJA_BUDDY_GADGET_2_DESC","TID_NINJA_BUDDY_GADGET_2_DIFF",,,
"Ninja_Overcharge",,,,,,"TID_NINJA_BUDDY_OVERCHARGE_DESC","TID_NINJA_BUDDY_OVERCHARGE_DIFF",,,40
"BowDude_Overcharge",,,,,,"TID_BOW_DUDE_BUDDY_OVERCHARGE_DESC","TID_BOW_DUDE_BUDDY_OVERCHARGE_DIFF",,,40
"Ninja_Starpower_1",,"NinjaBuddySp1",,,,"TID_NINJA_BUDDY_STARPOWER_1_DESC","TID_NINJA_BUDDY_STARPOWER_1_DIFF",,,
"Ninja_Starpower_2",,"NinjaBuddySp2",,,,"TID_NINJA_BUDDY_STARPOWER_2_DESC","TID_NINJA_BUDDY_STARPOWER_2_DIFF",,,
"Baseball_Starpower_1",,,,15,,"TID_BASEBALL_BUDDY_STARPOWER_1_DESC","TID_BASEBALL_BUDDY_STARPOWER_1_DIFF",,,
"Baseball_Starpower_2",,,,,,"TID_BASEBALL_BUDDY_STARPOWER_2_DESC","TID_BASEBALL_BUDDY_STARPOWER_2_DIFF",,,
"Baseball_Overcharge",,,,,,"TID_BASEBALL_BUDDY_OVERCHARGE_DESC","TID_BASEBALL_BUDDY_OVERCHARGE_DIFF",,,40
"Bowdude_Starpower_1",,"BowDudeSPHiddenDuringAttackInForest",,10,,"TID_BOWDUDE_BUDDY_STARPOWER_1_DESC","TID_BOWDUDE_BUDDY_STARPOWER_1_DIFF",,,
"Bowdude_Starpower_2",,"BowDudeSPMineShotSpeed",,,,"TID_BOWDUDE_BUDDY_STARPOWER_2_DESC","TID_BOWDUDE_BUDDY_STARPOWER_2_DIFF",,,
"AssaultShotgun_Starpower_1",,"AssaultShotgunBuddySp1",,,,"TID_ASSAULT_SHOTGUN_BUDDY_STARPOWER_1_DESC","TID_ASSAULT_SHOTGUN_BUDDY_STARPOWER_1_DIFF",,,
"AssaultShotgun_Starpower_2",,"AssaultShotgunBuddySp2",,,,"TID_ASSAULT_SHOTGUN_BUDDY_STARPOWER_2_DESC","TID_ASSAULT_SHOTGUN_BUDDY_STARPOWER_2_DIFF",,,
"AssaultShotgun_Overcharge",,,,,,"TID_ASSAULT_SHOTGUN_BUDDY_OVERCHARGE_DESC","TID_ASSAULT_SHOTGUN_BUDDY_OVERCHARGE_DIFF",,,40
"AssaultShotgun_Gadget_1","AssaultShotgun_Bomb_Buddy",,,,,"TID_ASSAULT_SHOTGUN_BUDDY_GADGET_1_DESC","TID_ASSAULT_SHOTGUN_BUDDY_GADGET_1_DIFF",,,
"AssaultShotgun_Gadget_2","AssaultShotgun_Projectiles_Buddy",,,,,"TID_ASSAULT_SHOTGUN_BUDDY_GADGET_2_DESC","TID_ASSAULT_SHOTGUN_BUDDY_GADGET_2_DIFF",,,
"Enrager_Gadget_1","Enrager_Gadget_LetsFly_Buddy",,,,,"TID_ENRAGER_BUDDY_GADGET_1_DESC","TID_ENRAGER_BUDDY_GADGET_1_DIFF",,,
"Enrager_Gadget_2","Enrager_Protection_Buddy",,,,,"TID_ENRAGER_BUDDY_GADGET_2_DESC","TID_ENRAGER_BUDDY_GADGET_2_DIFF",,,
"Enrager_Starpower_1",,"EnragerBuddySp1",,,,"TID_ENRAGER_BUDDY_STARPOWER_1_DESC","TID_ENRAGER_BUDDY_STARPOWER_1_DIFF",,,
