"Name","ThrowOverWalls","ThrowFromGroundLevel","MaxZ","ThrowSkill","ThrowSkillUlti","ShouldRoll","CarryRoll","RollType","Bouncing","UseArc","ThrowDistanceSubTiles","ThrowDistanceUltiSubTiles","ThrowForce","ThrowForceUlti","StateToNormalMovementPromille","FlyEffect","FlyEffectUlti","MinScale","MaxScale","ZOffset","ShowTeamCircle","ShowTeamColor","AllowOwnTeamPickup","PreventPickupInTargetBase","PreventPickupFromLastTouchingTeam","ThrowOnTouch","MinHeightForGrab","IsWeapon","IsChargeable","TickChargePromille","TickDischargePromille","SelfDamageTrigger","TriggerOnDrop","SelfDestructOnHit","ResetTeamIndexOnHit","BounceBackOnHit","BounceBackForce","DestroyEnvironment","EnvironmentSelfDamage","CutGrass","StackSize","CarryHit","HitDamage","ScaleDamageWithLevel","HitPercentDamage","HitPushbackForce","HitStatusEffect","CarryStatusEffect","HideCarrier"
"string","boolean","boolean","int","string","string","boolean","boolean","string","boolean","boolean","int","int","int","int","int","string","string","int","int","int","boolean","boolean","boolean","boolean","boolean","boolean","int","boolean","boolean","int","int","string","boolean","boolean","boolean","boolean","int","boolean","int","boolean","int","boolean","int","boolean","int","int","string","string","boolean"
"LaserBall","false","false",500,"DummySkillForLaserBall","DummyUltiSkillForLaserBall","true","TRUE","rotate","true","true",,,,,,,,495,495,140,,,"true",,,,-1,,,,,,,,,,,,,,,,,,,,,,
"CaptureFlag","true","true",1500,"DummySkillForCTF","DummyUltiSkillForCTF",,"TRUE","rotate",,"true",,,,,,,,270,270,,"true",,,"true",,,300,,,,,,,,,,,,,,,,,,,,,,
"HoldingBall","true","true",1500,"DummySkillForCTF","DummyUltiSkillForCTF",,"TRUE","rotate",,"true",,,,,,,,400,400,,,,"true",,,,300,,,,,,,,,,,,,,,,,,,,,,
"VolleyBall","true","false",3500,"DummySkillForCTF","DummyUltiSkillForCTF","true","TRUE","rotate",,"true",,,,,,,,600,800,,,,,,"true","true",500,,,,,,,,,,,,,,,,,,,,,,
"BasketBall","true","true",2000,"DummySkillForBasketBrawl","DummyUltiSkillForBasketBrawl","true","TRUE","rotate","true","true",,,,,,,,400,700,,,,"true",,,,300,,,,,,,,,,,,,,,,,,,,,,
"PaintBall","false","false",500,"DummySkillForLaserBall","DummyUltiSkillForLaserBall","true","TRUE","rotate","true","true",,,,,,"paint_ball_fly","paint_ball_fly_ulti",400,400,140,,"true","true",,,,-1,,,,,,,,,,,,,,,,,,,,,,
"AirDisc","false","false",500,"DummySkillForAirDisc","DummySkillForAirDisc","true",,"spin","true",,96,96,130,175,960,"airhockey_trail","airhockey_ulti_trail",495,495,140,,"true","true",,,,-1,,,,,,,,,,,,,,,,,,,,,,
"UNOCard","false","false",500,"DummySkillForLaserBall","DummyUltiSkillForLaserBall","true",,"spin","true",,24,36,150,200,,"uno_card_trail","uno_card_ulti_trail",300,300,200,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,
"DodgeBall","false","false",500,"DummySkillForDodgeBall","DummyUltiSkillForDodgeBall","true","TRUE","rotate","true","true",32,41,180,240,900,"laser_ball_fly_dodge","laser_ball_fly_dodge_ulti",495,495,140,,"true",,,,,-1,"TRUE",,,,,,,"TRUE","TRUE",100,,,,,,,,500,,,,
"Shuriken","false","false",500,"DummySkillForShuriken","DummySkillForShuriken","true","TRUE","spin",,,51,60,200,240,960,"mode_sd_shuriken_trail","mode_sd_shuriken_ulti_trail",250,250,140,,"true","true",,,,-1,"TRUE",,,,"Hit",,"TRUE",,,,,,"TRUE",,"TRUE",,,50,,,,
"Boulder","false","false",500,"DummySkillForDodgeBall","DummyUltiSkillForDodgeBall","true","TRUE","rotate","true","true",59,68,101,101,700,"mode_sd_boulder_trail","mode_sd_boulder_ulti_trail",500,500,140,,"true",,,,,-1,"TRUE",,,,,,,,,,"TRUE",300,,,,,,10,150,"BoulderStun",,
"LoveBomb","true","true",2000,"DummySkillForLoveBomb","DummyUltiSkillForLoveBomb","true","FALSE","rotate","true","true",,,,,,"lovebombing_trail",,400,400,,,"true","true",,,,-1,"TRUE",,,,"Throw","TRUE","TRUE",,,,,,,,,,,,,,,
"HeistBomb","true","true",2000,"DummySkillForLoveBomb","DummyUltiSkillForLoveBomb","true","FALSE","rotate","true","true",,,,,,,,400,400,,,,,,,,-1,"TRUE",,,,"Pickup",,,,,,,,,,,,,,,,,
"Speeder","false","true",1,"DummySkillForSpeeder","DummySkillForSpeeder","true","TRUE","direction","true",,24,36,200,220,850,,,350,350,0,,"true","true",,,,-1,"TRUE",,,,,,,,"TRUE",10,"TRUE",250,"TRUE",,"TRUE",1000,"TRUE",,150,,"SpeederSpeedBoost","TRUE"
"BoxBomb","true","true",2000,"DummySkillForLoveBomb","DummyUltiSkillForLoveBomb","true","FALSE","rotate","true","true",,,,,,,,400,400,,,"true","true",,,,-1,"TRUE",,,,"Throw",,"TRUE",,,,,,,,,,,,,,,
"ChargeBall","false","false",500,"DummySkillForChargeBall","DummyUltiSkillForChargeBall","true","TRUE","rotate","true","true",18,36,180,240,960,"mode_superball_trail","mode_superball_trail_max",495,495,140,,"TRUE","true",,,,-1,,"TRUE",18,50,,,,"TRUE","TRUE",50,,,"TRUE",,,1000,"TRUE",,75,,,
"AirDiscNew","false","false",500,"DummySkillForAirDisc","DummySkillForAirDisc","true",,"spin","true",,96,96,130,175,960,"airhockey_trail","airhockey_ulti_trail",495,495,140,,"true","true",,,,-1,,,,,,,,,,,,,,,,,,,,,,
"NanoIngredientSpin","false","false",500,"DummySkillForLaserBall","DummyUltiSkillForLaserBall","true","FALSE","spin","true","true",24,36,150,200,,"uno_card_trail","uno_card_ulti_trail",365,385,,,,"true",,,,-1,,,,,,,,,,,,,,,,,,,,,,
"NanoIngredientRotate","false","false",500,"DummySkillForLaserBall","DummyUltiSkillForLaserBall","true","FALSE","rotate","true","true",24,36,150,200,,"uno_card_trail","uno_card_ulti_trail",360,380,,,,"true",,,,-1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
