"Name","Type","Conditions","ConditionCompareAndOr","Values","Projectiles","AreaEffects","Characters","Skills","StatusEffects"
"string","string","string","string","int","string","string","string","string","string"
"MenderUltiFearAction","TriggerStatusTarget","MenderFacingDirectionUlti","And","","","","","","MenderUltiFear"
"MenderUltiSlowAction","TriggerStatusTarget","","And","","","","","","MenderUltiSlow"
"MenderUltiOverchargedStatusesAction","TriggerStatusTarget","","And","","","","","","MenderUltiFear"
"","","","","","","","","","MenderUltiSlow"
"","","","","","","","","","MenderUltiOverchargedDamageReceiveBoost"
"ShadowdemonCloneBulletHit","TriggerShadowClone","","And","","","","","",""
"RedirecterAttachProjectileMagnetAction","AttachAreaEffect","","And","","","RockProjectileMagnetAreaStatuses","","",""
"","","","","","","RockProjectileMagnetAreaActions","","",""
"RockProjectileHomingAction","SetProjectileHomingToAreaFollowTarget","","And","","","","","",""
"MechadDudeOverchargedSlow","TriggerStatusTarget","","","","","","","","MechaDudeHyperchargeSlow"
"FutureGirlGiveConsumableShield","GiveConsumableShieldToAlly","","","1000","","","","",""
"","","","","200","","","","",""
"","","","","4000","","","","",""
"MechaDudeOverchargeShotAreaEffectAction","AttachAreaEffect","","","","","MechaDudeBulletHitExplosionOvercharged","","",""
"SpeedyOverchargedBuddyWeaponAction","TriggerAreaEffectSource","","","","","SpeedyOverchargedBuddyWeaponArea","","",""
"PowerLevelerGadgetShieldGiveAmmo","GiveAmmoSource","","","2","","","","",""
"PowerLevelerGadgetShieldGadgetCooldown","ReduceAccessoryCooldownSource","","","50","","","","",""
