"Name","Disabled","ValidFormat","AllowAdditionalFiles"
"string","Boolean","string","Boolean"
"ClubPiggyXmasReskinSc",,".sc",
"ClubPiggyTunaSC",,".sc",
"ContestArcadeSc",,".sc",
"ContestWasabiSc",,".sc",
"CommunityEventNewsIconSc",,".sc",
"ContestAngelicSc",,".sc",
"ContestDemonicSc",,".sc",
"ContestSubwaySc",,".sc",
"ClubPiggySubwaySC",,".sc",
"MegaQuestSlot1SC",,".sc",
"MegaQuestSlot2SC",,".sc",
"MegaQuestSlot3SC",,".sc",
"MegaQuestSlot4SC",,".sc",
"HomePageWinTrack",,".sc",
"TomlTest",,".sc;.ui","TRUE"
"BossIntroPanel1",,".sc;.ui","TRUE"
"BossIntroPanel2",,".sc;.ui","TRUE"
"BossIntroPanel3",,".sc;.ui","TRUE"
"BossIntroPanel4",,".sc;.ui","TRUE"
"home_page_collab_button",,".sc",
"Collab16",,".sc;.ui","TRUE"
"shop_tab_button_1",,".sc;.ui","TRUE"
"shop_tab_button_2",,".sc;.ui","TRUE"
"shop_tab_button_3",,".sc;.ui","TRUE"
"shop_tab_button_4",,".sc;.ui","TRUE"
"shop_tab_button_5",,".sc;.ui","TRUE"
"shop_tab_button_6",,".sc;.ui","TRUE"
"shop_tab_button_7",,".sc;.ui","TRUE"
"shop_tab_button_8",,".sc;.ui","TRUE"
"shop_tab_bg_1",,".sc;.ui","TRUE"
"shop_tab_bg_2",,".sc;.ui","TRUE"
"shop_tab_bg_3",,".sc;.ui","TRUE"
"shop_tab_bg_4",,".sc;.ui","TRUE"
"shop_tab_bg_5",,".sc;.ui","TRUE"
"shop_tab_bg_6",,".sc;.ui","TRUE"
"shop_tab_bg_7",,".sc;.ui","TRUE"
"shop_tab_bg_8",,".sc;.ui","TRUE"
"Collab16_levelup",,".sc;.ui","TRUE"
"event_hub",,".sc;.ui","TRUE"
"event_hub_nano_noodles",,".sc;.ui","TRUE"
"event_hub_windstock",,".sc;.ui","TRUE"
"collab_modifier_flame_effect",,".sc",
"collab_event_selection_panel",,".sc",
"ContestNanoSc",,".sc",
"ContestWindSc",,".sc",
"aycb_nano_noodles",,".sc",
"sc_store_promo_asset",,".ui;.sc","TRUE"
