"Name","PoolTickets","Disabled","Emotes","DiscountPercentage","DropRate","TID"
"string","int","Boolean","string","int","int","string"
"AllEmotes",,,"emoji_grom_challenge_angry",0,100,
,,,"emoji_draco_clap",0,100,
,,,"emoji_byron_clap",0,100,
,,,"emoji_meeple_gg",0,100,
,,,"emoji_feudaljapan_prawnsushi",0,100,
,,,"emoji_bp_fantasy_angry",0,100,
,,,"emoji_skull_ragnarock_gg",0,100,
,,,"emoji_kit_phew",0,100,
,,,"emoji_bp_sandsoftime2_happy",0,100,
,,,"emoji_ramadan_thanks",0,100,
,,,"emoji_monkey_deaf",0,100,
,,,"emoji_meeple_sad",0,100,
,,,"emoji_jae_clap",0,100,
,,,"emoji_grom_sad",0,100,
,,,"emoji_lny_angry",0,100,
,,,"emoji_ollie_thanks",0,100,
,,,"emoji_angelo_angry",0,100,
,,,"emoji_charlotte_sad",0,100,
,,,"emoji_belle_clap",0,100,
,,,"emoji_trunk_clap",0,100,
,,,"emoji_bp_mecha_happy",0,100,
,,,"emoji_piggybank",0,100,
,,,"emoji_skull_ragnarock",0,100,
,,,"emoji_lny25_wish",0,100,
,,,"emoji_piggybank_sad",0,100,
,,,"emoji_bp_sandsoftime2",0,100,
,,,"emoji_rt_gg",0,100,
,,,"emoji_chuck_clap",0,100,
,,,"emoji_bp_mecha_phew",0,100,
,,,"emoji_bo_clap",0,100,
,,,"emoji_bp_darkonceupon_gg",0,100,
,,,"emoji_bp_starrforce",0,100,
,,,"emoji_love",0,100,
,,,"emoji_fang_thanks",0,100,
,,,"emoji_willow_angry",0,100,
,,,"emoji_starr",0,100,
,,,"emoji_lny_pocket",0,100,
,,,"emoji_bonnie_clap",0,100,
,,,"emoji_bp_goodrandoms_thanks",0,100,
,,,"emoji_feudaljapan_dorosqueak",0,100,
,,,"emoji_miko_phew",0,100,
,,,"emoji_bp_deep_happy",0,100,
,,,"emoji_bp_fantasy_happy",0,100,
,,,"emoji_meg_sad",0,100,
,,,"emoji_gray_thanks",0,100,
,,,"emoji_otto_phew",0,100,
,,,"emoji_miko_clap",0,100,
,,,"emoji_griff_sad",0,100,
,,,"emoji_selena_phew",0,100,
,,,"emoji_lumi_angry",0,100,
,,,"emoji_dino_phew",0,100,
,,,"emoji_melodie_gg",0,100,
,,,"emoji_piper_clap",0,100,
,,,"emoji_ash_sad",0,100,
,,,"emoji_meg_phew",0,100,
,,,"emoji_lny_flower",0,100,
,,,"emoji_clancy_phew",0,100,
,,,"emoji_bp_darkgreek_gg",0,100,
,,,"emoji_squeak_sad",0,100,
,,,"emoji_bp_toon_phew",0,100,
,,,"emoji_pierce_gg",0,100,
,,,"emoji_melodie_thanks",0,100,
