"Name","PoolTickets","Disabled","PlayerThumbnails","DiscountPercentage","DropRate","TID"
"string","int","Boolean","string","int","int","string"
"AllPlayerThumbnails",,,"player_icon_mecha_box",0,100,
,,,"player_icon_moba_redbase",0,100,
,,,"player_icon_sandsoftime4",0,100,
,,,"player_icon_bp_hackers",0,100,
,,,"player_icon_darkmas",0,100,
,,,"player_icon_kaiju_disc",0,100,
,,,"player_icon_moba_bluebase",0,100,
,,,"player_icon_lny24_2",0,100,
,,,"player_icon_bp_toons2",0,100,
,,,"player_icon_olympus",0,100,
,,,"player_icon_outlaw",0,100,
,,,"player_icon_cyborg",0,100,
,,,"player_icon_kaiju_eye",0,100,
,,,"player_icon_lny24_6",0,100,
,,,"player_icon_robots_1",0,100,
,,,"player_icon_lny24_1",0,100,
,,,"player_icon_phoenix_fire",0,100,
,,,"player_icon_robots_4",0,100,
,,,"player_icon_moba_shape",0,100,
,,,"player_icon_sandsoftime1",0,100,
,,,"player_icon_super1",0,100,
,,,"player_icon_bp_fantasy",0,100,
,,,"player_icon_moba_blueturret",0,100,
,,,"player_icon_bp_goodrandoms",0,100,
,,,"player_icon_bp_enchanted",0,100,
,,,"player_icon_carneval25",0,100,
,,,"player_icon_bp_kaiju",0,100,
,,,"player_icon_bp_super",0,100,
,,,"player_icon_brawlentine2024_2",0,100,
,,,"player_icon_enchanted",0,100,
,,,"player_icon_robot_colt",0,100,
,,,"player_icon_moba_boss",0,100,
,,,"player_icon_brawlentine2024_1",0,100,
,,,"player_icon_candyland",0,100,
,,,"player_icon_robots_2",0,100,
,,,"player_icon_bp_steampunk",0,100,
,,,"player_icon_dragonden",0,100,
,,,"player_icon_sheep",0,100,
,,,"player_icon_event_moon_1",0,100,
,,,"player_icon_cctv",0,100,
,,,"player_icon_robots_3",0,100,
,,,"player_icon_event_moon_2",0,100,
,,,"player_icon_goldball",0,100,
,,,"player_icon_mecha",0,100,
,,,"player_icon_bp_graffiti",0,100,
,,,"player_icon_goodrandomsbull",0,100,
,,,"player_icon_necklace_sb",0,100,
,,,"player_icon_bp_sandsoftime",0,100,
,,,"player_icon_velocirapids",0,100,
,,,"player_icon_candyland_skull",0,100,
,,,"player_icon_defeat_them_all",0,100,
,,,"player_icon_steampunk_skull",0,100,
,,,"player_icon_angeldemon_robot",0,100,
,,,"player_icon_bp_circus",0,100,
,,,"player_icon_lny2023",0,100,
,,,"player_icon_demon_star",0,100,
,,,"player_icon_hmm",0,100,
,,,"player_icon_bp_darkonceupon",0,100,
,,,"player_icon_eagle1",0,100,
,,,"player_icon_bp_ragnarok",0,100,
,,,"player_icon_cursed",0,100,
,,,"player_icon_starr",0,100,
,,,"player_icon_lny3",0,100,
,,,"player_icon_angel_star",0,100,
,,,"player_icon_eagle2",0,100,
,,,"player_icon_hindu",0,100,
,,,"player_icon_lny2",0,100,
,,,"player_icon_bp_brawlentine",0,100,
,,,"player_icon_sakuraspike",0,100,
,,,"player_icon_blingstar",0,100,
,,,"player_icon_bp_olympic",0,100,
,,,"player_icon_retropolis",0,100,
,,,"player_icon_womenday",0,100,
,,,"player_icon_lny1",0,100,
,,,"player_icon_angeldemon_robot2",0,100,
,,,"player_icon_brawlentines",0,100,
,,,"player_icon_angeldemon_eye",0,100,
,,,"player_icon_boba_spike",0,100,
,,,"player_icon_starrforce3",0,100,
,,,"player_icon_brawlentine_gift",0,100,
,,,"player_icon_angeldemon_skull",0,100,
,,,"player_icon_feudaljapan_statue",0,100,
,,,"player_icon_toys1",0,100,
,,,"player_icon_lny26_papercut",0,100,
,,,"player_icon_greek_pomegranate",0,100,
,,,"player_icon_feudaljapan_octopuss",0,100,
,,,"player_icon_starrforce5",0,100,
,,,"player_icon_bp_wasteland",0,100,
,,,"player_icon_bunny_brigade",0,100,
,,,"player_icon_lny26_luck",0,100,
,,,"player_icon_feudaljapan_bentobox",0,100,
,,,"player_icon_bp_starrforce",0,100,
,,,"player_icon_greek_hadestemple",0,100,
,,,"player_icon_boba_tick",0,100,
,,,"player_icon_starrpark_logo",0,100,
,,,"player_icon_bp_feudaljapan",0,100,
,,,"player_icon_starrforce4",0,100,
,,,"player_icon_masks",0,100,
,,,"player_icon_ghosttrain",0,100,
,,,"player_icon_feudaljapan_sushi",0,100,
,,,"player_icon_bp_sandsoftime2",0,100,
,,,"player_icon_starrforce1",0,100,
,,,"player_icon_angelsdemons6",0,100,
,,,"player_icon_goldenweek",0,100,
,,,"player_icon_whatcouldthisbe",0,100,
,,,"player_icon_toys2",0,100,
,,,"player_icon_angelsdemons5",0,100,
,,,"player_icon_brawlball_foot",0,100,
,,,"player_icon_university",0,100,
,,,"player_icon_biodome",0,100,
,,,"player_icon_action",0,100,
,,,"player_icon_lantern",0,100,
,,,"player_icon_gym_strong",0,100,
,,,"player_icon_starrforce2",0,100,
