"Name","PoolTickets","Disabled","RewardOptionName","RewardOptionType","RewardOptionCount","Tickets","FallbackRewardPool"
"string","int","Boolean","string","string","int","int","Boolean"
"MinorRewardPoolPSI",,,"AllEmotes","EmotePool",1,1,
,,,"AllSprays","SprayPool",1,1,
,,,"AllPlayerThumbnails","PlayerThumbnailPool",1,1,
"MinorRewardPoolAll",,,"AllEmotes","EmotePool",1,250,
,,,"AllSprays","SprayPool",1,250,
,,,"AllPlayerThumbnails","PlayerThumbnailPool",1,250,
,,,"RANDOM_STARR_DROP#1","GemOffer",1,100,
,,,"RANDOM_STARR_DROP#2","GemOffer",1,50,
,,,"RANDOM_STARR_DROP#3","GemOffer",1,30,
,,,"STARR_DROP_CONTAINER#LegendaryStar","GemOffer",1,10,
,,,"OVERCHARGE_STARR_DROP#1","GemOffer",1,5,
,,,"RANDOM_SPLITTING_STAR#1","GemOffer",1,100,
,,,"TROPHY_SEASON_BOX#SeasonBoxLevel1","GemOffer",1,30,
,,,"TROPHY_SEASON_BOX#SeasonBoxLevel2","GemOffer",1,15,
,,,"TROPHY_SEASON_BOX#SeasonBoxLevel3","GemOffer",1,10,
,,,"TROPHY_SEASON_BOX#SeasonBoxLevel4","GemOffer",1,5,
,,,"NEW_MEGA_BOX#1","GemOffer",1,50,
,,,"ANGELIC_STAR#1","GemOffer",1,100,
,,,"DEMONIC_STAR#1","GemOffer",1,100,
,,,"SUSHI_DROP#1","GemOffer",1,100,
,,,"MECH_BOX#1","GemOffer",1,50,
"MinorRewardPoolGacha",,,"RANDOM_STARR_DROP#1","GemOffer",1,100,
,,,"RANDOM_STARR_DROP#2","GemOffer",1,50,
,,,"RANDOM_STARR_DROP#3","GemOffer",1,30,
,,,"STARR_DROP_CONTAINER#LegendaryStar","GemOffer",1,10,
,,,"OVERCHARGE_STARR_DROP#1","GemOffer",1,5,
,,,"RANDOM_SPLITTING_STAR#1","GemOffer",1,100,
,,,"TROPHY_SEASON_BOX#SeasonBoxLevel1","GemOffer",1,30,
,,,"TROPHY_SEASON_BOX#SeasonBoxLevel2","GemOffer",1,15,
,,,"TROPHY_SEASON_BOX#SeasonBoxLevel3","GemOffer",1,10,
,,,"TROPHY_SEASON_BOX#SeasonBoxLevel4","GemOffer",1,5,
,,,"NEW_MEGA_BOX#1","GemOffer",1,50,
,,,"ANGELIC_STAR#1","GemOffer",1,100,
,,,"DEMONIC_STAR#1","GemOffer",1,100,
,,,"SUSHI_DROP#1","GemOffer",1,100,
,,,"MECH_BOX#1","GemOffer",1,50,
"FallbackMinorRewardPoolGacha",,,"RANDOM_STARR_DROP#1","GemOffer",1,100,"TRUE"
,,,"RANDOM_STARR_DROP#2","GemOffer",1,50,
,,,"RANDOM_STARR_DROP#3","GemOffer",1,30,
,,,"STARR_DROP_CONTAINER#LegendaryStar","GemOffer",1,10,
,,,"OVERCHARGE_STARR_DROP#1","GemOffer",1,5,
,,,"RANDOM_SPLITTING_STAR#1","GemOffer",1,100,
,,,"TROPHY_SEASON_BOX#SeasonBoxLevel1","GemOffer",1,30,
,,,"TROPHY_SEASON_BOX#SeasonBoxLevel2","GemOffer",1,15,
,,,"TROPHY_SEASON_BOX#SeasonBoxLevel3","GemOffer",1,10,
,,,"TROPHY_SEASON_BOX#SeasonBoxLevel4","GemOffer",1,5,
,,,"NEW_MEGA_BOX#1","GemOffer",1,50,
,,,"ANGELIC_STAR#1","GemOffer",1,100,
,,,"DEMONIC_STAR#1","GemOffer",1,100,
,,,"SUSHI_DROP#1","GemOffer",1,100,
,,,"MECH_BOX#1","GemOffer",1,50,
"TestMinorRewardPoolGachaTrophySeasonBox",,,"TROPHY_SEASON_BOX#SeasonBoxLevel1","GemOffer",1,100,
,,,"TROPHY_SEASON_BOX#SeasonBoxLevel2","GemOffer",1,100,
,,,"TROPHY_SEASON_BOX#SeasonBoxLevel3","GemOffer",1,100,
,,,"TROPHY_SEASON_BOX#SeasonBoxLevel4","GemOffer",1,100,
,,,"TROPHY_SEASON_BOX#SeasonBoxLevel5","GemOffer",1,100,
"TestMinorRewardPoolGachaRarityStarrDrop",,,"STARR_DROP_CONTAINER#RareStar","GemOffer",1,100,
,,,"STARR_DROP_CONTAINER#SuperRareStar","GemOffer",1,100,
,,,"STARR_DROP_CONTAINER#EpicStar","GemOffer",1,100,
,,,"STARR_DROP_CONTAINER#MythicStar","GemOffer",1,100,
,,,"STARR_DROP_CONTAINER#LegendaryStar","GemOffer",1,100,
,,,"STARR_DROP_CONTAINER#OverchargeStar","GemOffer",1,100,
"TestMinorRewardPool_TEST_spray_bp_steampunk",,,"TEST_spray_bp_steampunk","SprayPool",1,1,
"TestMinorRewardPool_TEST_emoji_lny",,,"TEST_emoji_lny","EmotePool",1,1,
"TestMinorRewardPool_TEST_player_icon_bp_wasteland",,,"TEST_player_icon_bp_wasteland","PlayerThumbnailPool",1,1,
