"Name","BehaviorType","EquipType","OverchargedVersion","CanMoveAtSameTime","Targeted","AutoAttackTargetingType","AttackFacing","Cooldown","BonusSkillCooldown","ActiveTime","CastingTime","CastingRange","RangeVisual","RangeInputScale","MaxCastingRange","AllowAimOutsideMap","ForceValidTile","RechargeTime","MaxCharge","Damage","DamageForUlti","PercentDamage","MsBetweenAttacks","Spread","AttackPattern","NumBulletsInOneAttack","TwoGuns","ExecuteFirstAttackImmediately","MovementSpeed","ChargePushback","OverchargedChargePushback","ChargeSpeed","ChargeType","NumSpawns","MaxSpawns","BreakInvisibilityOnAttack","SeeInvisibilityDistance","AlwaysCastAtMaxRange","RestrictCastOnSkillActive","Projectiles","OverchargedProjectiles","OverchargedChainProjectile","SummonedCharacters","OverchargedSummonedCharacters","AreaEffectObject","DontTriggerAreaAtEndOfCharge","AreaEffectObject2","AreaEffect2AtEndOfCharge","OverchargedAreaEffectObject","OverchargedAreaEffectObject2","AreaEffectFollowType","MeleeAttackPiercesEnvironment","MeleeAttackOnHitActions","ConsumableShieldValue","ConsumableShieldTicks","SpawnedItem","OverchargedSpawnedItem","SpawnItemTriggerType","ButtonSWF","ButtonExportName","ButtonExportNameBlue","CastingEffect","AttackEffect","OverchargedAttackEffect","UseEffect","OverchargedUseEffect","EndEffect","OverchargedEndEffect","LoopEffect","LoopEffect2","OverchargedLoopEffect","OverchargedLoopEffect2","OverrideMusicWhenEquipped","ChargeMoveSound","MultiShot","SkillChangeType","SecondarySkill","SecondarySkill2","SecondarySkill3","SecondarySkill4","ShowTimerBar","ChargedShotCount","DamageModifier","HoldToShoot","UsableInShadowRealm","HealSelfOnActivationType","HealSelfOnActivationPower","LowHealthSpeedupPercent","ActivationSelfStatusEffects","ActivationSelfStatusEffectsOvercharged","OnChargeHitStatusEffect","OnChargeHitStatusEffectOvercharged","InterruptType","TID","Desc","BooleanAttributes","CustomString","CustomString2","CustomValue","CustomValue2","BotUsageHint","ForceWalkAnim","AttackAnimationSpeed","OnChargeHitSelfStatusEffect","ShowChainIndicator"
"string","String","String","String","boolean","boolean","int","int","int","int","int","int","int","int","int","int","boolean","int","int","int","int","int","int","int","int","int","int","boolean","boolean","int","int","int","int","int","int","int","boolean","int","boolean","boolean","string","string","string","string","string","string","boolean","string","boolean","string","string","string","boolean","string","int","int","string","string","int","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","boolean","int","string","string","string","string","boolean","int","int","boolean","boolean","int","int","int","string","string","string","string","int","String","String","String","string","string","int","int","string","boolean","int","string","boolean"
"ShotgunGirlWeapon","Attack","weapon","ShotgunGirlOverchargedWeapon","true","true","","","250","","150","","23","","","","","","1500","3","300","-1","","100","60","","5","","true","","","","","","","","","","","","ShotgunGirlProjectile","","","","","","","","","","","","","","","","","","","","","","","shelly_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"ShotgunGirlUlti","Attack","ulti","","true","true","","","250","","150","","23","","","","","","","","320","-1","","100","100","","9","","true","","","","","","","","","","","","ShotgunGirlUltiProjectile","ShotgunGirlOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","shelly_def_ulti","shelly_def_overcharge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GunslingerWeapon","Attack","weapon","GunslingerOverchargedWeapon","true","true","","","50","","650","","27","","","","","","1300","3","360","-1","","100","0","","1","true","true","","","","","","","","","","","","GunslingerProjectile","","","","","","","","","","","","","","","","","","","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"GunslingerUlti","Attack","ulti","","true","true","","","50","","1250","","33","","","","","","","","320","-1","","100","0","","1","true","true","","","","","","","","","","","","GunslingerUltiProjectile","GunslingerOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","colt_def_ulti","colt_def_overcharge","dummy_effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BullDudeWeapon","Attack","weapon","BullDudeOverchargedWeapon","true","true","","","250","","150","","16","","","","","","1600","3","440","-1","","100","90","","5","","true","","","","","","","","","","","","BullDudeProjectile","","","","","","","","","","","","","","","","","","","","","","","bull_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"BullDudeUlti","Charge","ulti","","","true","","","50","","","","33","","","","","","","","1000","-1","","","","","","","","","130","","2000","1","","","","","false","","","","","","","","","BullSlowArea","true","","","","","","","","","","","","","","","","","bull_dude_ulti","","","","bull_dude_ulti_loop","","bull_def_overcharge","bull_def_overcharge_loop","","Rhinostep","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketGirlWeapon","Attack","weapon","RocketGirlWeaponBuddy","true","true","","","250","","150","","27","","","","","","1950","3","1160","-1","","100","","","1","","true","","","","","","","","","","","","RocketGirlProjectile","","","","","","","","","","","","","","","","","","","","","","","brock_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"RocketGirlUlti","Attack","ulti","","true","true","","","250","","1850","","25","","","","","","","","1040","-1","","200","160","9","1","","true","","","","","","","","","","","","RocketGirlUltiProjectile","RocketGirlUltiOverchargedProjectile","","","","","","","","","","","","","","","","","","","","","","brock_def_ulti","brock_def_oc_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrickshotDudeWeapon","Attack","weapon","TrickshotDudeWeaponBuddyOvercharged","true","true","","","50","","600","","29","","","","","","1100","3","300","-1","","120","15","1","1","","true","","","","","","","","","","","","TrickshotDudeProjectile","","","","","","","","","","","","","","","","","","","","","","","rico_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"TrickshotDudeUlti","Attack","ulti","","true","true","","","50","","1250","","40","","","","","","","","360","-1","","100","20","1","1","","true","","","","","","","","","","","","TrickshotDudeUltiProjectile","TrickshotDudeUltiOverchargedProjectile","","","","","","","","","","","","","","","","","","","","","","rico_def_ulti","rico_def_oc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusWeapon","Attack","weapon","CactusOverchargedWeapon","true","true","","","250","","150","","23","","","","","","2000","3","540","-1","","100","","","1","","true","","","","","","","","","","","","CactusProjectile","","","","","","","","","","","","","","","","","","","","","","","cactus_attack","cactus_attack_buddy","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"CactusUlti","Attack","ulti","","true","true","","","250","","150","","23","","","","","","","","400","-1","","100","0","","1","","true","","","","","","","","","","","","CactusUltiProjectile","CactusOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","cactus_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarkeepWeapon","Attack","weapon","","true","true","","","250","","150","","22","","","","","","2000","3","800","-1","","100","0","","1","","true","","","","","","","","","","","","BarkeepProjectile","","","","","","","","","","","","","","","","","","","","","","","barkeep_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"BarkeepUlti","Attack","ulti","","true","true","","","250","","1050","","28","","","","","","","","800","-1","","200","75","9","1","","true","","","","","","","","","","","","BarkeepUltiProjectile","BarkeepOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","barkeep_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechanicWeapon","Attack","weapon","","true","true","","","250","","150","","27","","","","","","1800","3","1060","-1","","100","0","","1","","true","","","","","","","","","","","","MechanicProjectile1","","","","","","","","","","","","","","","","","","","","","","","mechanic_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
