"Name","AlbumType","Skins","AcquireLocation","CompletionRewardSprays","CompletionRewardEmotes","CompletionRewardThumbnails","Collabs","TID","AvailabilityDesc","ExcludeFromCompletionCheck","ExcludeFromView","JustDecoration","AnimStart","AnimNext","OwnedAnimStart","OwnedAnimNext","CompletionRequirementGroup","SyncAnimations","SceneExportName","UseCombinedRenderingArea","RenderingAreaName","ShowPet","OverlayEffect","BGEffect","CameraFile","NewsLinkId"
"string","string","string","string","string","string","string","string","string","string","boolean","boolean","boolean","string","string","string","string","string","boolean","string","boolean","string","boolean","string","string","string","string"
"WasabiCollabSkinAlbum","Collab","SamuraiJapan","EventMenu","spray_feudaljapan_mask",,,"Wasabi",,"TID_AVAILABILITY_WASABI_TIME_LIMITED_ALBUM",,,,,,,,,,,,,,,,,
,,"WallyJapan","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"DoorManJapan","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"SniperJapan","BrawlPass",,,,,,,,,,,,,,,,,,,,,,,
,,"BlackHoleJapan","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"KnightJapan","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"InsectManJapan","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"SamuraiJapanOvercharge","EventMenu",,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,
"GraveyardTrio","Trio","FrankDefault","HeroScreen",,,,,,,,,,,,,,,,,,,,,,,
,,"UndertakerDefault","HeroScreen",,,,,,,,,,,,,,,,,,,,,,,
,,"MummyDefault","HeroScreen",,,,,,,,,,,,,,,,,,,,,,,
"AngelsCollabSkinAlbum","Collab","EnragerAngel","EventGacha","spray_angel_door",,,,,"TID_AVAILABILITY_ANGELSDEMONSv2_TIME_LIMITED_ALBUM",,,,,,,,,,,,,,,,,
,,"SpeedyAngel","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"ShieldTankAngel","EventMenu",,,,,,,,,,,,,,,,,,,,,,,
