"Name","NameTID","InfoTID","BgItemName","BgOfferScFilename","BgOfferPopup","SkinBuyRequiresExclusiveOption","EmoteBundleName","CampaignIconExportName","DisabledFromCatalog","ShowInCatalogCollectionsSection","CatalogSortingOrder","BundledUnderCatalogCategory","CatalogNameOverrideTID","CatalogDescriptionTID","UseSecondCampaing"
"String","String","String","String","String","String","boolean","String","String","boolean","boolean","int","String","String","String","boolean"
"BRAWLIDAYS","TID_SKIN_INFO_CAMPAIGN_1_NOT_AVAILABLE",,"bg_campaign_1","sc/theme_brawlidays.sc","offer_bgr_xmas23",,,"icon_skins_brawlmas",,,,,"TID_CATALOG_NAME_BRAWLIDAYS","TID_CATALOG_DESC_BRAWLIDAYS",
"LNY_2019","TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2019",,"bg_campaign_5","sc/theme_LNY_2019.sc","offer_bgr_lny24",,,"icon_skins_lny20",,,,,"TID_CATALOG_NAME_LNY",,
"BRAWLOWEEN2020","TID_SKIN_INFO_CAMPAIGN_3_NOT_AVAILABLE",,"bg_campaign_3","sc/theme_brawloween.sc","offer_bgr_zombie",,,"icon_skins_brawloween",,,,"BRAWLOWEEN",,,
"LINE","TID_SKIN_INFO_CAMPAIGN_4_NOT_AVAILABLE",,"bg_campaign_4","sc/theme_blue.sc","offer_bgr_blue",,,"icon_skins_line",,,,,,,
"LNY_2020","TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2020",,"bg_campaign_5","sc/theme_LNY_2019.sc","offer_bgr_lny24",,,"icon_skins_lny20",,,,"LNY_2019",,,
"PSG","TID_SKIN_INFO_CAMPAIGN_6_NOT_AVAILABLE",,"bg_campaign_6","sc/theme_psg.sc","offer_bgr_football2024",,,"icon_skins_psg",,,,,,,
"SC_MAKE","TID_SKIN_INFO_CAMPAIGN_7_SC_MAKE","TID_SKIN_INFO_CAMPAIGN_7_NOT_AVAILABLE","bg_campaign_7","sc/theme_make.sc","offer_bgr_make",,,"icon_skins_make",,,,,,,"TRUE"
"ARCHIVING","TID_SKIN_INFO_CAMPAIGN_8_NOT_AVAILABLE",,"bg_campaign_8","sc/theme_blue.sc","offer_bgr_blue",,,"icon_skins_archive",,,,,,,
"ARCHIVED","TID_SKIN_INFO_CAMPAIGN_9_NOT_AVAILABLE",,"bg_campaign_9","sc/theme_blue.sc","offer_bgr_blue",,,"icon_skins_archive",,,,,,,
"SC10","TID_SKIN_INFO_CAMPAIGN_10_NOT_AVAILABLE",,"bg_campaign_10","sc/theme_blue.sc","offer_bgr_blue",,,"icon_skins_sc10y",,,,,,,
"BRAWLPASS","TID_SKIN_INFO_CAMPAIGN_11_NOT_AVAILABLE",,"bg_campaign_11","sc/theme_blue.sc","offer_bgr_blue",,,"icon_skins_brawl_pass",,,,,,"TID_CATALOG_DESC_BRAWLPASS","TRUE"
"CHINA","TID_SKIN_INFO_CAMPAIGN_12_NOT_AVAILABLE",,"bg_campaign_12","sc/theme_china.sc","offer_bgr_rarity_mythic",,,"icon_skins_prereg_cn",,,,,,,
"SILVER","TID_SKIN_INFO_CAMPAIGN_13_NOT_AVAILABLE",,"bg_campaign_13","sc/theme_silver.sc","offer_bgr_rarity_common",,,"icon_skins_silver",,"TRUE",,,,,
"GOLD","TID_SKIN_INFO_CAMPAIGN_14_NOT_AVAILABLE",,"bg_campaign_14","sc/theme_gold.sc","offer_bgr_gold",,,"icon_skins_gold",,"TRUE",,,,,
"WF_2020","TID_SKIN_INFO_CAMPAIGN_15_NOT_AVAILABLE",,"bg_campaign_15","sc/theme_esports.sc","offer_bgr_wf2023",,,"icon_skins_wf",,,-10,,"TID_CATALOG_NAME_BSC",,
