"Name","PoolTickets","Disabled","Sprays","DiscountPercentage","DropRate","TID"
"string","int","Boolean","string","int","int","string"
"AllSprays",,,"spray_skullsign",0,100,
,,,"spray_ragnarok",0,100,
,,,"spray_sandsoftime",0,100,
,,,"spray_stuntshow_wheel",0,100,
,,,"spray_bp_valentines25",0,100,
,,,"spray_lny_dragon",0,100,
,,,"spray_bp_darksands",0,100,
,,,"spray_stuntshow_chevrons",0,100,
,,,"spray_denied",0,100,
,,,"spray_candyland1",0,100,
,,,"spray_ghost_wagon1",0,100,
,,,"spray_ziggy_3",0,100,
,,,"spray_bling",0,100,
,,,"spray_zombies_3",0,100,
,,,"spray_amazon_frog",0,100,
,,,"spray_footstep",0,100,
,,,"spray_badrandoms",0,100,
,,,"spray_angelsdemons_3",0,100,
,,,"spray_feudaljapan_sushi",0,100,
,,,"spray_challenge_basketball",0,100,
,,,"spray_crashdummy",0,100,
,,,"spray_wasteland",0,100,
,,,"spray_sam_steampunk",0,100,
,,,"spray_badgem",0,100,
,,,"spray_graffiti_3",0,100,
,,,"spray_kaze_assassin",0,100,
,,,"spray_hub2",0,100,
,,,"spray_saw_robot_03",0,100,
,,,"spray_meg_jungle",0,100,
,,,"spray_maisie_wasteland",0,100,
,,,"spray_sushi_2",0,100,
,,,"spray_carnaval",0,100,
,,,"spray_feudaljapan_weapon",0,100,
,,,"spray_bp_deepsea",0,100,
,,,"spray_feudaljapan_frame",0,100,
,,,"spray_angrycloud",0,100,
,,,"spray_feudaljapan_katana",0,100,
,,,"spray_heartarrow",0,100,
,,,"spray_angelsdemons_2",0,100,
,,,"spray_bp_deepsea-extra2",0,100,
,,,"spray_janet_popstar",0,100,
,,,"spray_lny_firecrackers",0,100,
,,,"spray_floaty_palmtree",0,100,
,,,"spray_mila_2",0,100,
,,,"spray_allie_brawlentine",0,100,
,,,"spray_angel_helmet",0,100,
,,,"spray_lny2022",0,100,
,,,"spray_bp_goodrandoms",0,100,
,,,"spray_bp_fantasybo",0,100,
,,,"spray_starrforce1",0,100,
,,,"spray_sushi_5",0,100,
,,,"spray_sirius2",0,100,
,,,"spray_saw_robot_01",0,100,
,,,"spray_tick_bt21",0,100,
,,,"spray_saw_robot_02",0,100,
,,,"spray_lny_writing",0,100,
,,,"spray_skullchamp",0,100,
,,,"spray_pierce_3",0,100,
