"Name","Logic","ChainStatusEffect","ChainStatusEffect2","StatusToApplyOnEnd","UseColorMod","RedAdd","GreenAdd","BlueAdd","FullScreenAdd","FullScreenMul","FullScreenEffectFile","FullScreenEffectName","StartEffect","LoopedEffect","LoopedEffectRemoveType","TriggerEffect","EndEffect"
"string","string","string","string","string","boolean","int","int","int","string","string","string","string","string","string","string","string","string"
"WhirlwindTrailFire","WhirlwindTrailFire","","","","TRUE","150","150","0","","","","","","poisoned_002","end","",""
"WhirlwindUltiTrailFire","WhirlwindUltiTrailFire","","","","TRUE","150","150","0","","","","","","poisoned_002","end","",""
"PetrolFire","PetrolFire","","","","TRUE","150","150","0","","","","","","poisoned_002","end","",""
"PetrolFireIce","PetrolFire","","","","TRUE","150","150","150","","","","","","poisoned_008","end","",""
"PetrolFireBubbles","PetrolFire","","","","TRUE","150","150","150","","","","","","poisoned_011","end","",""
"PetrolFireDark","PetrolFire","","","","TRUE","150","150","150","","","","","","amber_005_ulti_status","end","",""
"PetrolFireTwinkles","PetrolFire","","","","TRUE","150","150","150","","","","","","amber_006_ulti_status","end","",""
"PetrolFireOvercharged","PetrolFireOvercharged","","","","TRUE","150","150","150","","","","","","poisoned_002","end","",""
"RollerFire","RollerFire","","","","TRUE","150","150","0","","","","","","poisoned_002","end","",""
"RollerFireIce","RollerFire","","","","TRUE","150","150","150","","","","","","poisoned_008","end","",""
"PuppeteerPoison","PuppeteerPoison","","","","TRUE","0","100","0","","","","","","willow_def_atk_poison","end","",""
"Puppeteer002Poison","PuppeteerPoison","","","","TRUE","0","100","0","","","","","","willow_def_atk_poison","end","",""
"Puppeteer003Poison","PuppeteerPoison","","","","TRUE","0","100","0","","","","","","poisoned_002","end","",""
"Puppeteer004Poison","PuppeteerPoison","","","","TRUE","0","100","0","","","","","","willow_def_atk_poison","end","",""
"SharpenedAmmoBleed","SharpenedAmmoBleed","","","","TRUE","150","0","0","","","","","","status_blood","end","",""
"CollabAssassinBleed","CollabAssassinBleed","","","","TRUE","150","0","0","","","","","","status_blood","end","",""
"JesterUltiPoison","JesterUltiPoison","","","","TRUE","0","100","0","","","","","","poisoned_001","end","",""
"BarkeepPuddleSlow","BarkeepPuddleSlow","","","","","","","","","","","","","slowed","end","",""
"MechanicTurretAreaSlow","MechanicTurretAreaSlow","","","","","","","","","","","","","slowed","end","",""
"CocoonerTrailAreaSlow","CocoonerTrailAreaSlow","","","","","","","","","","","","","slowed","end","",""
"BeeSniperAreaSlow","BeeSniperAreaSlow","","","","","","","","","","","","","slowed","end","",""
"BeeSniperUltiProjectileSlow","BeeSniperUltiProjectileSlow","","","","","","","","","","","","","slowed","end","",""
"ChesterUltiAreaSlow","ChesterUltiAreaSlow","","","","","","","","","","","","","slowed","end","",""
"MegaCactusUltiExplosionSlow","MegaCactusUltiExplosionSlow","","","","","","","","","","","","","slowed","end","",""
"MegaTickAreaSlow","MegaTickAreaSlow","","","","","","","","","","","","","slowed","end","",""
"MegaStickyBombAreaSlow","MegaStickyBombAreaSlow","","","","","","","","","","","","","slowed","end","",""
"MarksmanArchetypeAreaSlow","MarksmanArchetypeAreaSlow","","","","","","","","","","","","","slowed","end","",""
"BaseballGadgetStickyAreaSlow","BaseballGadgetStickyAreaSlow","","","","","","","","","","","","","slowed","end","",""
"FishTankGadgetAreaSlow","FishTankGadgetAreaSlow","","","","","","","","","","","","","slowed","end","",""
"VoodooAreaSlow","VoodooAreaSlow","","","","","","","","","","","","","slowed","end","",""
"VoodooPetProjectileSlow","VoodooPetProjectileSlow","","","","","","","","","","","","","slowed","end","",""
"LeaperGadgetSlow","LeaperGadgetSlow","","","","","","","","","","","","","slowed","end","",""
"WrathOfAnAngelProjectileSlow","WrathOfAnAngelProjectileSlow","","","","","","","","","","","","","slowed","end","",""
"BeamerProjectileSlow","BeamerProjectileSlow","","","","","","","","","","","","","slowed","end","",""
"MegaFinxTimeStopProjectileSlow","MegaFinxTimeStopProjectileSlow","","","","","","","","","","","","","slowed","end","",""
"ShotgunGirlStarPowerUltiProjectileSlow","ShotgunGirlStarPowerUltiProjectileSlow","","","","","","","","","","","","","slowed","end","",""
"BlowerStarPowerAttackProjectileSlow","BlowerStarPowerAttackProjectileSlow","","","","","","","","","","","","","slowed","end","",""
"RosaGadgetBushSlow","RosaGadgetBushSlow","","","","","","","","","","","","","slowed","end","",""
"FireDudePetrolPercentageSlow","FireDudePetrolPercentageSlow","","","","","","","","","","","","","slowed","end","",""
"DrillerOverchargedUltiAreaSlow","DrillerOverchargedUltiAreaSlow","","","","","","","","","","","","","slowed","end","",""
"NinjaUltiSpeedBoost","NinjaUltiSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"GearBushSpeedBoost","GearBushSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"SpeedyUltiAreaSpeedBoost","SpeedyUltiAreaSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"SpeedyGadgetDashShield","SpeedyGadgetDashShield","","","","","","","","","","","","","buff_shield","remove","",""
"SpeedyBuddyAreaShield","SpeedyBuddyAreaShield","","","","","","","","","","","","","buff_shield","remove","",""
"SpeedyGadgetDashBuddyTimer","SpeedyGadgetDashBuddyTimer","","","","","","","","","","","","","","","",""
"SpeedyBuddyOnHitSpeedBoost","SpeedyBuddyOnHitSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"EnragerUltiSpeedBoost","EnragerUltiSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"GenericSpeedBoost","GenericSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"SandStormOverchargedAreaSpeedBoost","SandStormOverchargedAreaSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"SpeedyOverchargedAreaSpeedBoost","SpeedyOverchargedAreaSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"SpeedyOverchargedUltiAreaSpeedBoost","SpeedyOverchargedUltiAreaSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"SuperSneakersSpeedBoost","SuperSneakersSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"OnHitSpeedyUpAreaSpeedBoost","OnHitSpeedyUpAreaSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"SlowDownNanoPower_Sam","SlowDownNanoPower_Sam","","","","","","","","","","","","","slowed","end","",""
"SlowDownNanoPower_Damian","SlowDownNanoPower_Damian","","","","","","","","","","","","","slowed","end","",""
"SlowDownNanoPower_Surge","SlowDownNanoPower_Surge","","","","","","","","","","","","","slowed","end","",""
"StarrNovaAmberOnHitSpeedyUpAreaSpeedBoost","StarrNovaAmberOnHitSpeedyUpAreaSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"OnHitSpeedyUpAreaSpeedBoost_MaxNano","OnHitSpeedyUpAreaSpeedBoost_MaxNano","","","","","","","","","","","","","buff_speedup","end","",""
"OnHitSpeedyUpAreaSpeedBoost_SamNano","OnHitSpeedyUpAreaSpeedBoost_SamNano","","","","","","","","","","","","","buff_speedup","end","",""
"OnGadgetSpeedyUpAreaSpeedBoost","OnGadgetSpeedyUpAreaSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"DrillerGadgetSpeedBoost","DrillerGadgetSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"FireDudeGadgetSpeedBoost","FireDudeGadgetSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"TntDudeGadgetSpeedBoost","TntDudeGadgetSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"CannonGirlGadgetSpeedBoost","CannonGirlGadgetSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"GunslingerStarPowerMovementSpeed","GunslingerStarPowerMovementSpeed","","","","","","","","","","","","","","","",""
"BaseballStarPowerSpeedBoost","BaseballStarPowerSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"LuchadorStarPowerSpeedBoost","LuchadorStarPowerSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"CrossBomberStarPowerSpeedBoost","CrossBomberStarPowerSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"PuppeteerStarPowerTargetSpeedBoost","PuppeteerStarPowerTargetSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"FishTankStarPowerSpeedBoost","FishTankStarPowerSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"AxeJugglerStarPowerSpeedBoost","AxeJugglerStarPowerSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"AmbusherStarPowerSpeedBoost","AmbusherStarPowerSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"DiggerStarPowerSpeedBoost","DiggerStarPowerSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"SkaterStarPowerSpeedBoost","SkaterStarPowerSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"AlternatorStarPowerSpeedBoost","AlternatorStarPowerSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"FleaPetDot","FleaPetDot","","","","TRUE","0","100","0","","","","","","poisoned_006","end","",""
"FleaPetHot","FleaPetHot","","","","","0","0","0","","","","","","heal_over_time_3","end","",""
"FleaExtraPetDot","FleaExtraPetDot","","","","TRUE","0","100","0","","","","","","poisoned_006","end","",""
"SamuraiShield","SamuraiShield","","","","","0","0","0","","","","","","buff_shield","remove","",""
"SamuraiHide","SamuraiHide","","","","","0","0","0","","","","","","","","",""
