"Name","ServerOnly","NeverRemove","Stackable","Type","Value","Projectile","AreaEffect","Character","Skill","StatusEffect","Item","Components","OverchargeActive","SpawnedObjectDamage","SpawnedObjectRange","BooleanAttributes"
"string","boolean","boolean","boolean","string","string","string","string","string","string","string","string","string","boolean","int","int","string"
"elPrimo1","TRUE","","TRUE","IncreaseMaxHp","10","","","","","","","","","","",""
"elPrimo2","","","","OverrideChargeSpeed","2600","","","","","","","","","","",""
"elPrimo3","","","","OverrideUltiCharge","150","","","","","","","","","","",""
"Bea1","TRUE","","","TriggerProjectileOnHittingEnemy","500","BeeSniperCirclingProjectile","","","","","","","","","",""
"Lola1","TRUE","","","OverrideMaxSpawns","2","","","","","","","","","","",""
"Lola2","TRUE","","","OverrideNumSpawns","2","","","","","","","","","","",""
"Lola3","","","","OverrideUltiCharge","115","","","","","","","","","","",""
"Lola4","TRUE","","","OverrideSpawnCharacterRandomDist","350","","","","","","","","","","",""
"Angelo1","TRUE","","","OverrideSpreadBasicAttack","80","","","","","","","","","","",""
"Angelo2","TRUE","","","OverrideNumBulletsInBasicAttack","3","","","","","","","","","","",""
"Nita1","TRUE","","","OverrideMaxSpawns","2","","","","","","","","","","",""
"Nita2","TRUE","","","OverrideNumSpawns","2","","","","","","","","","","",""
"Nita3","TRUE","","","OverrideSpawnCharacterRandomDist","300","","","","","","","","","","",""
"Penny1","TRUE","","","OverrideMaxSpawns","2","","","","","","","","","","",""
"Penny2","TRUE","","","OverrideNumSpawns","2","","","","","","","","","","",""
"Griff1","","","","OverrideSpreadUlti","300","","","","","","","","","","",""
"Griff2","TRUE","","","OverrideNumBulletsInUlti","10","","","","","","","","","","",""
"Max1","TRUE","","","OverrideBasicAttackRechargeTime","100","","","","","","","","","","",""
"Tick1","TRUE","","","OverrideMaxSpawns","3","","","","","","","","","","",""
"Tick2","TRUE","","","OverrideNumSpawns","3","","","","","","","","","","",""
"Frank1","TRUE","","","IncreaseMaxHp","10","","","","","","","","","","",""
"Frank2","","","","IncreaseSpeedPercent","20","","","","","","","","","","",""
"Frank3","TRUE","","","OverridePierceEnvironment","1","","","","","","","","","","",""
"Spike1","TRUE","","","OverrideNumBulletsInBasicAttackBulletExplosion","8","","","","","","","","","","",""
"Spike2","TRUE","","","OverrideBulletExplosionCurvature","180","","","","","","","","","","",""
"Spike3","TRUE","","","OverrideBulletExplosionCurvatureAddedDistance","1000","","","","","","","","","","",""
"Gale1","TRUE","","","OverrideNumBulletsInUlti","12","","","","","","","","","","",""
"Shelly1","TRUE","","","OverrideUltiAttackPattern","19","","","","","","","","","","",""
"Shelly2","TRUE","","","OverrideNumBulletsInUlti","30","","","","","","","","","","",""
"Shelly3","","","","OverrideSpreadUlti","200","","","","","","","","","","",""
"Crow1","TRUE","","","OverridePiercesCharacters","1","","","","","","","","","","",""
"Crow2","TRUE","","","OverrideBasicAttackIsBoomerang","1","","","","","","","","","","",""
"Bo1","","","","OverrideUltiCharge","125","","","","","","","","","","",""
"Bo2","TRUE","","","OverrideNumMaxItems","99","","","","","","","","","","",""
"Carl1","TRUE","","","OverrideSpeedProjectile","3500","","","","","","","","","","",""
"Melodie1","TRUE","","","OverrideBasicAttackSteerLifeTime","300","","","","","","","","","","",""
