"Name","Disabled","Type","Amount","PriceKeys","CurrentSeasonDiscountPriceKeys","Rarity","ReleaseSeason","LastAvailableSeason","Skins","SingleOwnedSkinFallbackBling","SortOrderBigFirst","ShortcutTID","TitleTID","PanelFrame","TopLevelPanelName","OfferType"
"string","boolean","string","int","int","int","int","int","int","string","int","int","string","string","string","string","int"
"EpicBrawlers",,"BRAWLER_RARITY",,1,,3,,,,,1,"TID_VAULT_BRAWLERS_EPIC",,,,
"MythicBrawlers",,"BRAWLER_RARITY",,2,,4,,,,,2,"TID_VAULT_BRAWLERS_MYTHIC",,,,
"LegendaryBrawlers",,"BRAWLER_RARITY",,4,,5,,,,,3,"TID_VAULT_BRAWLERS_LEGENDARY",,,,
"UltraLegendaryBrawlers",,"BRAWLER_RARITY",,6,,6,,,,,4,"TID_VAULT_BRAWLERS_ULTRA_LEGENDARY",,,,
"ProducePowerPoints",,"RESOURCE",2000,1,,,,,,,,,,"power_points","power_points",41
"ProduceCoins",,"RESOURCE",2000,1,,,,,,,,,,"coins","coins",1
"ProduceBling",,"RESOURCE",5000,1,,,,,,,,,,"bling","bling",45
"AllBuddies",,"BUDDIES",,1,,,,,,,,,,,,
"SeasonSkins33",,"SKIN_SET",,2,1,,33,,"SamuraiStarrForce",1000,33,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"SamuraiStarrForceChroma1",,,,,,,
,,,,,,,,,"SamuraiStarrForceChroma2",,,,,,,
"SeasonSkins34",,"SKIN_SET",,2,1,,34,,"AxeJugglerGoodRandoms",1000,34,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"AxeJugglerGoodRandomsChroma1",,,,,,,
,,,,,,,,,"AxeJugglerGoodRandomsChroma2",,,,,,,
"SeasonSkins35",,"SKIN_SET",,2,1,,35,,"HammerDudeSandsOfTimes",1000,35,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"HammerDudeSandsOfTimesLight",,,,,,,
,,,,,,,,,"HammerDudeSandsOfTimesDark",,,,,,,
"SeasonSkins36",,"SKIN_SET",,2,1,,36,,"BaseballVillain",1000,36,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"BaseballVillainChromaPink",,,,,,,
,,,,,,,,,"BaseballVillainChromaBlue",,,,,,,
"SeasonSkins37",,"SKIN_SET",,2,1,,37,,"SniperJapan",1000,37,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"SniperJapanChromaBlue",,,,,,,
,,,,,,,,,"SniperJapanChromaGreen",,,,,,,
"SeasonSkins38",,"SKIN_SET",,2,1,,38,,"EnragerKaiju",1000,38,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"EnragerKaijuChroma1",,,,,,,
,,,,,,,,,"EnragerKaijuChroma2",,,,,,,
"SeasonSkins39",,"SKIN_SET",,2,1,,39,,"UndertakerGreekGod",1000,39,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"UndertakerGreekGodChroma1",,,,,,,
,,,,,,,,,"UndertakerGreekGodChroma2",,,,,,,
"SeasonSkins40",,"SKIN_SET",,2,1,,40,,"BowDudeFantasy",1000,40,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"BowDudeFantasyChroma1",,,,,,,
,,,,,,,,,"BowDudeFantasyChroma2",,,,,,,
"SeasonSkins41",,"SKIN_SET",,2,1,,41,,"MummySurfer",1000,41,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"MummySurferChroma1",,,,,,,
,,,,,,,,,"MummySurferChroma2",,,,,,,
"SeasonSkins42",,"SKIN_SET",,2,1,,42,,"CrowBrawloween",1000,42,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"CrowBrawloweenRed",,,,,,,
,,,,,,,,,"CrowBrawloweenWhite",,,,,,,
"SeasonSkins44",,"SKIN_SET",,2,1,,44,,"BeamerMecha",1000,44,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"BeamerMechaYellow",,,,,,,
,,,,,,,,,"BeamerMechaPurple",,,,,,,
"SeasonSkins45_1",,"SKIN_SET",,2,1,,45,,"BlowerSteamPunk",,45,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"BlowerSteamPunkChroma1",,,,,,,
,,,,,,,,,"BlowerSteamPunkChroma2",,,,,,,
"SeasonSkins45_2",,"SKIN_SET",,2,1,,45,,"RollerSteamPunk",,45,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"RollerSteamPunkChroma1",,,,,,,
,,,,,,,,,"RollerSteamPunkChroma2",,,,,,,
"SeasonSkins46_1",,"SKIN_SET",,2,1,,46,,"InsectManBrawlentine",,46,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"InsectManBrawlentineChroma1",,,,,,,
,,,,,,,,,"InsectManBrawlentineChroma2",,,,,,,
"SeasonSkins46_2",,"SKIN_SET",,2,1,,46,,"TrickshotBrawlentine",,46,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"TrickshotBrawlentineChroma1",,,,,,,
,,,,,,,,,"TrickshotBrawlentineChroma2",,,,,,,
"SeasonSkins47_1",,"SKIN_SET",,2,1,,47,,"DuelistSandsOfTime",,47,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"DuelistSandsOfTimeChroma1",,,,,,,
,,,,,,,,,"DuelistSandsOfTimeChroma2",,,,,,,
"SeasonSkins47_2",,"SKIN_SET",,2,1,,47,,"AmbusherSandsOfTime",,47,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"AmbusherSandsOfTimeChromaGreen",,,,,,,
,,,,,,,,,"AmbusherSandsOfTimeChromaRed",,,,,,,
"SeasonSkins48_1",,"SKIN_SET",,2,1,,48,,"CannonGirlFairy",,48,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"CannonGirlFairyChromaBlue",,,,,,,
,,,,,,,,,"CannonGirlFairyChromaPink",,,,,,,
"SeasonSkins48_2",,"SKIN_SET",,2,1,,48,,"AssaultShotgunDragon",,48,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"AssaultShotgunDragonChroma1",,,,,,,
,,,,,,,,,"AssaultShotgunDragonChroma2",,,,,,,
"SeasonSkins49_1",,"SKIN_SET",,2,1,,49,,"CactusStarrGirls",,49,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"CactusStarrGirlsChroma1",,,,,,,
,,,,,,,,,"CactusStarrGirlsChroma2",,,,,,,
"SeasonSkins49_2",,"SKIN_SET",,2,1,,49,,"PercenterStarrGirls",,49,,"TID_VAULT_SEASON_SKIN_SET",,,
,,,,,,,,,"PercenterStarrGirlsChroma1",,,,,,,
