"Name","BuddyCharacter","BuyScreenOffset","BuyScreenScale","BuyScreenRotation","ShopPanelOffset","ShopPanelScale","ShopPanelRotation","NewShopPanelOffset","NewShopPanelScale","NewShopPanelRotation","SkinAreaOffset","SkinAreaScale","SkinAreaRotation","HeroInfoScreenRotation","HeroInfoScreenOffset","HeroInfoScreenScale","UnlockingFlowOffset","UnlockingFlowScale","UnlockingFlowRotation","AfterUnlockingFlowOffset","AfterUnlockingFlowScale","AfterUnlockingFlowRotation","LoadingScreenRunnerOffset","LoadingScreenRunnerScale","LoadingScreenRunnerRotation"
"string","string","string","int","int","string","int","int","string","int","int","string","int","int","int","string","int","string","int","int","string","int","int","string","int","int"
"ShotgunGirlBuddy","ShotgunGirlBuddy","0;-160;0",650,20,"0;-198;0",650,0,"0;-198;0",650,0,"0;-100;0",600,0,-10,"0;-200;0",650,"0;-160;0",650,0,"0;-160;0",650,0,"0;0;0",100,0
"GunslingerBuddy","GunslingerBuddy","0;-160;0",500,0,"0;-247;0",630,0,"0;-247;0",630,0,"0;-80;0",500,0,-10,"0;-235;0",630,"0;-160;0",500,0,"0;-160;0",500,0,"0;0;0",100,0
"CactusBuddy","CactusBuddy","-200;-150;-150",650,20,"0;-190;0",650,0,"0;-190;0",650,0,"-70;-65;0",500,0,-10,"0;-190;0",650,"0;-160;0",650,0,"0;-160;0",650,0,"0;0;0",100,0
"ShamanBuddy","ShamanBuddy","-100;-150;-150",650,20,"0;-150;0",650,0,"0;-150;0",650,0,"-50;-90;0",500,0,-10,"0;-138;0",650,"0;-100;0",650,0,"0;-100;0",650,0,"0;0;0",100,0
"CrowBuddy","CrowBuddy","-100;-150;-150",650,20,"0;-155;0",600,0,"0;-155;0",600,0,"-50;-100;0",650,0,-10,"0;-190;0",650,"0;-100;0",650,0,"0;-100;0",650,0,"0;0;0",100,0
"BullBuddy","BullBuddy","-100;-150;-150",650,20,"0;-150;0",550,0,"0;-150;0",550,0,"-150;-90;0",600,0,45,"0;-190;0",650,"0;-70;0",650,0,"0;-70;0",650,0,"0;0;0",100,0
"MummyBuddy","MummyBuddy","0;-160;0",500,20,"0;-255;0",530,0,"0;-255;0",530,0,"50;-110;40",490,0,-10,"0;-235;0",530,"0;-160;0",500,0,"0;-160;0",500,0,"0;0;0",100,0
"HammerDudeBuddy","HammerDudeBuddy","0;-160;0",500,20,"0;-220;0",543,0,"0;-220;0",543,0,"0;-110;0",550,0,-10,"0;-200;0",543,"0;-160;0",500,0,"0;-160;0",500,0,"0;0;0",100,0
"UndertakerBuddy","UndertakerBuddy","0;-300;0",650,35,"0;-193;0",610,0,"0;-193;0",610,0,"0;-100;0",550,0,-10,"0;-180;0",610,"0;-160;0",650,0,"0;-160;0",650,0,"0;0;0",100,0
"BowDudeBuddy","BowDudeBuddy","0;-160;0",650,20,"0;-160;0",650,0,"0;-160;0",650,0,"20;-100;0",600,0,-10,"0;-160;0",650,"0;-110;0",650,0,"0;-110;0",650,0,"0;0;0",100,0
"BaseballBuddy","BaseballBuddy","-200;-150;-150",650,20,"0;-160;0",650,0,"0;-160;0",650,0,"-160;-100;0",600,0,-10,"0;-140;0",650,"0;-100;0",650,0,"0;-100;0",650,0,"0;0;0",100,0
"NinjaBuddy","NinjaBuddy","-100;-150;-150",650,20,"0;-115;0",680,0,"0;-105;0",680,0,"-100;-110;0",700,0,-10,"0;-112;0",650,"0;-115;0",650,0,"0;-115;0",650,0,"0;0;0",100,0
"EnragerBuddy","EnragerBuddy","0;-160;0",650,20,"0;-160;0",500,0,"0;-105;0",500,0,"-60;-70;0",550,0,-10,"0;-150;0",650,"0;-110;0",650,0,"0;-110;0",650,0,"0;0;0",100,0
"PercenterBuddy","PercenterBuddy","0;-160;0",650,20,"0;-160;0",650,0,"0;-100;0",500,0,"0;-80;0",550,0,-10,"0;-87;0",650,"0;-110;0",650,0,"0;-110;0",650,0,"0;0;0",100,0
