"Name","EyesExport","MouthExport","VfxExport","VfxEffect","Sound"
"string","string","string","string","string","string"
"neutral","loony_neutral_eyes","loony_neutral_mouth","","",""
"openreward","loony_openreward_eyes","loony_openreward_mouth","","",""
"happy","","","loony_happy_vfx","","SpookiBuddi_Emo_Happy"
"surprised","loony_surprised_eyes","loony_surprised_mouth","loony_surprised_vfx","","SpookiBuddi_Emo_Surprised"
"charge","loony_charge_eyes","loony_charge_mouth","","",""
"chill","loony_chill_eyes","loony_chill_mouth","","","SpookiBuddi_Emo_Chill"
"wary","","","loony_warry_vfx","","SpookiBuddi_Emo_Wary"
"angry","loony_angry_eyes","loony_angry_mouth","loony_angry_vfx","","SpookiBuddi_Emo_Angry"
"dizzy","loony_dizzy_eyes","loony_dizzy_mouth","","","SpookiBuddi_Emo_Dizzy"
"tired","","","","","SpookiBuddi_Emo_Tired"
"sad","loony_sad_eyes","loony_sad_mouth","","","SpookiBuddi_Emo_Sad"
