"Name","RefCount"
"string","int"
"sc/effects.sc",5633
"sc/effects_brawler.sc",63280
"sc/effects_brawler2.sc",762
"sc/effects_brawler_8bit.sc",164
"sc/effects_brawler_alli.sc",175
"sc/effects_brawler_amber.sc",355
"sc/effects_brawler_angelo.sc",181
"sc/effects_brawler_ash.sc",83
"sc/effects_brawler_barley.sc",120
"sc/effects_brawler_bea.sc",87
"sc/effects_brawler_belle.sc",179
"sc/effects_brawler_berry.sc",137
"sc/effects_brawler_bibi.sc",68
"sc/effects_brawler_bo.sc",121
"sc/effects_brawler_bolt.sc",44
"sc/effects_brawler_bonnie.sc",115
"sc/effects_brawler_brock.sc",226
"sc/effects_brawler_bull.sc",199
"sc/effects_brawler_buster.sc",23
"sc/effects_brawler_buzz.sc",78
"sc/effects_brawler_byron.sc",145
"sc/effects_brawler_carl.sc",106
"sc/effects_brawler_charlie.sc",140
"sc/effects_brawler_chester.sc",152
"sc/effects_brawler_chuck.sc",65
"sc/effects_brawler_clancy.sc",81
"sc/effects_brawler_colette.sc",128
"sc/effects_brawler_colt.sc",72
"sc/effects_brawler_cordelius.sc",37
"sc/effects_brawler_cosmo.sc",35
"sc/effects_brawler_crow.sc",314
"sc/effects_brawler_damian.sc",174
"sc/effects_brawler_darryl.sc",143
"sc/effects_brawler_doug.sc",167
"sc/effects_brawler_draco.sc",43
"sc/effects_brawler_dynamike.sc",151
"sc/effects_brawler_edgar.sc",128
"sc/effects_brawler_elprimo.sc",141
"sc/effects_brawler_emz.sc",69
"sc/effects_brawler_eve.sc",72
"sc/effects_brawler_fang.sc",142
"sc/effects_brawler_finx.sc",273
"sc/effects_brawler_frank.sc",210
"sc/effects_brawler_gale.sc",169
"sc/effects_brawler_gene.sc",53
"sc/effects_brawler_gigi.sc",157
"sc/effects_brawler_glowbert.sc",123
"sc/effects_brawler_gray.sc",153
"sc/effects_brawler_griff.sc",246
"sc/effects_brawler_grom.sc",86
"sc/effects_brawler_gus.sc",310
"sc/effects_brawler_hank.sc",69
"sc/effects_brawler_jacky.sc",47
"sc/effects_brawler_jaeyong.sc",219
"sc/effects_brawler_janet.sc",113
"sc/effects_brawler_jessie.sc",82
"sc/effects_brawler_juju.sc",351
"sc/effects_brawler_kaze.sc",149
"sc/effects_brawler_kenji.sc",131
"sc/effects_brawler_kit.sc",79
"sc/effects_brawler_koji.sc",100
"sc/effects_brawler_larrylawrie.sc",84
"sc/effects_brawler_leon.sc",180
"sc/effects_brawler_lily.sc",192
"sc/effects_brawler_lola.sc",70
"sc/effects_brawler_lou.sc",77
"sc/effects_brawler_lumi.sc",265
"sc/effects_brawler_maisie.sc",32
"sc/effects_brawler_mandy.sc",219
"sc/effects_brawler_max.sc",133
"sc/effects_brawler_meeple.sc",50
"sc/effects_brawler_meg.sc",650
"sc/effects_brawler_melodie.sc",172
"sc/effects_brawler_mico.sc",119
"sc/effects_brawler_mina.sc",393
"sc/effects_brawler_moe.sc",136
"sc/effects_brawler_mortis.sc",78
"sc/effects_brawler_mrp.sc",157
"sc/effects_brawler_najia.sc",163
"sc/effects_brawler_nani.sc",148
"sc/effects_brawler_nita.sc",155
"sc/effects_brawler_ollie.sc",141
"sc/effects_brawler_otis.sc",124
"sc/effects_brawler_pam.sc",8
"sc/effects_brawler_pearl.sc",46
"sc/effects_brawler_penny.sc",264
"sc/effects_brawler_pierce.sc",183
"sc/effects_brawler_piper.sc",421
"sc/effects_brawler_poco.sc",216
"sc/effects_brawler_rico.sc",263
"sc/effects_brawler_rosa.sc",16
"sc/effects_brawler_rt.sc",56
"sc/effects_brawler_ruffs.sc",36
"sc/effects_brawler_sam.sc",83
"sc/effects_brawler_sandy.sc",68
"sc/effects_brawler_shade.sc",187
"sc/effects_brawler_shelly.sc",87
"sc/effects_brawler_sirius.sc",82
"sc/effects_brawler_spike.sc",247
"sc/effects_brawler_sprout.sc",329
"sc/effects_brawler_squeak.sc",53
"sc/effects_brawler_stella.sc",60
"sc/effects_brawler_stu.sc",35
"sc/effects_brawler_surge.sc",135
"sc/effects_brawler_tara.sc",234
"sc/effects_brawler_tick.sc",163
"sc/effects_brawler_trunk.sc",326
"sc/effects_brawler_vince.sc",91
"sc/effects_brawler_wendy.sc",133
"sc/effects_brawler_willow.sc",130
"sc/effects_brawler_ziggy.sc",129
"sc/ui.sc",28
