"Name","PromptQuestion","Answer1","Answer1Correct","Answer2","Answer2Correct","Answer3","Answer3Correct","Difficulty"
"string","string","string","boolean","string","boolean","string","boolean","string"
"QUIZ_DUO_01","TID_QUIZ_DUO_01","TID_QUIZ_DUO_1_ANSWER_1","true","TID_QUIZ_DUO_1_ANSWER_2","false","TID_QUIZ_DUO_1_ANSWER_3","false","Easy"
"QUIZ_DUO_02","TID_QUIZ_DUO_02","TID_QUIZ_DUO_2_ANSWER_1","true","TID_QUIZ_DUO_2_ANSWER_2","false","TID_QUIZ_DUO_2_ANSWER_3","false","Easy"
"QUIZ_DUO_03","TID_QUIZ_DUO_03","TID_QUIZ_DUO_3_ANSWER_1","true","TID_QUIZ_DUO_3_ANSWER_2","false","TID_QUIZ_DUO_3_ANSWER_3","false","Easy"
"QUIZ_DUO_04","TID_QUIZ_DUO_04","TID_QUIZ_DUO_4_ANSWER_1","true","TID_QUIZ_DUO_4_ANSWER_2","false","TID_QUIZ_DUO_4_ANSWER_3","false","Easy"
"QUIZ_DUO_05","TID_QUIZ_DUO_05","TID_QUIZ_DUO_5_ANSWER_1","true","TID_QUIZ_DUO_5_ANSWER_2","false","TID_QUIZ_DUO_5_ANSWER_3","false","Easy"
"QUIZ_DUO_06","TID_QUIZ_DUO_06","TID_QUIZ_DUO_6_ANSWER_1","true","TID_QUIZ_DUO_6_ANSWER_2","false","TID_QUIZ_DUO_6_ANSWER_3","false","Easy"
"QUIZ_DUO_07","TID_QUIZ_DUO_07","TID_QUIZ_DUO_7_ANSWER_1","true","TID_QUIZ_DUO_7_ANSWER_2","false","TID_QUIZ_DUO_7_ANSWER_3","false","Easy"
"QUIZ_DUO_08","TID_QUIZ_DUO_08","TID_QUIZ_DUO_8_ANSWER_1","true","TID_QUIZ_DUO_8_ANSWER_2","false","TID_QUIZ_DUO_8_ANSWER_3","false","Easy"
"QUIZ_DUO_09","TID_QUIZ_DUO_09","TID_QUIZ_DUO_9_ANSWER_1","true","TID_QUIZ_DUO_9_ANSWER_2","false","TID_QUIZ_DUO_9_ANSWER_3","false","Easy"
"QUIZ_DUO_10","TID_QUIZ_DUO_10","TID_QUIZ_DUO_10_ANSWER_1","true","TID_QUIZ_DUO_10_ANSWER_2","false","TID_QUIZ_DUO_10_ANSWER_3","false","Easy"
"QUIZ_DUO_11","TID_QUIZ_DUO_11","TID_QUIZ_DUO_11_ANSWER_1","true","TID_QUIZ_DUO_11_ANSWER_2","false","TID_QUIZ_DUO_11_ANSWER_3","false","Medium"
"QUIZ_DUO_12","TID_QUIZ_DUO_12","TID_QUIZ_DUO_12_ANSWER_1","true","TID_QUIZ_DUO_12_ANSWER_2","false","TID_QUIZ_DUO_12_ANSWER_3","false","Easy"
"QUIZ_DUO_13","TID_QUIZ_DUO_13","TID_QUIZ_DUO_13_ANSWER_1","true","TID_QUIZ_DUO_13_ANSWER_2","false","TID_QUIZ_DUO_13_ANSWER_3","false","Easy"
"QUIZ_DUO_14","TID_QUIZ_DUO_14","TID_QUIZ_DUO_14_ANSWER_1","true","TID_QUIZ_DUO_14_ANSWER_2","false","TID_QUIZ_DUO_14_ANSWER_3","false","Easy"
"QUIZ_DUO_15","TID_QUIZ_DUO_15","TID_QUIZ_DUO_15_ANSWER_1","true","TID_QUIZ_DUO_15_ANSWER_2","false","TID_QUIZ_DUO_15_ANSWER_3","false","Easy"
"QUIZ_DUO_16","TID_QUIZ_DUO_16","TID_QUIZ_DUO_16_ANSWER_1","true","TID_QUIZ_DUO_16_ANSWER_2","false","TID_QUIZ_DUO_16_ANSWER_3","false","Medium"
"QUIZ_DUO_17","TID_QUIZ_DUO_17","TID_QUIZ_DUO_17_ANSWER_1","true","TID_QUIZ_DUO_17_ANSWER_2","false","TID_QUIZ_DUO_17_ANSWER_3","false","Easy"
"QUIZ_DUO_18","TID_QUIZ_DUO_18","TID_QUIZ_DUO_18_ANSWER_1","true","TID_QUIZ_DUO_18_ANSWER_2","false","TID_QUIZ_DUO_18_ANSWER_3","false","Easy"
"QUIZ_DUO_19","TID_QUIZ_DUO_19","TID_QUIZ_DUO_19_ANSWER_1","true","TID_QUIZ_DUO_19_ANSWER_2","false","TID_QUIZ_DUO_19_ANSWER_3","false","Medium"
"QUIZ_DUO_20","TID_QUIZ_DUO_20","TID_QUIZ_DUO_20_ANSWER_1","true","TID_QUIZ_DUO_20_ANSWER_2","false","TID_QUIZ_DUO_20_ANSWER_3","false","Easy"
"QUIZ_DUO_21","TID_QUIZ_DUO_21","TID_QUIZ_DUO_21_ANSWER_1","true","TID_QUIZ_DUO_21_ANSWER_2","false","TID_QUIZ_DUO_21_ANSWER_3","false","Easy"
"QUIZ_DUO_22","TID_QUIZ_DUO_22","TID_QUIZ_DUO_22_ANSWER_1","true","TID_QUIZ_DUO_22_ANSWER_2","false","TID_QUIZ_DUO_22_ANSWER_3","false","Easy"
"QUIZ_DUO_23","TID_QUIZ_DUO_23","TID_QUIZ_DUO_23_ANSWER_1","true","TID_QUIZ_DUO_23_ANSWER_2","false","TID_QUIZ_DUO_23_ANSWER_3","false","Easy"
"QUIZ_DUO_24","TID_QUIZ_DUO_24","TID_QUIZ_DUO_24_ANSWER_1","true","TID_QUIZ_DUO_24_ANSWER_2","false","TID_QUIZ_DUO_24_ANSWER_3","false","Easy"
"QUIZ_DUO_25","TID_QUIZ_DUO_25","TID_QUIZ_DUO_25_ANSWER_1","true","TID_QUIZ_DUO_25_ANSWER_2","false","TID_QUIZ_DUO_25_ANSWER_3","false","Difficult"
"QUIZ_DUO_26","TID_QUIZ_DUO_26","TID_QUIZ_DUO_26_ANSWER_1","true","TID_QUIZ_DUO_26_ANSWER_2","false","TID_QUIZ_DUO_26_ANSWER_3","false","Easy"
"QUIZ_DUO_27","TID_QUIZ_DUO_27","TID_QUIZ_DUO_27_ANSWER_1","true","TID_QUIZ_DUO_27_ANSWER_2","false","TID_QUIZ_DUO_27_ANSWER_3","false","Easy"
"QUIZ_DUO_28","TID_QUIZ_DUO_28","TID_QUIZ_DUO_28_ANSWER_1","true","TID_QUIZ_DUO_28_ANSWER_2","false","TID_QUIZ_DUO_28_ANSWER_3","false","Medium"
"QUIZ_DUO_29","TID_QUIZ_DUO_29","TID_QUIZ_DUO_29_ANSWER_1","true","TID_QUIZ_DUO_29_ANSWER_2","false","TID_QUIZ_DUO_29_ANSWER_3","false","Easy"
"QUIZ_DUO_30","TID_QUIZ_DUO_30","TID_QUIZ_DUO_30_ANSWER_1","true","TID_QUIZ_DUO_30_ANSWER_2","false","TID_QUIZ_DUO_30_ANSWER_3","false","Easy"
"QUIZ_DUO_31","TID_QUIZ_DUO_31","TID_QUIZ_DUO_31_ANSWER_1","true","TID_QUIZ_DUO_31_ANSWER_2","false","TID_QUIZ_DUO_31_ANSWER_3","false","Medium"
"QUIZ_DUO_32","TID_QUIZ_DUO_32","TID_QUIZ_DUO_32_ANSWER_1","true","TID_QUIZ_DUO_32_ANSWER_2","false","TID_QUIZ_DUO_32_ANSWER_3","false","Easy"
"QUIZ_DUO_33","TID_QUIZ_DUO_33","TID_QUIZ_DUO_33_ANSWER_1","true","TID_QUIZ_DUO_33_ANSWER_2","false","TID_QUIZ_DUO_33_ANSWER_3","false","Easy"
"QUIZ_DUO_34","TID_QUIZ_DUO_34","TID_QUIZ_DUO_34_ANSWER_1","true","TID_QUIZ_DUO_34_ANSWER_2","false","TID_QUIZ_DUO_34_ANSWER_3","false","Easy"
"QUIZ_DUO_35","TID_QUIZ_DUO_35","TID_QUIZ_DUO_35_ANSWER_1","true","TID_QUIZ_DUO_35_ANSWER_2","false","TID_QUIZ_DUO_35_ANSWER_3","false","Easy"
"QUIZ_DUO_36","TID_QUIZ_DUO_36","TID_QUIZ_DUO_36_ANSWER_1","true","TID_QUIZ_DUO_36_ANSWER_2","false","TID_QUIZ_DUO_36_ANSWER_3","false","Easy"
"QUIZ_DUO_37","TID_QUIZ_DUO_37","TID_QUIZ_DUO_37_ANSWER_1","true","TID_QUIZ_DUO_37_ANSWER_2","false","TID_QUIZ_DUO_37_ANSWER_3","false","Easy"
"QUIZ_DUO_38","TID_QUIZ_DUO_38","TID_QUIZ_DUO_38_ANSWER_1","true","TID_QUIZ_DUO_38_ANSWER_2","false","TID_QUIZ_DUO_38_ANSWER_3","false","Easy"
"QUIZ_DUO_39","TID_QUIZ_DUO_39","TID_QUIZ_DUO_39_ANSWER_1","true","TID_QUIZ_DUO_39_ANSWER_2","false","TID_QUIZ_DUO_39_ANSWER_3","false","Medium"
"QUIZ_DUO_40","TID_QUIZ_DUO_40","TID_QUIZ_DUO_40_ANSWER_1","true","TID_QUIZ_DUO_40_ANSWER_2","false","TID_QUIZ_DUO_40_ANSWER_3","false","Medium"
