"Name","SpawnCondition","SpawnConditionData","BossTraits","SetupHpThresholds","VulnerableStateStartTicks","VulnerableStateDurationTicks","VulnerableStatusEffect","AwakeDistance","MovableTileUpDownLeftRight","EscapeDistance","NumSkills","AttackSkills","AttackMaxCount","AttackMaxCountIsExact","DamageIncrease","ProjectileSpeedIncrease","AttackPreDelayTicks","AttackCooldownTicks","AttackIndicatorStyles","AttackIndicatorAreaEffects","AttackIndicatorDistances","AttackIndicatorAddWidth","MoveStyle","SkipForWin","SpawnBossOnDeath","AutoDeathAfterAttackCycle","PlayLoseAnimOnDeath","CountToKill","PhaseNumber","DropPowerCubeCount","SpawnTeamMateTime","SkillTPCameraType","BattleIntroFrameLabel","BattleIntroTomlConfigId","BossModeNameTID","ChatSuggestionItemName","GameModeIconName","GameModeRoomIconName","ChargeRadiusMod","SpawnedPetRandomSkin","HideInMapPreview","EnrageEnabled","IgnoreBotTargeting","NextStageAnnouncementTID"
"string","string","string","string","boolean","int","int","string","int","string","int","int","string","string","string","int","int","string","string","string","string","string","string","string","boolean","string","boolean","boolean","boolean","int","int","int","string","string","string","string","string","string","string","int","string","boolean","boolean","boolean","string"
"MegaBossKenji",,,,,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,5,"MegaKenjiPushAway;MegaKenjiAttackSlowProjectiles;MegaKenjiSpawnRobots;MegaKenjiCharge;MegaKenji360Madness","1;2;1;1;0","0;0;0;0;0",0,-15,"20;20;10;20;15","20;20;10;40;20","0;0;1;3;1","-;-;MegaBossAreaIndicatorSmall;-;MegaBossWarning360","0;-1;4000;-1;100","0;0;0;400;0","1;1;1;1;1",,,"FALSE","TRUE","TRUE",,,-1,"0;0;0;0;0","default",,,,,,,,,"TRUE",,
,,,,,350,60,,,,,,,"1;2;1;2;1",,0,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;1;2;1;1",,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;2;2;1",,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;5;4;2",,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;5;4;2",,150,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossTrickshot",,,,,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,6,"MegaBossTrickshotPushAway;MegaBossTrickshotWeapon;MegaBossTrickshotDudeUlti;MegaBossTrickshotWeaponSecond;MegaBossTrickshotDude360Madness;MegaBossTrickshotUltraSuper","1;2;1;1;0;0","0;0;0;0;0;0",0,-15,"20;25;30;35;40;40","20;30;30;35;40;40","0;0;0;0;1;0","'-;-;-;-;MegaBossIndicatorLarge;-","0;-1;-1;-1;0;-1","0;120;180;250;0;400","1;1;1;1;1;1",,,"FALSE","TRUE","TRUE",,,-1,"0;0;0;0;0;0","boss_rico_brawloween","boss_rico_brawloween","TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_rico_brawloween","event_icon_boss_rico_brawloween","event_gameroom_boss_rico_brawloween",,,,"TRUE",,
,,,,,350,60,,,,,,,"1;2;1;2;1;0",,0,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;2;1;2;1;1",,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
