"Name","IconSWF","IconExportName","Reward1Trophies","Reward1Type","Reward1Data","Reward2Trophies","Reward2Type","Reward2Data","Reward3Trophies","Reward3Type","Reward3Data","Reward4Trophies","Reward4Type","Reward4Data","Reward5Trophies","Reward5Type","Reward5Data","Reward6Trophies","Reward6Type","Reward6Data"
"string","string","string","int","string","string","int","string","string","int","string","string","int","string","string","int","string","string","int","string","string"
"TrophyRewardsShotgunGirl","sc/ui.sc","trophy_brawler_icon_shelly","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","BanditGirlBandita","1000","SpecificTitle","TitleMasteryShelly","2000","SpecificThumbnail","player_icon_prestige_shelly","3000","PrestigeTitle","TitlePrestigeShelly"
"TrophyRewardsGunslinger","sc/ui.sc","trophy_brawler_icon_colt","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","GunslingerOutlaw","1000","SpecificTitle","TitleMasteryColt","2000","SpecificThumbnail","player_icon_prestige_colt","3000","PrestigeTitle","TitlePrestigeColt"
"TrophyRewardsBullDude","sc/ui.sc","trophy_brawler_icon_bull","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","BullGuyFootbull","1000","SpecificTitle","TitleMasteryBull","2000","SpecificThumbnail","player_icon_prestige_bull","3000","PrestigeTitle","TitlePrestigeBull"
"TrophyRewardsRocketGirl","sc/ui.sc","trophy_brawler_icon_brock","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","BlingForSkin","","1000","SpecificTitle","TitleMasteryBrock","2000","SpecificThumbnail","player_icon_prestige_brock","3000","PrestigeTitle","TitlePrestigeBrock"
"TrophyRewardsTrickshotDude","sc/ui.sc","trophy_brawler_icon_rico","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","TrickshotDudeRedjacket","1000","SpecificTitle","TitleMasteryRico","2000","SpecificThumbnail","player_icon_prestige_rico","3000","PrestigeTitle","TitlePrestigeRico"
"TrophyRewardsCactus","sc/ui.sc","trophy_brawler_icon_spike","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","CactusMask","1000","SpecificTitle","TitleMasterySpike","2000","SpecificThumbnail","player_icon_prestige_spike","3000","PrestigeTitle","TitlePrestigeSpike"
"TrophyRewardsBarkeep","sc/ui.sc","trophy_brawler_icon_barley","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","BarkeepGold","1000","SpecificTitle","TitleMasteryBarley","2000","SpecificThumbnail","player_icon_prestige_barley","3000","PrestigeTitle","TitlePrestigeBarley"
"TrophyRewardsMechanic","sc/ui.sc","trophy_brawler_icon_jessie","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","MechanicDoll","1000","SpecificTitle","TitleMasteryJessie","2000","SpecificThumbnail","player_icon_prestige_jessie","3000","PrestigeTitle","TitlePrestigeJessie"
"TrophyRewardsShaman","sc/ui.sc","trophy_brawler_icon_nita","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","ShamanPanda","1000","SpecificTitle","TitleMasteryNita","2000","SpecificThumbnail","player_icon_prestige_nita","3000","PrestigeTitle","TitlePrestigeNita"
"TrophyRewardsTntDude","sc/ui.sc","trophy_brawler_icon_dynamike","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","TntGuyRare","1000","SpecificTitle","TitleMasteryDynamike","2000","SpecificThumbnail","player_icon_prestige_dynamike","3000","PrestigeTitle","TitlePrestigeDynamike"
"TrophyRewardsLuchador","sc/ui.sc","trophy_brawler_icon_primo","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","LuchadorVampire","1000","SpecificTitle","TitleMasteryPrimo","2000","SpecificThumbnail","player_icon_prestige_primo","3000","PrestigeTitle","TitlePrestigePrimo"
"TrophyRewardsUndertaker","sc/ui.sc","trophy_brawler_icon_mortis","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","UndertakerGala","1000","SpecificTitle","TitleMasteryMortis","2000","SpecificThumbnail","player_icon_prestige_mortis","3000","PrestigeTitle","TitlePrestigeMortis"
"TrophyRewardsCrow","sc/ui.sc","trophy_brawler_icon_crow","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","CrowMaverick","1000","SpecificTitle","TitleMasteryCrow","2000","SpecificThumbnail","player_icon_prestige_crow","3000","PrestigeTitle","TitlePrestigeCrow"
"TrophyRewardsDeadMariachi","sc/ui.sc","trophy_brawler_icon_poco","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","DeadMariachiRare","1000","SpecificTitle","TitleMasteryPoco","2000","SpecificThumbnail","player_icon_prestige_poco","3000","PrestigeTitle","TitlePrestigePoco"
"TrophyRewardsBowDude","sc/ui.sc","trophy_brawler_icon_bo","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","BowDudeWarrior","1000","SpecificTitle","TitleMasteryBo","2000","SpecificThumbnail","player_icon_prestige_bo","3000","PrestigeTitle","TitlePrestigeBo"
"TrophyRewardsSniper","sc/ui.sc","trophy_brawler_icon_piper","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","SniperPink","1000","SpecificTitle","TitleMasteryPiper","2000","SpecificThumbnail","player_icon_prestige_piper","3000","PrestigeTitle","TitlePrestigePiper"
"TrophyRewardsMinigunDude","sc/ui.sc","trophy_brawler_icon_pam","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","BlingForSkin","","1000","SpecificTitle","TitleMasteryPam","2000","SpecificThumbnail","player_icon_prestige_pam","3000","PrestigeTitle","TitlePrestigePam"
"TrophyRewardsBlackHole","sc/ui.sc","trophy_brawler_icon_tara","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","BlackHoleBlue","1000","SpecificTitle","TitleMasteryTara","2000","SpecificThumbnail","player_icon_prestige_tara","3000","PrestigeTitle","TitlePrestigeTara"
"TrophyRewardsBarrelBot","sc/ui.sc","trophy_brawler_icon_darryl","250","TaggedThumbnailAndSpray","","500","TaggedEmotes","","750","SpecificSkin","BarrelbotToy","1000","SpecificTitle","TitleMasteryDarryl","2000","SpecificThumbnail","player_icon_prestige_darryl","3000","PrestigeTitle","TitlePrestigeDarryl"
