"Name","InstanceID","LockedForChronos","Disabled","ItemName","WeaponSkill","UltimateSkill","OverchargedUltimateSkill","Pet","AltPet","MovementType","Speed","Hitpoints","Traits","Components","HealthPromilleLostPerSecond","HealPercentChange","LifeTimeTicks","SkipDeploy","MeleeAutoAttackSplashDamage","DelayTicksFirstAttack","AutoAttackSpeedMs","AutoAttackDamage","AutoAttackBulletsPerShot","AutoAttackMode","AutoAttackTicksBetweenBurstShots","AutoAttackProjectileSpread","AutoAttackProjectile","OverchargedAutoAttackProjectile","AutoAttackRange","RegeneratePerSecond","LowPriorityTarget","UltiUses","UltiChargeInitial","UltiChargeMul","UltiChargeUltiMul","OverchargeChargeMul","OverchargePassiveChargeMul","OverchargeChargeActiveMul","OverchargeDamagePercent","OverchargeSpeedPercent","OverchargeShieldPercent","Type","IsNeutral","IsBossPet","CarryableType","DefaultSkin","Mastery","BrawlerTrophyRewards","ManualRotations","FileName","BlueExportName","RedExportName","ShadowExportName","OverchargedEffect","OverchargedUseDefaultSkin","StatusEffect","AreaEffect","DeathAreaEffect","DeathOverchargedAreaEffect","TakeDamageEffect","KillEffect","DeathEffect","DeathEffectOvercharged","AllowDeathEffectOverride","MoveEffect","ReloadEffect","OutOfAmmoEffect","DryFireEffect","SpawnEffect","OverchargedSpawnEffect","MeleeHitEffect","AutoAttackStartEffect","BoneEffect1","BoneEffectUse1","BoneEffect2","BoneEffectUse2","BoneEffect3","BoneEffectUse3","BoneEffect4","BoneEffectUse4","BoneEffect5","BoneEffectUse5","BoneEffect6","BoneEffectUse6","LoopedEffect","LoopedEffect2","KillCelebrationSoundVO","InLeadCelebrationSoundVO","StartSoundVO","UseUltiSoundVO","TakeDamageSoundVO","DeathSoundVO","AttackSoundVO","UnlockVO","UnlockVOIndex","AttackStartEffectOffset","TwoWeaponAttackEffectOffset","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","Scale","HeroScreenScale","FitToBoxScale","EndScreenScale","GatchaScreenScale","HomeScreenScale","BattleIntroScale","ShowPetInHeroScreen","AlwaysShowWithPet","HeroScreenXOffset","HeroScreenZOffset","BattleIntroXOffset","BattleIntroZOffset","HeroScreenEmoteX","HeroScreenEmoteY","CollisionRadius","HealthBar","HealthBarOffsetY","FloorIndicatorScale","HealthBarScale","FlyingHeight","ProjectileStartZ","StopMovementAfterMS","WaitMS","TID","ClassArchetype","ForceAttackAnimationToEnd","IconSWF","IconExportName","EmblemExportName","RecoilAmount","FootstepClip","DifferentFootstepOffset","FootstepIntervalMS","AttackingWeaponScale","UseThrowingLeftWeaponBoneScaling","UseThrowingRightWeaponBoneScaling","CommonSetUpgradeBonus","RareSetUpgradeBonus","SuperRareSetUpgradeBonus","CanWalkOverWater","WaterFootstepEffect","UseColorMod","RedAdd","GreenAdd","BlueAdd","RedMul","GreenMul","BlueMul","ChargeUltiAutomatically","ChargeUltiFromDamage","ChargeUltiFromHealing","VideoLink","ShouldEncodePetStatus","SecondaryPet","IsExternalPet","ExtraMinions","PetAutoSpawnDelay","PetSpawnCount","PowerLevelsType","PowerLevelsSpeedBuff","OffenseRating","DefenseRating","UtilityRating","ShowHealInBattleEnd","OrbitingRadius","OrbitingAngularSpeed","UniqueProperty","UniquePropertyValue1","UniquePropertyValue2","ArenaOverrideMaxHpBuff","ArenaOverrideDmgBuff","ArenaOverrideSpeedBuff","ArenaOverrideReloadBuff","PetRotatable","HyperMoveEffect","HumanoidSpecies","BuddyCharacter","BossModeUltiRate","SpecialEventType","SpecialEventType2"
"string","int","boolean","boolean","string","string","string","string","string","string","string","int","int","string","string","int","int","int","boolean","boolean","int","int","int","int","string","int","int","string","string","int","int","boolean","int","int","int","int","int","int","int","int","int","int","string","boolean","boolean","string","string","string","string","boolean","string","string","string","string","string","boolean","string","string","string","string","string","string","string","string","boolean","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","boolean","boolean","int","int","int","int","int","int","int","string","int","int","int","int","int","int","int","string","string","boolean","string","string","string","int","string","int","int","int","boolean","boolean","int","int","int","boolean","string","boolean","int","int","int","int","int","int","int","int","int","string","boolean","boolean","boolean","int","int","int","int","int","int","int","int","boolean","int","int","string","int","int","int","int","int","int","boolean","string","string","string","int","string","string"
"ShotgunGirl","","","","shelly","ShotgunGirlWeapon","ShotgunGirlUlti","","","","","800","3900","","","","","","","","","","","","","","","","","12","","","","","134","60","30","","","5","20","5","Hero","","","","BanditGirlDefault","MasteryShotgunGirl","TrophyRewardsShotgunGirl","","","","","","","","","","","","takedamage_gen","","death_shotgun_girl","","true","gen_move_fx","reload_shotgun_girl","no_ammo_shotgungirl","dry_fire_shotgungirl","","","","","","","","","","","","","","","","","","","Shelly_Kill","Shelly_Lead","Shelly_Start","Utilshotgun_Vo","ShellyTakedamge_Vo","Shelly_Die","","Shelly_Start","2","30","","80","80","","","35","116","210","284","90","175","260","290","","","","","","-400","-25","40","120","Medium","-48","","","","450","","","TID_SHOTGUN_GIRL","damage_dealer","","sc/hero_portraits.sc","hero_icon_shelly","mastery_brawler_icon_shelly","1000","footstep","25","250","200","","","1","3","2","","","","","","","","","","","","","ShellyTutorial","","","","","","","","","4","3","2","","","","","","","","","","","","","","ShotgunGirlBuddy","","",""
"Gunslinger","1","","","colt","GunslingerWeapon","GunslingerUlti","","","","","750","3100","","","","","","","","","","","","","","","","","12","","","","","93","87","35","","","5","20","5","Hero","","","","GunSlingerDefault","MasteryGunslinger","TrophyRewardsGunslinger","","","","","","","","","","","","takedamage_gen","","death_gunslinger","","true","gen_move_fx","reload_gunslinger","no_ammo_shotgungirl","dry_fire_shotgungirl","","","","","","","","","","","","","","","","","","","Hotshot_Kill","Hotshot_Lead","Hotshot_Start","Hotshot_Ulti","Hotshot_Takedamge_Vo","Hotshot_Die","","Hotshot_Start","1","35","50","80","80","","","35","116","210","284","90","185","270","270","","","","","160","-150","-30","40","120","Medium","-52","","","","400","","","TID_GUNSLINGER","damage_dealer","","sc/hero_portraits.sc","hero_icon_colt","mastery_brawler_icon_colt","300","footstep","25","300","160","","","2","3","1","","","","","","","","","","","","","ColtTutorial","","","","","","","","","5","2","2","","","","IS_GUNSLINGER","","","","3","","","","","","GunslingerBuddy","80","",""
"BullDude","2","","","bull","BullDudeWeapon","BullDudeUlti","","","","","800","5000","","","","","","","","","","","","","","","","","12","","","","","100","120","30","","","5","20","5","Hero","","","","BullGuyDefault","MasteryBullDude","TrophyRewardsBullDude","","","","","","","","","","","","takedamage_gen","","death_bull_dude","","true","gen_move_fx","reload_bull_dude","no_ammo_shotgungirl","dry_fire_shotgungirl","","","","","","","","","","","","","","","","","","","Bull_kill","Bull_lead","Bull_start","Bull_ulti","Bull_takedamage_vo","Bull_die","","Bull_start","","40","","80","80","","","35","116","175","236","80","150","220","220","","","","","100","-50","-30","45","145","Medium","-64","","","","450","","","TID_BULL_DUDE","tank","","sc/hero_portraits.sc","hero_icon_bull","mastery_brawler_icon_bull","600","footstep","40","300","130","","","1","2","3","","","","","","","","","","","240","","BullTutorial","","","","","","","","","3","4","2","","","","IS_BULL_DUDE","","","","","","","","","","BullBuddy","140","",""
"RocketGirl","3","","","brock","RocketGirlWeapon","RocketGirlUlti","","","","","750","3000","","","","","","","","","","","","","","","","","12","","","","","69","80","45","","","5","20","5","Hero","","","","RocketGirlDefault","MasteryRocketGirl","TrophyRewardsRocketGirl","","","","","","","","","","","","takedamage_gen","","death_rocket_girl","","true","gen_move_fx","reload_rocket_girl","no_ammo_shotgungirl","brock_dryfire","","","","","","","","","","","","","","","","","","","Brock_kill_vo","Brock_lead_vo","Brock_start_vo","Brock_ulti_vo","Brock_hurt_vo","Brock_die_vo","","Brock_start_vo","3","35","","80","80","","","35","116","200","290","90","180","260","260","","","","","50","","-50","","120","Medium","-52","","","","500","","","TID_ROCKET_GIRL","marksman","","sc/hero_portraits.sc","hero_icon_brock","mastery_brawler_icon_brock","300","footstep","25","500","100","","","2","3","1","","","","","","","","","","","","","BrockTutorial","","","","","","","","","5","2","2","","","","","","","500","5","","","","","","RocketGirlBuddy","85","",""
"TrickshotDude","4","","","ricochet","TrickshotDudeWeapon","TrickshotDudeUlti","","","","","750","3000","","","","","","","","","","","","","","","","","12","","","","","85","105","35","","","5","20","5","Hero","","","","TrickshotDefault","MasteryTrickshotDude","TrophyRewardsTrickshotDude","","","","","","","","","","","","takedamage_gen","","death_trickshot_dude","","true","gen_move_fx","reload_trickshot_dude","no_ammo_shotgungirl","dry_fire_mechanic","","","","","","","","","","","","","","","","","","","Rick_kill","Rick_lead","Rick_start","Rick_ulti","Rick_hurt","Rick_die","","Rick_start","","60","","80","80","","","35","116","200","280","90","175","260","260","","","","","","-50","-40","","120","Medium","-49","","","","450","","","TID_TRICKSHOT_DUDE","damage_dealer","","sc/hero_portraits.sc","hero_icon_rick","mastery_brawler_icon_rico","300","footstep","25","300","160","","","2","3","1","","","","","","","","","","","","","RicoTutorial","","","","","","","","","5","2","2","","","","IS_TRICKSHOTDUDE","","","","","","","","","","TrickshotDudeBuddy","","","gun_s"
"Cactus","5","","","spike","CactusWeapon","CactusUlti","","","","","750","3000","","","","","","","","","","","","","","","","","12","","","","","94","125","30","","","5","20","5","Hero","","","","CactusDefault","MasteryCactus","TrophyRewardsCactus","","","","","","","","","","","","takedamage_gen","","death_cactus","","true","gen_move_fx","reload_cactus","no_ammo_shotgungirl","crow_dryfire","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","80","80","","","35","116","240","324","80","210","290","290","","","","","","250","","50","120","Medium","-32","","","","450","","","TID_CACTUS","damage_dealer","","sc/hero_portraits.sc","hero_icon_spike","mastery_brawler_icon_spike","","footstep","40","300","100","true","true","2","1","3","","","","","","","","","","","","","SpikeTutorial","","","","","","","","","4","2","3","","","","","","","","","","","","","","CactusBuddy","","spine_lower_s",""
"Barkeep","6","","","barley","BarkeepWeapon","BarkeepUlti","","","","","750","2700","","","","","","","","","","","","","","","","","12","","","","","90","74","30","","","5","20","5","Hero","","","","BarkeepDefault","MasteryBarkeep","TrophyRewardsBarkeep","","","","","","","","","","","","takedamage_gen","","death_barkeep","","true","gen_move_fx","reload_barkeep","no_ammo_shotgungirl","dry_fire_barkeep","","","","","","","","","","","","","","","","","","","Barley_Kill","Barley_Lead","Barley_Start","Barley_Ulti","Barley_Hurt","Barley_Die","Barley_throw","Barley_Start","","","","80","80","","","35","116","190","290","80","180","250","270","","","","","","-200","-30","","120","Medium","-45","","","","350","","","TID_BARKEEP","artillery","","sc/hero_portraits.sc","hero_icon_barley","mastery_brawler_icon_barley","","footstep","25","300","100","true","true","2","3","1","","","","","","","","","","","","","BarleyTutorial","","","","","","","","","5","2","2","","","","","","","450","2","","","","","","","","",""
"Mechanic","7","","","jessie","MechanicWeapon","MechanicUlti","","","","","750","3300","","","","","","","","","","","","","","","","","12","","","","","63","84","60","","","5","20","5","Hero","","","","MechanicDefault","MasteryMechanic","TrophyRewardsMechanic","","","","","","","","","","","","takedamage_gen","","death_mechanic","","true","gen_move_fx","reload_mechanic","no_ammo_shotgungirl","dry_fire_mechanic","","","","","","","","","","","","","","","","","","","Jess_kill","Jess_lead","Jess_start","Jess_ulti","Jess_takedamage","Jess_die","","Jess_start","","35","","80","80","","","35","116","190","300","80","150","270","270","true","true","-800","100","","","-80","60","120","Medium","-47","","","","350","","","TID_MECHANIC","controller","","sc/hero_portraits.sc","hero_icon_jess","mastery_brawler_icon_jessie","500","footstep","20","200","160","","","3","2","1","","","","","","","","","","","","","JessieTutorial","","","","","","","","","3","2","4","","","","","","","400","1","","150","","","","","","",""
"Shaman","8","","","nita","ShamanWeapon","ShamanUlti","","","","","750","4200","","","","","","","","","","","","","","","","","12","","","","","85","100","50","","","5","20","5","Hero","","","","ShamanDefault","MasteryShaman","TrophyRewardsShaman","","","","","","","","","","","","takedamage_gen","","death_shaman","","true","gen_move_fx","","no_ammo_shotgungirl","dry_fire_barkeep","","","","","","","","","","","","","","","","","","","Nita_kill","Nita_lead","Nita_start","Nita_ulti","Nita_hurt","Nita_death","","Nita_start","","35","","80","80","","","35","116","190","250","80","150","270","280","true","true","-600","1000","800","-750","-250","60","120","Medium","-46","","","","100","","","TID_SHAMAN","damage_dealer","","sc/hero_portraits.sc","hero_icon_nita","mastery_brawler_icon_nita","1000","footstep","25","250","160","","","3","1","2","","","","","","","","","","","","","NitaTutorial","","","","","","","","","3","4","2","","","","","","","350","5","","","","","","ShamanBuddy","110","",""
