"Name","Collab","ReskinAssetId","RewardType","LocationCategoryExportName","TicketIconExportName","RewardScreenExportName","ScoreIconTomlConfig","ScoreIconExportName","EventSelectionTooltipExportName","SelectableLocationCount","ContestLocationSelectionPopupExportName","WinBonusGradient","RewardShopItem","RewardClaimButtonInstanceName","OfflineModifiers","BattleEndParticleBouncesOnHit","BattleEndParticleAppearSfx","BattleEndParticleHitSfx"
"string","string","String","string","string","string","string","string","string","string","int","string","string","string","string","string","boolean","string","string"
"AngelsAndDemonsContest","Demons","ContestArcadeSc","AngelicOrDemonicStarrDrop","collab_category_event_item","collab_ticket_icon","collab_demons_tournament_end_screen_center",,,"collab_event_button_ui",1,,"Name1",,,,,,
"ArcadePlanetContest","Toys","ContestArcadeSc","CollabCurrency","collab_category_event_item","collab_ticket_icon","collab_tournament_end_screen_center",,"icon_point_contest","collab_event_button_ui",1,,"ArcadeWinBonus","CollabPoints","reward_button",,,,
"WasabiContest","Wasabi","ContestWasabiSc","SushiDrop","collab_category_event_item","collab_ticket_icon","collab_tournament_end_screen_center","contest_score_flying_icon","icon_point_contest","collab_event_button_ui",3,"contest_choose_game_mode_screen_center","KatanaWinBonus","RandomSushiDrop","reward_button",,"TRUE","UI_Shuriken_Flyout","UI_Shuriken_Flyout_Hit"
"WeekendContest",,"ContestArcadeSc","NormalStarrDrop","collab_category_event_item","collab_ticket_icon","collab_tournament_end_screen_center",,"icon_point_contest","collab_event_button_ui",1,,"ArcadeWinBonus",,"reward_button",,,,
"AngelicContest",,"ContestAngelicSc","AngelicStarrDrop","collab_category_event_item","collab_ticket_icon","collab_tournament_end_screen_center",,"icon_point_contest","collab_event_button_ui",1,,"ArcadeWinBonus","AngelicStar","reward_button",,,,
"DemonicContest",,"ContestDemonicSc","DemonicStarrDrop","collab_category_event_item","collab_ticket_icon","collab_tournament_end_screen_center",,"icon_point_contest","collab_event_button_ui",2,"contest_choose_game_mode_screen_center","ArcadeWinBonus","DemonicStar","reward_button",,,,
"SubwayContest","Surfers","ContestSubwaySc","CollabScore","collab_category_event_item","collab_ticket_icon","collab_tournament_end_screen_center",,"icon_point_contest","collab_event_button_ui",3,"contest_choose_game_mode_screen_center","SubwaySurfersRainbow","RandomSushiDrop","reward_button",,,,
"NanoContest","NanoNoodles","ContestNanoSc","NanoDrop","collab_category_event_item","collab_ticket_icon","collab_tournament_end_screen_center","contest_score_flying_icon","icon_point_contest","collab_event_button_ui",3,"contest_choose_game_mode_screen_center","KatanaWinBonus","NanoDrop","reward_button","NanoPower","TRUE","UI_Shuriken_Flyout","UI_Shuriken_Flyout_Hit"
,,,,,,,,,,,,,,,"ArcadeScoring",,,
"WindContest","Windstock","ContestWindSc","WindDrop","collab_category_event_item","collab_ticket_icon","collab_tournament_end_screen_center","contest_score_flying_icon","icon_point_contest","collab_event_button_ui",3,"contest_choose_game_mode_screen_center","KatanaWinBonus","WindDrop","reward_button","NanoPower_Merge","TRUE","UI_Shuriken_Flyout","UI_Shuriken_Flyout_Hit"
,,,,,,,,,,,,,,,"ArcadeScoring",,,
