"Name","Disabled","Type","Value","Value2","Value3","Lifetime","DisappearingTime","TriggerRangeSubTiles","AlignToTiles","CanBePickedUp","PickUpOnlyBySource","PickUpOnlyByTeam","DestroySpawnCarryableType","FollowSourceDimension","ShowAlways","ForceShow","StatusEffectAlly","StatusEffectEnemy","TriggerAreaEffect","DestroyAreaEffect","CustomAreaEffect1","CustomAreaEffect2","Components"
"string","boolean","string","int","int","int","int","int","int","boolean","boolean","boolean","boolean","int","boolean","boolean","boolean","string","string","string","string","string","string","string"
"Health","","Health","16000","","","","","4","","true","","","","","","","","","","","","",""
"Speed","","Speed","300","","","","","4","","true","","","","","","","ItemSpeedBoost","","","","","",""
"DamageAndSpeed","","DamageAndSpeed","100","200","50","","","4","","true","","","","","","","ItemDamageAndSpeedBoost","","","","","",""
"DamageAndSpeedMegaBoss","","DamageAndSpeed","100","200","50","","","4","","true","","","","","","","MegaBossItemDamageAndSpeedBoost","","","","","",""
"Point","","Point","","","","","","4","","true","","","","","","","","","","","","",""
"Corpse","","Corpse","800","","","","","4","","true","","","","","","","","","","","","",""
"OrbSpawner","","OrbSpawner","","","","","","","","","","","","","","","","","","","","",""
"Mine","","Mine","800","1150","","","","3","","true","","","","","","","","","Bo_def_ulti2_area","","","",""
"SupplyCrate","","SupplyCrate","","","","","","","","","","","","","","","","","","","","",""
"BoxOfMines","","BoxOfMines","3","6","","","","","","","","","","","","","","","","","","",""
"BattleRoyaleBuff","","BattleRoyaleBuff","10","400","","","","4","","true","","","","","","","","","","","","",""
"Money","","Money","1","","","","","4","","true","","","","","","","","","","","","",""
"BoxOfBombs","","BoxOfBombs","4","8","","","","","","","","","","","","","","","","","","",""
"BoxOfSelfDestructBombs","","BoxOfSelfDestructBombs","4","40","","","","","","","","","","","","","","","","","","",""
"SelfDestructBomb","","SelfDestructBomb","800","1300","","","","200","","true","","","","","","","","","SelfDestructExplosion","","","",""
"Scrap","","Scrap","","","","","","4","","true","","","","","","","","","","","","",""
"SpringBoardLeft","","SpringBoardLeft","600","","","","","3","true","","","","","","","","","","","","","",""
"SpringBoardRight","","SpringBoardRight","600","","","","","3","true","","","","","","","","","","","","","",""
"SpringBoardUp","","SpringBoardUp","600","","","","","3","true","","","","","","","","","","","","","",""
"SpringBoardDown","","SpringBoardDown","600","","","","","3","true","","","","","","","","","","","","","",""
"SpringBoardUpLeft","","SpringBoardUpLeft","600","","","","","3","true","","","","","","","","","","","","","",""
"SpringBoardUpRight","","SpringBoardUpRight","600","","","","","3","true","","","","","","","","","","","","","",""
"SpringBoardDownLeft","","SpringBoardDownLeft","600","","","","","3","true","","","","","","","","","","","","","",""
"SpringBoardDownRight","","SpringBoardDownRight","600","","","","","3","true","","","","","","","","","","","","","",""
"TrainSpawner","","TrainSpawner","","","","","","","","","","","","","","","","","","","","",""
"ClusterMine","","ClusterMine","800","2000","","","","200","","true","","","","","true","","","","ClusterBombExplosion2","","","",""
"PiperdefBomb","","Bomb","800","300","","","","200","","true","","","","","","","","","Piper_def_ulti","","","",""
"OverchargedBomb","","OverchargedBomb","800","300","","","","200","","true","","","","","","","","","SniperOverchargedBombExplosion","","","",""
"ScorePole","","ScorePole","","","","","","","","","","","","","","","","","","","","",""
"ScoreFlag","","ScorePoleFlag","","","","","","","","","","","","","","","","","","","","",""
"ScoreFlagHoisted","","ScorePoleFlagHoisted","","","","","","","","","","","","","","","","","","","","",""
"5dce5f478110256c30c89d84664a5acf3ec9e9f0","true","DamageAndSpeed","100","200","50","","","4","","true","","","","","","","ItemDamageAndSpeedBoost","","","","","",""
"SpringBoardLeft_Gale","","SpringBoardLeft","300","","","","","3","","","","","","","","","","","","","","",""
"SpringBoardRight_Gale","","SpringBoardRight","300","","","","","3","","","","","","","","","","","","","","",""
"SpringBoardUp_Gale","","SpringBoardUp","300","","","","","3","","","","","","","","","","","","","","",""
"SpringBoardDown_Gale","","SpringBoardDown","300","","","","","3","","","","","","","","","","","","","","",""
"SpringBoardUpLeft_Gale","","SpringBoardUpLeft","300","","","","","3","","","","","","","","","","","","","","",""
"SpringBoardUpRight_Gale","","SpringBoardUpRight","300","","","","","3","","","","","","","","","","","","","","",""
"SpringBoardDownLeft_Gale","","SpringBoardDownLeft","300","","","","","3","","","","","","","","","","","","","","",""
"SpringBoardDownRight_Gale","","SpringBoardDownRight","300","","","","","3","","","","","","","","","","","","","","",""
"Teleport1","","Teleport","1","","","","","3","","","","","","","","","","","","","","",""
"Teleport2","","Teleport","2","","","","","3","","","","","","","","","","","","","","",""
"Teleport3","","Teleport","3","","","","","3","","","","","","","","","","","","","","",""
"Teleport4","","Teleport","4","","","","","3","","","","","","","","","","","","","","",""
"RuffsBuff","","RuffsBuff","20","700","","","","4","","true","","","","","","","","","","","","",""
"RuffsOverchargedBuff","","RuffsBuff","20","700","","","","4","","true","","","","","","","","","","","","",""
"StickyBomb","","StickyBomb","800","1150","","","","3","","","","","","","true","","","","StickyBombExplosion","","","",""
"StickyBombUlti","","StickyBomb","800","1150","","","","3","","","","","","","true","","","","StickyBombUltiExplosion","","","",""
"ElectroTrap","","SlowMine","0","1","","","","3","","true","","","","","","","","","ElectroTrapExplosion","","","",""
"BasketBrawlHoop","","BasketBrawlHoop","","","","","","","","","","","","","true","","","","","","","",""
"Healing","","Healing","500","","","","","3","true","","","","","","","","","","","","","",""
"WindWall","","WindWall","600","","","100","","","","","","","","","true","","","","","","","",""
"KickerDudeMine","","ClusterMine","800","2000","","","","200","","true","","","","","true","","","","KickerDudeMineExplosion","","","",""
"KickerDudeMineOC","","ClusterMine","800","2000","","","","200","","true","","","","","true","","","","KickerDudeMineExplosionOC","","","",""
"Spray","","Spray","","","","","","","true","","","","","","","","","","","","","",""
"InvasionToken","","InvasionToken","","","","","","4","","true","","","","","","","","","","","","",""
"InvasionBase","","InvasionBase","","","","200","","","","","","","","","","","","","","","","",""
"SilencerHugger","","Hugger","","","","60","","","","","","","","","true","","","","","","","",""
"SilencerHuggerOC","","Hugger","","","","60","","","","","","","","","true","","","","","","","",""
"SilencerHuggerMine","","HuggerMine","","1","","","","3","","true","","","","","","","","","HuggerMineExplosion","","","",""
"Turret","","Turret","","","","","","","","","","","","","","","","","","","","",""
"WeaponThrowerWeapon","","WeaponThrowerWeapon","","","","","","3","","true","","","","","","","","","","","","",""
"WeaponThrowerOverchargedWeapon","","WeaponThrowerWeapon","","","","","","3","","true","","","","","","","","","","","","",""
"SoulCollectorSoul","","SoulCollectorSoul","800","","","","","3","","true","","","","","","","","","SoulCollectorSoulExplosion","","","",""
"LastStandCoin","","LastStandCoin","100","","","","","4","","true","","","","","","","","","","","","",""
"DoorHorizontal","","DoorHorizontal","","","","","","","true","","","","","","","","","","","","","",""
"DoorVertical","","DoorVertical","","","","","","","true","","","","","","","","","","","","","",""
"ButtonPress","","Button","","","","","","2","true","","","","","","","","","","","","","",""
"ButtonHold","","Button","","","","","","2","true","","","","","","","","","","","","","",""
"Portal","","Portal","1","","","","","3","","","","","","","","","","","","","DoorManPortalLeave","DoorManPortalArrive",""
"EventCollectToken","","EventCollectToken","100","","","","","4","","true","","","","","","","","","","","","",""
"HealthPack","","Health","3000","","","","","4","","true","","","","","","","","","","","","",""
"ShadowMushroom","","ShadowMushroom","","","","","","4","","true","","","","","","","ShadowMushroomHot","ShadowMushroomDot","","","","",""
"ShadowRealmMarker","","ShadowRealmMarker","","","","","","","","","","","","","","","","","","","","",""
"ConductorSign","","ConductorSign","","","","","","","","","","","","","","","","","ConductorSignArea","ConductorSignAreaDestroy","","",""
"ExtractionZone","","ExtractionZone","","","","","","5","","","","","","","","true","","","TeleportTileLeave","","","",""
"ExtractionPoint","","Point","","","","","","4","","true","","","","","","","","","","","","",""
"Hypercharge","","Hypercharge","10","400","30","","","4","","true","","","","","","","","","","","","",""
