"Name","Disabled","LogicItem","FileName","ExportName","ExportNameEnemy","ShadowExportName","GroundGlowExportName","LoopingEffect","SpawnEffect","ActivateEffect","SCW","SCWEnemy","SCWTopLayer","UseGeneratedShadow","RandomStartFrame","Layer","ItemReadyEffect","Effects"
"string","boolean","string","string","string","string","string","string","string","string","string","string","string","string","boolean","int","string","string","string"
"Health","","Health","sc/effects.sc","soul","soul","","pickup_glow_green","health_fx","spawn_plasmoid","","","","","","","Above","",""
"Speed","","Speed","sc/effects.sc","red_pickup","red_pickup","","pickup_glow_green","health_fx","spawn_plasmoid","","","","","","","Above","",""
"DamageAndSpeed","","DamageAndSpeed","sc/effects.sc","","","","pickup_glow_green","power_up_bottle_sparkle","spawn_buff","","sc3d/item_renamed_power_up_bottle.glb","sc3d/item_renamed_power_up_bottle.glb","","true","","Above","",""
"DamageAndSpeedMegaBoss","","DamageAndSpeedMegaBoss","sc/effects.sc","","","","pickup_glow_green","power_up_bottle_sparkle","spawn_buff","","sc3d/item_renamed_power_up_bottle.glb","sc3d/item_renamed_power_up_bottle.glb","","true","","Above","",""
"Point","","Point","sc/effects.sc","blob_pickup","blob_pickup","","pickup_glow","blob_fx","spawn_plasmoid","","","","","","","Above","",""
"Corpse","","Corpse","sc/effects.sc","soul","soul","","pickup_glow_green","health_fx","spawn_plasmoid","","","","","","","Above","",""
"OrbSpawner","","OrbSpawner","","","","","","","spawn_plasmoid","","sc3d/default_gem_spawn_geo.glb","sc3d/default_gem_spawn_geo.glb","","true","","GroundLow","",""
"Mine","","Mine","sc/effects_brawler.sc","bo_def_mine_blue","bo_def_mine_red","","","","bo_def_ulti2_spawn","","","","","","","Above","",""
"SupplyCrate","","SupplyCrate","sc/effects.sc","red_pickup","red_pickup","","pickup_glow_green","","spawn_plasmoid","","","","","","","Above","",""
"BoxOfMines","","BoxOfMines","sc/effects.sc","","","","pickup_glow_green","","spawn_plasmoid","","","","","","","Above","",""
