"Name","Rarity","TypeName","Fallback","IsFallback","CanBeAddedMultipleTimes","Amount","ValueInCash","BundleQuota","TicketsForBundle1","TicketsForBundle2","TicketsForBundle3","TicketsForBundle4","TicketsForBundle5","TicketsForBundle6","TicketsForBundle7","TicketsForBundle8","TicketsForBundle9","TicketsForBundle10","TicketsForBundle11","TicketsForBundle12","TicketsForBundle13","TicketsForBundle14","TicketsForBundle15"
"string","string","string","string","boolean","boolean","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int"
"CoinsXXS",,"Coins",,,"TRUE",20,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CoinsS",,"Coins",,,"TRUE",50,10,1,0,0,120,120,0,0,0,0,0,0,0,0,0,0,0
"CoinsM",,"Coins",,,"TRUE",100,20,3,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
"CoinsL",,"Coins",,,"TRUE",200,40,3,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
"CoinsXL",,"Coins",,,"TRUE",500,100,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
"CoinsJackpot",,"Coins",,,"TRUE",1000,200,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"PowerPointsS",,"PowerPoints",,,"TRUE",25,10,1,0,0,120,120,0,0,0,0,0,0,0,0,0,0,0
"PowerPointsM",,"PowerPoints",,,"TRUE",50,20,3,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
"PowerPointsL",,"PowerPoints",,,"TRUE",100,40,3,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0
"PowerPointsXL",,"PowerPoints",,,"TRUE",200,100,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
"PowerPointsJackpot",,"PowerPoints",,,"TRUE",1000,200,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"BlingS",,"Bling",,,"TRUE",20,3,1,0,0,120,120,0,0,0,0,0,0,0,0,0,0,0
"BlingM",,"Bling",,,"TRUE",50,6,3,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0
"BlingL",,"Bling",,,"TRUE",100,12,3,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0
"BlingXL",,"Bling",,,"TRUE",200,24,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
"BlingJackpot",,"Bling",,,"TRUE",1000,120,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"StarrdropsS",,"Starrdrop",,,"FALSE",1,264,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"StarrdropsM",,"Starrdrop",,,"FALSE",3,792,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"StarrdropsL",,"Starrdrop",,,"FALSE",5,1320,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"StarrdropsXL",,"Starrdrop",,,"FALSE",10,2640,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCStarrdrop",,"HCStarrdrop",,,"FALSE",1,750,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Icon",,"ProfilePic","IconFallback",,"TRUE",1,64,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Spray",,"Spray","SprayFallback",,"TRUE",1,61,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Toy",,"Toy","ToysFallback",,"TRUE",1,400,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Emote",,"Emote","EmoteFallback",,"FALSE",1,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BrawlpassXPS",,"TokenDoubler",,,"FALSE",100,5,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BrawlpassXPM",,"TokenDoubler",,,"FALSE",250,13,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BrawlpassXPL",,"TokenDoubler",,,"FALSE",500,25,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CreditsS",,"Credits",,,"FALSE",10,11,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CreditsM",,"Credits",,,"FALSE",30,27,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CreditsL",,"Credits",,,"FALSE",75,55,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LegendaryStarrdrop",,"LegendaryStarrdrop",,,"FALSE",1,3500,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skin_29","RARE","Skin","Skin_29Fallback",,"TRUE",1,85,1,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0
"Skin_79","SUPER_RARE","Skin","Skin_79Fallback",,"TRUE",1,233,2,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0
"Skin_149","EPIC","Skin","Skin_149Fallback",,"TRUE",1,424,4,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0
"Skin_199","MYTHIC","Skin","Skin_199Fallback",,"TRUE",1,557,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
"Skin_299","LEGENDARY","Skin","Skin_299Fallback",,"TRUE",1,837,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"Skin_499","HYPERCHARGE","Skin","Skin_499Fallback",,"TRUE",1,9950,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"RareBrawler","RARE","Brawler",,,"TRUE",1,81,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SuperRareBrawler","SUPER_RARE","Brawler",,,"TRUE",1,219,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EpicBrawler","EPIC","Brawler","EpicBrawlerFallback",,"TRUE",1,471,5,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0
"MythicBrawler","MYTHIC","Brawler","MythicBrawlerFallback",,"TRUE",1,829,6,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0
"LegendaryBrawler","LEGENDARY","Brawler","LegendaryBrawlerFallback",,"TRUE",1,1382,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"PresentDrop",,"PresentDrop",,,"FALSE",1,50,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ToysFallback",,"Coins",,"TRUE","TRUE",100,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EpicBrawlerFallback",,"Credits",,"TRUE","TRUE",500,550,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MythicBrawlerFallback",,"Credits",,"TRUE","TRUE",500,550,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LegendaryBrawlerFallback",,"Credits",,"TRUE","TRUE",1000,1100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skin_29Fallback",,"Bling",,"TRUE","TRUE",200,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skin_79Fallback",,"Bling",,"TRUE","TRUE",500,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skin_149Fallback",,"Bling",,"TRUE","TRUE",1000,120,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skin_199Fallback",,"Bling",,"TRUE","TRUE",1000,120,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skin_299Fallback",,"Bling",,"TRUE","TRUE",1000,120,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
