"Name","Version","VersionCN","LegacyExpLevelLimit","RequiredTotalTrophies","RequiredHero","IconSWF","IconExportName","SortOrder","IsReward","IsAvailableForOffers","LockedForChronos","PriceBling","PriceGems","DontSellInCatalog","DisableCatalogRelease","HideInCatalogWhenNotOwned","CatalogNewDaysAdjustment","CatalogPreRequirementSkin","GiveOnSkinUnlock","NotInCatalogTID","ExtraCatalogCampaign","ExtraCatalogHero","HideFromCatalogMainCategory","UnlockedByFame","BrawlerTrophyRewards","ShouldDownweight","OdditiesShopAvailability"
"string","int","int","int","int","string","string","string","int","boolean","boolean","boolean","int","int","boolean","boolean","boolean","int","string","boolean","string","string","string","boolean","String","String","boolean","string"
"base1","","","1","0","","sc/player_icons_1.sc","player_icon_00","0","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"base2","","","10","100","","sc/player_icons_1.sc","player_icon_01","1","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"base3","","","20","1000","","sc/player_icons_1.sc","player_icon_02","2","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero1","","","0","0","ShotgunGirl","sc/player_icons_1.sc","player_icon_shelly","101","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero2","","","0","0","Gunslinger","sc/player_icons_1.sc","player_icon_colt","103","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero3","","","0","0","RocketGirl","sc/player_icons_1.sc","player_icon_brock","106","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero4","","","0","0","Mechanic","sc/player_icons_1.sc","player_icon_jess","105","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero5","","","0","0","Shaman","sc/player_icons_1.sc","player_icon_nita","102","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero6","","","0","0","TntDude","sc/player_icons_1.sc","player_icon_mike","107","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero7","","","0","0","Luchador","sc/player_icons_1.sc","player_icon_primo","201","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero8","","","0","0","BullDude","sc/player_icons_1.sc","player_icon_bull","104","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero9","","","0","0","TrickshotDude","sc/player_icons_1.sc","player_icon_rick","301","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero10","","","0","0","Barkeep","sc/player_icons_1.sc","player_icon_barley","202","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero11","","","0","0","DeadMariachi","sc/player_icons_1.sc","player_icon_poco","203","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero12","","","0","0","Undertaker","sc/player_icons_1.sc","player_icon_mortis","501","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero13","","","0","0","BowDude","sc/player_icons_1.sc","player_icon_bo","108","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero14","","","0","0","Cactus","sc/player_icons_1.sc","player_icon_spike","601","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero15","","","0","0","Crow","sc/player_icons_1.sc","player_icon_crow","602","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero16","","","0","0","Sniper","sc/player_icons_1.sc","player_icon_piper","401","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"base4","","","40","2500","","sc/player_icons_1.sc","player_icon_03","3","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"base5","","","60","4000","","sc/player_icons_1.sc","player_icon_04","4","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"base6","","","80","6000","","sc/player_icons_1.sc","player_icon_05","5","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"base7","","","100","7500","","sc/player_icons_1.sc","player_icon_06","6","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"base8","","","120","9000","","sc/player_icons_1.sc","player_icon_07","7","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"trophy1","","","0","500","","sc/player_icons_1.sc","player_icon_trophy_00","8","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"trophy2","","","0","1000","","sc/player_icons_1.sc","player_icon_trophy_01","9","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"trophy3","","","0","2000","","sc/player_icons_1.sc","player_icon_trophy_02","10","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"trophy4","","","0","3000","","sc/player_icons_1.sc","player_icon_trophy_03","11","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero17","","","0","0","MinigunDude","sc/player_icons_1.sc","player_icon_mj","402","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero18","","","0","0","BlackHole","sc/player_icons_1.sc","player_icon_taro","502","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"trophy5","","","0","5000","","sc/player_icons_1.sc","player_icon_elite_00","12","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"trophy6","","","0","7000","","sc/player_icons_1.sc","player_icon_elite_01","13","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"trophy7","","","0","10000","","sc/player_icons_1.sc","player_icon_elite_02","14","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"trophy8","","","0","13000","","sc/player_icons_1.sc","player_icon_elite_03","15","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero19","","","0","0","BarrelBot","sc/player_icons_1.sc","player_icon_barrelbot","302","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero20","","","0","0","ArtilleryDude","sc/player_icons_1.sc","player_icon_penny","303","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero21","","","0","0","HammerDude","sc/player_icons_1.sc","player_icon_frank","403","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero22","","","0","0","Ninja","sc/player_icons_1.sc","player_icon_leon","603","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero23","","","0","0","HookDude","sc/player_icons_1.sc","player_icon_gene","503","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero24","","","0","0","Whirlwind","sc/player_icons_1.sc","player_icon_carl","304","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero25","","","0","0","Rosa","sc/player_icons_1.sc","player_icon_rosa","204","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero26","","","0","0","Baseball","sc/player_icons_1.sc","player_icon_bibi","404","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero27","","","0","0","ClusterBombDude","sc/player_icons_1.sc","player_icon_tick","109","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero28","","","0","0","Arcade","sc/player_icons_1.sc","player_icon_8bit","110","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero29","","","0","0","Sandstorm","sc/player_icons_1.sc","player_icon_sandy","604","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero30","","","0","0","Mummy","sc/player_icons_1.sc","player_icon_emz","111","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero31","","","0","0","BeeSniper","sc/player_icons_1.sc","player_icon_bea","405","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero32","","","0","0","Speedy","sc/player_icons_1.sc","player_icon_max","504","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero33","","","0","0","SpawnerDude","sc/player_icons_1.sc","player_icon_mrp","505","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero34","","","0","0","Driller","sc/player_icons_1.sc","player_icon_jacky","305","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero35","","","0","0","Wally","sc/player_icons_1.sc","player_icon_sprout","506","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero36","","","0","0","Blower","sc/player_icons_1.sc","player_icon_gale","701","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero37","","","0","0","Controller","sc/player_icons_1.sc","player_icon_nani","406","","","","","","TRUE","","","","","","","","","","","","","NEVER"
"hero38","","","0","0","PowerLeveler","sc/player_icons_1.sc","player_icon_surge","702","","","","","","TRUE","","","","","","","","","","","","","NEVER"
