"Name","Disabled","Speed","PreExplosionTimeMs","Radius","IgnoreCloseWalls","Indirect","ConstantFlyTime","TriggerWithDelayMs","BouncePercent","DamageReduction","Gravity","EarlyTicks","OnAllyHitActions","OnEnemyHitActions","AreaEffect2DamagePercent","SpawnCharacter","AreaEffectTrailMinDistance","AreaEffectTrailInitialMinDistance","ShotByHero","IsBeam","IsBouncing","DistanceAddFromBounce","MaxDistanceBounces","PiercesCharacters","PiercesEnvironment","PiercesEnvironmentLikeButter","PushbackStrength","PushbackType","OverridePushbackSpeed","MaxZDuringPushback","ChainsToEnemies","ChainBullets","ChainBulletsMax","ChainSpread","ChainTravelDistance","ExecuteChainSpecialCase","DamagePercentStart","DamagePercentEnd","DamageChangeStartPromille","DamageChangeEndPromille","IgnoreDamageChangeForUltiCharge","DamagesConstantlyTickDelay","StunLengthMS","PartialStunPromille","SilenceDurationMS","ScaleStart","ScaleEnd","AttractsPet","LifeStealPercent","PassesEnvironment","SuppressHealing","SuppressHealingTicks","ConsumableShield","ConsumableShieldTicks","DamageOnlyWithOneProj","HealOwnPercent","GrapplesEnemy","KickBack","MinDistanceForSpread","IsFriendlyHomingMissile","BoomerangType","CanHitAgainAfterBounce","IsHomingMissile","UltiChargeChangePercent","TravelType","TravelTypeVariables","IgnoreLevelBorder","SteerStrength","SteerIgnoreTicks","HomeDistance","SteerLifeTime","DoNotForceShow","UniqueProperty","CustomUniquePropertyValue","Zoffset","SuperChargeScalePercent","BooleanAttributes","SpawnItem","StatusEffectAlly","StatusEffectEnemy","StatusEffectSelfOnHit","SpawnAreaEffectObject","SpawnAreaEffectObject2","SpawnAreaEffectObjectsAdditional","SpawnAreaEffectTrail","OnCreateAreaEffect","ChainBullet"
"string","boolean","int","int","int","boolean","boolean","boolean","int","int","int","int","int","string","string","int","string","int","int","boolean","boolean","boolean","int","int","boolean","boolean","boolean","int","int","int","int","int","int","int","int","int","int","int","int","int","int","boolean","int","int","int","int","int","int","boolean","int","boolean","int","int","int","int","boolean","int","boolean","int","int","boolean","int","boolean","boolean","int","int","string","boolean","int","int","int","int","boolean","int","int","int","int","string","string","string","string","string","string","string","string","string","string","string"
"ShotgunGirlProjectile","","3100","","0","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShotgunGirlUltiProjectile","","4130","","50","","","","","","","0","2","","","","","","","true","","","","","true","true","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShotgunGirlOverchargedUltiProjectile","","4130","","50","","","","","","","0","2","","","","","","","true","","","","","true","true","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GunslingerProjectile","","4000","","50","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GunslingerUltiProjectile","","4891","","101","","","","","","","0","2","","","","","","","true","","","","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GunslingerOverchargedUltiProjectile","","4891","","101","","","","","","","0","2","","","","","","","true","","","","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BullDudeProjectile","","2853","","0","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketGirlProjectile","","2700","","101","","","","","","","0","2","","","30","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Brock_def_atk_area","BurnMainAttack","","","",""
"RocketGirlUltiProjectile","","900","","0","","true","true","","","","93","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IndirectProjectileTracksSource","","","","","Brock_def_ulti_area","","","","",""
"TrickshotDudeProjectile","","3478","","101","","","","","","","0","3","","","","","","","true","","true","500","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrickshotDudeUltiProjectile","","4891","","101","","","","","","","0","3","","","","","","","true","","true","500","6","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrickshotDudeUltiOverchargedProjectile","","4891","","101","","","","","","","0","3","","","","","","","true","","true","1800","8","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusProjectile","","2174","","150","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CactusExplosion","CactusSpikeExplosion","","","",""
"CactusUltiProjectile","","1739","","0","","true","","","","","240","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CactusUltiExplosion","","","","",""
"CactusOverchargedUltiProjectile","","1739","","0","","true","","","","","240","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CactusOverchargeUltiExplosion","","","","",""
"CactusSpike","","3261","","50","","","","","","","0","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechanicProjectile1","","3050","","150","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","1","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MechanicProjectile2"
"MechanicProjectile2","","1522","","150","","","","","","","0","1","","","","","","","true","","","","","","","","","","","","1","","","","20","","75","75","0","1000","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MechanicProjectile3"
"MechanicProjectile3","","1522","","150","","","","","","","0","1","","","","","","","true","","","","","","","","","","","","","","","","","","75","75","0","1000","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechanicUltiProjectile","","1196","","0","","true","","","","","170","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechanicOverchargedUltiProjectile","","1196","","0","","true","","","","","170","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanProjectile","","2718","","250","","","","","","","0","1","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanUltiProjectile","","1196","","0","","true","","","","","170","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanOverchargedProjectile","","3718","","300","","","","","","","0","1","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","100","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanOverChargedUltiProjectile","","1196","","0","","true","","","","","170","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarkeepProjectile","","1750","","0","","true","","","","","240","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Barley_def_atk","","","","",""
"BarkeepUltiProjectile","","1700","","0","","true","","","","","170","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2100","","","","","","","","","","","","","","","","","","","","","","","Barley_def_ulti","","","","",""
"TntDudeProjectile","","1900","","0","","true","","1000","35","","430","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","","","","","TntDudeExplosion","","","","",""
"TntDudeOverchargedClusterProjectile","","1900","","0","","true","","1000","35","","430","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","","","","","TntDudeOverchargedUltiClusterExplosion","","","","",""
"TntDudeUltiProjectile","","1600","","0","","true","","1300","35","","330","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TntDudeUltiExplosion","","","","",""
"TntDudeOverchargedUltiProjectile","","1600","","0","","true","","1300","35","","330","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TntDudeOverchargedUltiExplosion","TntDudeOverchargedUltiClusterBombs","","","",""
"TntDudeNanoChainProjectile","","1900","","0","","true","","1000","35","","430","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","","","","","TntDudeExplosion","","","","",""
"BoneThrowerProjectile","","1305","","0","","true","","4000","35","","150","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
