"Name","Disable","Traits","Rarity","TitleTID","DescriptionTID","SWF","IconExportName","ExcludeBrawlers","LinkedToCharacterProgress","Family","Level"
"string","boolean","string","string","string","string","string","string","string","string","string","int"
"R_MaxHp_S",,"R_MaxHp_S","super_rare",,"TID_R_MAXHP_DESC","sc/ui_roguelite.sc","icon_power_card_health",,,,
"R_MaxHp_E",,"R_MaxHp_E","epic",,"TID_R_MAXHP_DESC","sc/ui_roguelite.sc","icon_power_card_health",,,,
"R_MaxHp_L",,"R_MaxHp_L","legendary",,"TID_R_MAXHP_DESC","sc/ui_roguelite.sc","icon_power_card_health",,,,
"R_MaxHp_Absolute_S",,"R_MaxHp_Absolute_S","super_rare",,"TID_R_MAXHP_ABS_DESC","sc/ui_roguelite.sc","icon_power_card_health",,,,
"R_MaxHp_Absolute_E",,"R_MaxHp_Absolute_E","epic",,"TID_R_MAXHP_ABS_DESC","sc/ui_roguelite.sc","icon_power_card_health",,,,
"R_MaxHp_Absolute_L",,"R_MaxHp_Absolute_L","legendary",,"TID_R_MAXHP_ABS_DESC","sc/ui_roguelite.sc","icon_power_card_health",,,,
"R_MaxHp_Absolute_Mini_S",,"R_MaxHp_Absolute_Mini_S","super_rare",,"TID_R_MAXHP_ABS_DESC","sc/ui_roguelite.sc","icon_power_card_health",,,,
"R_MaxHp_Absolute_Mini_E",,"R_MaxHp_Absolute_Mini_E","epic",,"TID_R_MAXHP_ABS_DESC","sc/ui_roguelite.sc","icon_power_card_health",,,,
"R_MaxHp_Absolute_Mini_L",,"R_MaxHp_Absolute_Mini_L","legendary",,"TID_R_MAXHP_ABS_DESC","sc/ui_roguelite.sc","icon_power_card_health",,,,
"R_Reload_S",,"R_Reload_S","super_rare",,"TID_R_RELOAD_DESC","sc/ui_roguelite.sc","icon_power_card_reload",,,,
"R_Reload_E",,"R_Reload_E","epic",,"TID_R_RELOAD_DESC","sc/ui_roguelite.sc","icon_power_card_reload",,,,
"R_Reload_L",,"R_Reload_L","legendary",,"TID_R_RELOAD_DESC","sc/ui_roguelite.sc","icon_power_card_reload",,,,
"R_Reload_Mini_S",,"R_Reload_Mini_S","super_rare",,"TID_R_RELOAD_DESC","sc/ui_roguelite.sc","icon_power_card_reload",,,,
"R_Reload_Mini_E",,"R_Reload_Mini_E","epic",,"TID_R_RELOAD_DESC","sc/ui_roguelite.sc","icon_power_card_reload",,,,
"R_Reload_Mini_L",,"R_Reload_Mini_L","legendary",,"TID_R_RELOAD_DESC","sc/ui_roguelite.sc","icon_power_card_reload",,,,
"R_MoveSpeed_S",,"R_MoveSpeed_S","super_rare",,"TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",,,,
"R_MoveSpeed_E",,"R_MoveSpeed_E","epic",,"TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",,,,
"R_MoveSpeed_L",,"R_MoveSpeed_L","legendary",,"TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",,,,
"R_MoveSpeed_Max_L",,"R_MoveSpeed_Max_L","legendary",,"TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",,,,
"R_MoveSpeed_WithPet_S",,"R_MoveSpeed_S;R_MoveSpeed_WithPet_S","super_rare",,"TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",,,,
"R_MoveSpeed_WithPet_E",,"R_MoveSpeed_E;R_MoveSpeed_WithPet_E","epic",,"TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",,,,
"R_MoveSpeed_WithPet_L",,"R_MoveSpeed_L;R_MoveSpeed_WithPet_E","legendary",,"TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",,,,
"R_MoveSpeed_Mini_S",,"R_MoveSpeed_Mini_S","super_rare",,"TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",,,,
"R_MoveSpeed_Mini_E",,"R_MoveSpeed_Mini_E","epic",,"TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",,,,
"R_MoveSpeed_Mini_L",,"R_MoveSpeed_Mini_L","legendary",,"TID_R_MOVESPEED_DESC","sc/ui_roguelite.sc","icon_power_card_speed",,,,
"R_Damage_S",,"R_Damage_S","super_rare",,"TID_R_DAMAGE_DESC","sc/ui_roguelite.sc","icon_power_card_damage",,,,
"R_Damage_E",,"R_Damage_E","epic",,"TID_R_DAMAGE_DESC","sc/ui_roguelite.sc","icon_power_card_damage",,,,
"R_Damage_L",,"R_Damage_L","legendary",,"TID_R_DAMAGE_DESC","sc/ui_roguelite.sc","icon_power_card_damage",,,,
"R_Damage_Mini_S",,"R_Damage_Mini_S","super_rare",,"TID_R_DAMAGE_DESC","sc/ui_roguelite.sc","icon_power_card_damage",,,,
"R_Damage_Mini_E",,"R_Damage_Mini_E","epic",,"TID_R_DAMAGE_DESC","sc/ui_roguelite.sc","icon_power_card_damage",,,,
"R_Damage_Mini_L",,"R_Damage_Mini_L","legendary",,"TID_R_DAMAGE_DESC","sc/ui_roguelite.sc","icon_power_card_damage",,,,
"R_SuperRate_S",,"R_SuperRate_S;R_HCRate_S","super_rare",,"TID_R_SUPERRATE_DESC","sc/ui_roguelite.sc","icon_power_card_ulti_charge",,,,
"R_SuperRate_E",,"R_SuperRate_E;R_HCRate_E","epic",,"TID_R_SUPERRATE_DESC","sc/ui_roguelite.sc","icon_power_card_ulti_charge",,,,
"R_SuperRate_L",,"R_SuperRate_L;R_HCRate_L","legendary",,"TID_R_SUPERRATE_DESC","sc/ui_roguelite.sc","icon_power_card_ulti_charge",,,,
"R_SuperRate_Mini_S",,"R_SuperRate_Mini_S;R_HCRate_Mini_S","super_rare",,"TID_R_SUPERRATE_DESC","sc/ui_roguelite.sc","icon_power_card_ulti_charge",,,,
"R_SuperRate_Mini_E",,"R_SuperRate_Mini_E;R_HCRate_Mini_E","epic",,"TID_R_SUPERRATE_DESC","sc/ui_roguelite.sc","icon_power_card_ulti_charge",,,,
"R_SuperRate_Mini_L",,"R_SuperRate_Mini_L;R_HCRate_Mini_L","legendary",,"TID_R_SUPERRATE_DESC","sc/ui_roguelite.sc","icon_power_card_ulti_charge",,,,
"R_AttackRange_E",,"R_AttackRange_E","epic",,"TID_R_ATTACKRANGE_DESC","sc/ui_roguelite.sc","icon_power_card_range",,,,
"R_AttackRange_2_E",,"R_AttackRange_E","epic",,"TID_R_ATTACKRANGE_DESC","sc/ui_roguelite.sc","icon_power_card_range",,,,
"R_AttackRange_L",,"R_AttackRange_L","legendary",,"TID_R_ATTACKRANGE_DESC","sc/ui_roguelite.sc","icon_power_card_range",,,,
"R_AttackRange_Max_L",,"R_AttackRange_Max_L","legendary",,"TID_R_ATTACKRANGE_DESC","sc/ui_roguelite.sc","icon_power_card_range",,,,
"R_AttackRange_Melee_L",,"R_AttackRange_Mini_L","legendary",,"TID_R_ATTACKRANGE_MELEE_DESC","sc/ui_roguelite.sc","icon_power_card_range",,,,
"R_AttackRange_Mini_L",,"R_AttackRange_Mini_L","legendary",,"TID_R_ATTACKRANGE_DESC","sc/ui_roguelite.sc","icon_power_card_range",,,,
"R_AttackRange_Jump_Mini_L",,"R_AttackRange_Mini_L","legendary",,"TID_R_ATTACKRANGE_JUMP_DESC","sc/ui_roguelite.sc","icon_power_card_range",,,,
"R_AttackRange_Cone_E",,"R_AttackRange_Cone_E_1;R_AttackRange_Cone_E_2;R_AttackRange_Cone_E_3","epic",,"TID_R_ATTACKRANGE_CONE_DESC","sc/ui_roguelite.sc","icon_power_card_range",,,,
"R_AttackRange_Cone_2_E",,"R_AttackRange_Cone_E_1;R_AttackRange_Cone_E_2;R_AttackRange_Cone_E_3","epic",,"TID_R_ATTACKRANGE_CONE_DESC","sc/ui_roguelite.sc","icon_power_card_range",,,,
"R_AttackRange_Cone_L",,"R_AttackRange_Cone_L_1;R_AttackRange_Cone_L_2;R_AttackRange_Cone_L_3","legendary",,"TID_R_ATTACKRANGE_CONE_DESC","sc/ui_roguelite.sc","icon_power_card_range",,,,
"R_AttackRange_Cone_Mini_L",,"R_AttackRange_Cone_Mini_L_1;R_AttackRange_Cone_Mini_L_2;R_AttackRange_Cone_Mini_L_3","legendary",,"TID_R_ATTACKRANGE_CONE_DESC","sc/ui_roguelite.sc","icon_power_card_range",,,,
"R_Kit_AttackRange_L",,"R_Kit_AttackRange_L_1;R_Kit_AttackRange_L_2;R_Kit_AttackRange_L_3","legendary",,"TID_R_ATTACKRANGE_CONE_DESC","sc/ui_roguelite.sc","icon_power_card_range",,,,
