"Name","RogueliteCard1","RogueliteCard2","RogueliteCard3","RogueliteCard4","RogueliteCard5","RogueliteCard6","RogueliteCard7","RogueliteCard8","RogueliteCard9","RogueliteCard10","RogueliteCard11","RogueliteCard12","RogueliteCard13","RogueliteCard14","RogueliteCard15","RogueliteCard16","RogueliteCard17","RogueliteCard18","RogueliteCard19","RogueliteCard20","RogueliteCard21","RogueliteCard22","RogueliteCard23","RogueliteCard24","RogueliteCard25"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"nano_8bit_deck","nano_8bit_1","nano_8bit_2","nano_8bit_3",,,,,,,,,,,,,,,,,,,,,,
"nano_alli_deck","nano_alli_1","nano_alli_2","nano_alli_3",,,,,,,,,,,,,,,,,,,,,,
"nano_amber_deck","nano_amber_1","nano_amber_2","nano_amber_3",,,,,,,,,,,,,,,,,,,,,,
"nano_angelo_deck","nano_angelo_1","nano_angelo_2","nano_angelo_3",,,,,,,,,,,,,,,,,,,,,,
"nano_ash_deck","nano_ash_1","nano_ash_2","nano_ash_3",,,,,,,,,,,,,,,,,,,,,,
"nano_barley_deck","nano_barley_1","nano_barley_2","nano_barley_3",,,,,,,,,,,,,,,,,,,,,,
"nano_bea_deck","nano_bea_1","nano_bea_2","nano_bea_3",,,,,,,,,,,,,,,,,,,,,,
"nano_belle_deck","nano_belle_1","nano_belle_2","nano_belle_3",,,,,,,,,,,,,,,,,,,,,,
"nano_berry_deck","nano_berry_1","nano_berry_2","nano_berry_3",,,,,,,,,,,,,,,,,,,,,,
"nano_bibi_deck","nano_bibi_1","nano_bibi_2","nano_bibi_3",,,,,,,,,,,,,,,,,,,,,,
"nano_bo_deck","nano_bo_1","nano_bo_2","nano_bo_3",,,,,,,,,,,,,,,,,,,,,,
"nano_bonnie_deck","nano_bonnie_1","nano_bonnie_2","nano_bonnie_3",,,,,,,,,,,,,,,,,,,,,,
"nano_brock_deck","nano_brock_1","nano_brock_2","nano_brock_3",,,,,,,,,,,,,,,,,,,,,,
