"Name","PoolTickets","Disabled","Skins","DiscountPercentage","DropRate","TID"
"string","int","Boolean","string","int","int","string"
"Pool1",100,,"BaseballSandsOfTime",0,50,
,,,"BaseballSandsOfTime",10,30,
,,,"BaseballSandsOfTime",20,20,
,,,"FrankFairies",0,50,
,,,"FrankFairies",10,30,
,,,"FrankFairies",20,20,
,,,"RocketGirlSteamPunk",0,50,
,,,"RocketGirlSteamPunk",10,30,
,,,"RocketGirlSteamPunk",20,20,
,,,"PowerLevelerPorcelain",0,50,
,,,"PowerLevelerPorcelain",10,30,
,,,"PowerLevelerPorcelain",20,20,
,,,"ShamanAprilFools",0,50,
,,,"ShamanAprilFools",10,30,
,,,"ShamanAprilFools",20,20,
,,,"GeishaSteamPunk",0,50,
,,,"GeishaSteamPunk",10,30,
,,,"GeishaSteamPunk",20,20,
,,,"UndertakerGreekGod",0,50,
,,,"UndertakerGreekGod",10,30,
,,,"UndertakerGreekGod",20,20,
,,,"UndertakerGreekGodChroma2",0,50,
,,,"UndertakerGreekGodChroma2",10,30,
,,,"UndertakerGreekGodChroma2",20,20,
,,,"UndertakerGreekGodChroma1",0,50,
,,,"UndertakerGreekGodChroma1",10,30,
,,,"UndertakerGreekGodChroma1",20,20,
,,,"TrickshotDudeAprilFools",0,50,
,,,"TrickshotDudeAprilFools",10,30,
,,,"TrickshotDudeAprilFools",20,20,
,,,"AmbusherFantasy",0,50,
,,,"AmbusherFantasy",10,30,
,,,"AmbusherFantasy",20,20,
,,,"EnragerKaijuChroma1",0,50,
,,,"EnragerKaijuChroma1",10,30,
,,,"EnragerKaijuChroma1",20,20,
,,,"EnragerKaijuChroma2",0,50,
,,,"EnragerKaijuChroma2",10,30,
,,,"EnragerKaijuChroma2",20,20,
,,,"EnragerKaiju",0,50,
,,,"EnragerKaiju",10,30,
,,,"EnragerKaiju",20,20,
,,,"MechanicMecha",0,50,
,,,"MechanicMecha",10,30,
,,,"MechanicMecha",20,20,
,,,"AxeJugglerAprilFools",0,50,
,,,"AxeJugglerAprilFools",10,30,
,,,"AxeJugglerAprilFools",20,20,
,,,"CrowHarvest",0,50,
,,,"CrowHarvest",10,30,
,,,"CrowHarvest",20,20,
,,,"BullDudeDemon",0,50,
,,,"BullDudeDemon",10,30,
,,,"BullDudeDemon",20,20,
,,,"BeamerCarnival",0,50,
,,,"BeamerCarnival",10,30,
,,,"BeamerCarnival",20,20,
,,,"SniperJapanChromaBlue",0,50,
,,,"SniperJapanChromaBlue",10,30,
,,,"SniperJapanChromaBlue",20,20,
,,,"SniperJapanChromaGreen",0,50,
,,,"SniperJapanChromaGreen",10,30,
,,,"SniperJapanChromaGreen",20,20,
,,,"BaseballVillain",0,50,
,,,"BaseballVillain",10,30,
,,,"BaseballVillain",20,20,
,,,"BaseballVillainChromaBlue",0,50,
,,,"BaseballVillainChromaBlue",10,30,
,,,"BaseballVillainChromaBlue",20,20,
,,,"BaseballVillainChromaPink",0,50,
,,,"BaseballVillainChromaPink",10,30,
,,,"BaseballVillainChromaPink",20,20,
,,,"SniperJapan",0,50,
,,,"SniperJapan",10,30,
,,,"SniperJapan",20,20,
,,,"MechaDudeAngel",0,50,
,,,"MechaDudeAngel",10,30,
,,,"MechaDudeAngel",20,20,
,,,"StickyBombSandsOfTimes",0,50,
,,,"StickyBombSandsOfTimes",10,30,
,,,"StickyBombSandsOfTimes",20,20,
,,,"ArcadeAngel",0,50,
,,,"ArcadeAngel",10,30,
,,,"ArcadeAngel",20,20,
,,,"SandstormGreekGod",0,50,
,,,"SandstormGreekGod",10,30,
,,,"SandstormGreekGod",20,20,
,,,"TwinsSandsOfTime",0,50,
,,,"TwinsSandsOfTime",10,30,
,,,"TwinsSandsOfTime",20,20,
,,,"SniperGreek",0,50,
,,,"SniperGreek",10,30,
,,,"SniperGreek",20,20,
,,,"BowDudeFantasy",0,50,
,,,"BowDudeFantasy",10,30,
,,,"BowDudeFantasy",20,20,
,,,"BowDudeFantasyChroma1",0,50,
,,,"BowDudeFantasyChroma1",10,30,
,,,"BowDudeFantasyChroma1",20,20,
,,,"BowDudeFantasyChroma2",0,50,
,,,"BowDudeFantasyChroma2",10,30,
,,,"BowDudeFantasyChroma2",20,20,
,,,"CrossBomberDragon",0,50,
,,,"CrossBomberDragon",10,30,
,,,"CrossBomberDragon",20,20,
,,,"DomainSupercellStore",0,50,
,,,"DomainSupercellStore",10,30,
,,,"DomainSupercellStore",20,20,
,,,"GunslingerDarkAngelChroma",0,50,
,,,"GunslingerDarkAngelChroma",10,30,
,,,"GunslingerDarkAngelChroma",20,20,
,,,"EnragerThief",0,50,
,,,"EnragerThief",10,30,
,,,"EnragerThief",20,20,
,,,"ChronomancerKaiju",0,50,
,,,"ChronomancerKaiju",10,30,
,,,"ChronomancerKaiju",20,20,
,,,"MummyDemon",0,50,
,,,"MummyDemon",10,30,
,,,"MummyDemon",20,20,
,,,"PercenterKaiju",0,50,
,,,"PercenterKaiju",10,30,
,,,"PercenterKaiju",20,20,
,,,"HammerDudeSandsOfTimesDark",0,50,
,,,"HammerDudeSandsOfTimesDark",10,30,
,,,"HammerDudeSandsOfTimesDark",20,20,
,,,"HammerDudeSandsOfTimes",0,50,
,,,"HammerDudeSandsOfTimes",10,30,
,,,"HammerDudeSandsOfTimes",20,20,
,,,"HammerDudeSandsOfTimesLight",0,50,
,,,"HammerDudeSandsOfTimesLight",10,30,
,,,"HammerDudeSandsOfTimesLight",20,20,
,,,"DuelistToon",0,50,
,,,"DuelistToon",10,30,
,,,"DuelistToon",20,20,
,,,"DrillerFantasy",0,50,
,,,"DrillerFantasy",10,30,
,,,"DrillerFantasy",20,20,
,,,"PowerLevelerOnceupon_Red",0,50,
,,,"PowerLevelerOnceupon_Red",10,30,
,,,"PowerLevelerOnceupon_Red",20,20,
,,,"PowerLevelerOnceupon",0,50,
,,,"PowerLevelerOnceupon",10,30,
,,,"PowerLevelerOnceupon",20,20,
,,,"PowerLevelerOnceupon_Gold",0,50,
,,,"PowerLevelerOnceupon_Gold",10,30,
,,,"PowerLevelerOnceupon_Gold",20,20,
,,,"CrossBomberSupercellMake",0,50,
,,,"CrossBomberSupercellMake",10,30,
,,,"CrossBomberSupercellMake",20,20,
,,,"SamuraiStarrForceChroma2",0,50,
,,,"SamuraiStarrForceChroma2",10,30,
,,,"SamuraiStarrForceChroma2",20,20,
,,,"SamuraiStarrForceChroma1",0,50,
,,,"SamuraiStarrForceChroma1",10,30,
,,,"SamuraiStarrForceChroma1",20,20,
,,,"SamuraiStarrForce",0,50,
,,,"SamuraiStarrForce",10,30,
,,,"SamuraiStarrForce",20,20,
,,,"AssaultShotgunKaiju",0,50,
,,,"AssaultShotgunKaiju",10,30,
,,,"AssaultShotgunKaiju",20,20,
,,,"RopeDudeGoodRandoms",0,50,
,,,"RopeDudeGoodRandoms",10,30,
,,,"RopeDudeGoodRandoms",20,20,
,,,"EnragerMecha",0,50,
,,,"EnragerMecha",10,30,
,,,"EnragerMecha",20,20,
,,,"GhostBrawlentine",0,50,
,,,"GhostBrawlentine",10,30,
,,,"GhostBrawlentine",20,20,
,,,"ReviverFantasy",0,50,
,,,"ReviverFantasy",10,30,
,,,"ReviverFantasy",20,20,
,,,"ElectroSniperFantasy",0,50,
,,,"ElectroSniperFantasy",10,30,
,,,"ElectroSniperFantasy",20,20,
,,,"Fury199GemChroma1",0,50,
,,,"Fury199GemChroma1",10,30,
,,,"Fury199GemChroma1",20,20,
,,,"Fury199GemChroma2",0,50,
,,,"Fury199GemChroma2",10,30,
,,,"Fury199GemChroma2",20,20,
,,,"Fury199Gem",0,50,
,,,"Fury199Gem",10,30,
,,,"Fury199Gem",20,20,
,,,"SoulCollectorDemon",0,50,
,,,"SoulCollectorDemon",10,30,
,,,"SoulCollectorDemon",20,20,
,,,"NinjaMecha",0,50,
,,,"NinjaMecha",10,30,
,,,"NinjaMecha",20,20,
,,,"IceDudeToon",0,50,
,,,"IceDudeToon",10,30,
,,,"IceDudeToon",20,20,
,,,"RocketGirlVirusRGB",0,50,
,,,"RocketGirlVirusRGB",10,30,
,,,"RocketGirlVirusRGB",20,20,
,,,"RocketGirlVirusGold",0,50,
,,,"RocketGirlVirusGold",10,30,
,,,"RocketGirlVirusGold",20,20,
,,,"RocketGirlVirus",0,50,
,,,"RocketGirlVirus",10,30,
,,,"RocketGirlVirus",20,20,
"Pool2",90,,"ArcadeSandsOfTime",0,30,
,,,"ArcadeSandsOfTime",10,30,
,,,"ArcadeSandsOfTime",20,30,
,,,"ArcadeSandsOfTime",30,10,
,,,"BaseballThor",0,30,
,,,"BaseballThor",10,30,
,,,"BaseballThor",20,30,
,,,"BaseballThor",30,10,
