"Name","Conf","Disabled","Campaigns","UpdateNumber","IconOverrideSWF","IconOverrideExportName","SkinGroupId","ObtainType","ObtainTypeCN","LastChance","MasterSkin","ProgressionSkinBase","ProgressionSkinLevel","ProgressionSkinFinal","PetSkin","PetSkin2","OverchargePetSkin","OverchargePetSkin2","PriceClubCoins","PriceStarPoints","PriceBling","DontSellInCatalog","CanDropWithoutBlingPrice","PriceGems","DiscountPriceGems","PriceCoins","Rarity","TID","ShopTID","Features","CommunityCredit","MaterialsFile","DiffuseTexture","SpecularTexture","CustomShader","OutlineShader","PackOfferAnimOverride","BattleIntroXOffset","BattleIntroZOffset","BattleIntroVFX","DisableCatalogRelease","CatalogPreRequirementSkin","CatalogNewDaysAdjustment","NotInCatalogTID","PreciseCollision","OdditiesShopAvailability","NotSoldInVault"
"string","string","boolean","string","int","string","string","int","int","int","boolean","string","string","int","boolean","string","string","string","string","int","int","int","boolean","boolean","int","int","int","string","string","string","string","string","string","string","string","string","string","string","int","int","boolean","boolean","string","int","string","boolean","string","boolean"
"BanditGirlDefault","BanditGirlDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","shelly_redux_tex.sctx","shelly_redux_tex.sctx","","","","","","","","","","","","",""
"GunSlingerDefault","GunSlingerDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","colt_redux_tex.sctx","colt_redux_tex.sctx","","","","","","","","","","","","",""
"GunSlingerRockstar","GunSlingerRockstar","","MUSIC","","","","","","","","","","","","","","","","","","1000","true","","29","","","RARE","TID_GUNSLINGER_ROCKSTAR_SKIN","TID_GUNSLINGER_ROCKSTAR_SKIN_SHOP","MODEL","","","colt_rockstar_redux_tex.sctx","colt_rockstar_redux_tex.sctx","","","","","","","","","","","","NEVER",""
"BullGuyDefault","BullGuyDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","bull_tex.sctx","bull_tex.sctx","","","","","","","","","","","","",""
"RocketGirlDefault","RocketGirlDefault","","","","","","14","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketGirlBeach","RocketGirlBeach","","SUMMER","","","","","","","","","","","","","","","","","","2750","true","","79","69","","SUPER_RARE","TID_ROCKET_BEACH_SKIN","TID_ROCKET_BEACH_SKIN_SHOP","MODEL,VFX,SFX","","","brock_beach_tex.sctx","brock_beach_tex.sctx","","","","","","","","","","","","AVAILABLE",""
"TntGuyDefault","TntGuyDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","dynamike_redux_tex.sctx","dynamike_redux_tex.sctx","","","","","","","","","","","","",""
"LuchadorDefault","LuchadorDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","primo_tex.sctx","primo_tex.sctx","","","","","","","","","","","","",""
"TurretDefault","TurretDefault","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","jessie_turret_tex.sctx","jessie_turret_tex.sctx","","","","","","","","","","","","",""
