"Name","DurationTicks","GradualWearOffAfter","CancelOnDamage","CancelOnCharge","CancelOnChargeEnd","CancelOnHealthRegen","CancelOnSourceDeath","TriggerRate","TriggerOnFirstTick","Stacking","Refreshable","PulsatingActiveTicksOn","PulsatingActiveTicksOff","Damage","DamageHealSource","UltiChargePercent","UltiChargeBoostPercent","OverchargeChargeReducePercent","AmmoReducePercent","Healing","ShieldPercent","BaseSpeedIncreasePercent","SpeedBoostPercent","SpeedBoostAbsolute","SpeedReducePercent","SpeedReduceAbsolute","DamageBoostPercent","ShowDamageAsCrit","DamageReducePercent","DamageBoostTargetCurrentHealthPercent","DamageReceivedBoostPercent","DamageReceivedBoostAbsolute","DecreaseReloadTimePercent","LifeSteal","SourceLifeSteal","Cleanse","DoBlinkClear","CcImmunity","AttackImmunity","Invisibility","ForceShow","LosePlayerControl","FullStun","Taunt","Stasis","Silence","ScaleWithUpgrades","ScaleWithBuffs","IsDebuff","AttackPierceCharacters","AttackThroughWalls","UltiAttackThroughWalls","MoveThroughWalls","MoveThroughWater","ServerOnly","SpawnCharacterOnDeath","SpawnAreaEffectOnDeath","PersistTransformation","BooleanAttributes","HapticsToSource","TimerBar","Traits","Components","ActivateOnRefreshCount","DamagePercentRedirectToSource","ActionsOnTrigger","ActionsOnCancelOnDamage","ChainStatusEffect","ChainStatusEffect2","StatusToApplyOnEnd"
"string","int","int","boolean","boolean","boolean","boolean","boolean","int","boolean","boolean","boolean","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","boolean","int","int","int","int","int","int","int","boolean","boolean","boolean","boolean","string","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","string","string","boolean","string","boolean","boolean","string","string","int","int","string","string","string","string","string"
"WhirlwindTrailFire","80","","","","","","","20","","","TRUE","","","300","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"WhirlwindUltiTrailFire","80","","","","","","","20","","","TRUE","","","370","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","","","","","","","","","",""
"FireDudePetrolFire","80","","","","","","","20","","","TRUE","","","480","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","",""
"FireDudePetrolFireOvercharged","80","","","","","","","20","","","TRUE","","","500","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","",""
"FireDudeFlameShieldBuddyStatus","100","","","","","","","","TRUE","","TRUE","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FireDudeContactDamage","","","","","","",""
"FireDudePetrolSpSpill","60","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","FireDudePetrolSpill","","","","","","",""
"FireDudePetrolSpBuddySpeed","2","","","","","","","","","","TRUE","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RollerFire","80","","","","","","","20","","","TRUE","","","200","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","",""
"PuppeteerPoison","40","","","","","","","20","TRUE","TRUE","","","","400","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","TRUE","TRUE","","","","","","","","","","","TRUE","","","","","","","","","",""
"PuppeteerOverchargedMindcontrolShield","500","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SpawnProtection;CancelOnNotMindControl","","","","","","","","","","",""
"SharpenedAmmoBleed","60","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","","","","","","",""
