"Name","TimeToSpawnTicks","SpawnRounds","PossibleCharacters","PossibleCharacterWeights","PossibleCharactersCountToSpawn","PossibleCharacterXPSize","MaxSimultaneousEnemies","InitialBurstSpawnRounds"
"string","int","int","string","int","int","int","int","int"
"TimeSpawnDifficulty1",35,1,"SwarmSamuraiFastMeleeEnemy",60,1,0,10,0
,,,"SwarmSamuraiMeleeEnemy",40,1,0,,
,,,"SwarmSamuraiMeleeMiniBossEnemy",0,1,2,,
"TimeSpawnDifficulty2",30,1,"SwarmSamuraiFastMeleeEnemy",58,1,0,10,0
,,,"SwarmSamuraiMeleeEnemy",42,1,0,,
,,,"SwarmSamuraiMeleeMiniBossEnemy",0,1,2,,
"TimeSpawnDifficulty3",26,1,"SwarmSamuraiFastMeleeEnemy",55,1,0,12,0
,,,"SwarmSamuraiMeleeEnemy",40,1,0,,
,,,"SwarmSamuraiMeleeMiniBossEnemy",5,1,2,,
"TimeSpawnDifficulty4",24,1,"SwarmSamuraiFastMeleeEnemy",50,1,0,12,0
,,,"SwarmSamuraiMeleeEnemy",35,1,0,,
,,,"SamuraiFastMeleeEnemy",8,1,0,,
,,,"SwarmSamuraiMeleeMiniBossEnemy",7,1,2,,
"TimeSpawnDifficulty5",22,1,"SwarmSamuraiFastMeleeEnemy",46,2,0,14,0
,,,"SwarmSamuraiMeleeEnemy",34,1,0,,
,,,"SamuraiFastMeleeEnemy",10,1,0,,
,,,"SwarmSamuraiMeleeMiniBossEnemy",10,1,2,,
"TimeSpawnDifficulty6",20,1,"SwarmSamuraiFastMeleeEnemy",44,2,0,16,0
,,,"SwarmSamuraiMeleeEnemy",32,1,0,,
,,,"SamuraiFastMeleeEnemy",12,1,0,,
,,,"SwarmSamuraiMeleeMiniBossEnemy",12,1,2,,
"TimeSpawnDifficulty7",18,1,"SwarmSamuraiFastMeleeEnemy",42,2,0,16,0
,,,"SwarmSamuraiMeleeEnemy",30,2,0,,
,,,"SamuraiFastMeleeEnemy",13,1,0,,
,,,"SwarmSamuraiMeleeMiniBossEnemy",15,1,2,,
"TimeSpawnDifficulty8",16,2,"SwarmSamuraiFastMeleeEnemy",40,2,0,18,2
,,,"SwarmSamuraiMeleeEnemy",28,2,0,,
,,,"SamuraiFastMeleeEnemy",15,2,0,,
,,,"SwarmSamuraiMeleeMiniBossEnemy",17,1,2,,
"TimeSpawnDifficulty9",14,2,"SwarmSamuraiFastMeleeEnemy",38,2,0,20,2
,,,"SwarmSamuraiMeleeEnemy",27,2,0,,
,,,"SamuraiFastMeleeEnemy",17,2,0,,
,,,"SwarmSamuraiMeleeMiniBossEnemy",18,2,2,,
"TimeSpawnDifficulty10",13,2,"SwarmSamuraiFastMeleeEnemy",36,3,0,22,3
,,,"SwarmSamuraiMeleeEnemy",26,2,0,,
,,,"SamuraiFastMeleeEnemy",18,2,0,,
,,,"SwarmSamuraiMeleeMiniBossEnemy",20,2,2,,
"TimeSpawnDifficulty11",12,2,"SwarmSamuraiFastMeleeEnemy",34,3,0,24,3
,,,"SwarmSamuraiMeleeEnemy",25,2,0,,
,,,"SamuraiFastMeleeEnemy",19,2,0,,
,,,"SwarmSamuraiMeleeMiniBossEnemy",22,2,2,,
"TimeSpawnDifficulty12",11,2,"SwarmSamuraiFastMeleeEnemy",33,3,0,26,4
,,,"SwarmSamuraiMeleeEnemy",24,2,0,,
,,,"SamuraiFastMeleeEnemy",19,2,0,,
,,,"SwarmSamuraiMeleeMiniBossEnemy",24,2,2,,
"TimeSpawnDifficulty13",10,2,"SwarmSamuraiFastMeleeEnemy",32,3,0,28,4
,,,"SwarmSamuraiMeleeEnemy",23,3,0,,
,,,"SamuraiFastMeleeEnemy",20,2,0,,
,,,"SwarmSamuraiMeleeMiniBossEnemy",25,2,2,,
"TimeSpawnDifficulty14",9,2,"SwarmSamuraiFastMeleeEnemy",31,3,0,28,5
,,,"SwarmSamuraiMeleeEnemy",22,3,0,,
,,,"SamuraiFastMeleeEnemy",21,2,0,,
,,,"SwarmSamuraiMeleeMiniBossEnemy",26,2,2,,
"TimeSpawnDifficulty15",8,2,"SwarmSamuraiFastMeleeEnemy",30,3,0,30,5
,,,"SwarmSamuraiMeleeEnemy",22,3,0,,
,,,"SamuraiFastMeleeEnemy",20,3,0,,
,,,"SwarmSamuraiMeleeMiniBossEnemy",28,2,2,,
"TimeSpawnDifficulty16",6,3,"SwarmSamuraiFastMeleeEnemy",28,3,0,32,6
,,,"SwarmSamuraiMeleeEnemy",20,3,0,,
,,,"SamuraiFastMeleeEnemy",22,3,0,,
,,,"SwarmSamuraiMeleeMiniBossEnemy",30,3,2,,
