"TID","UK"
"string","string"
"TID_BATTLE_END_QUESTS_COMPLETED","Завершено квести: <NUM>"
"TID_BATTLE_END_QUESTS_PROGRESSED","Прогрес квестів: <NUM>"
"TID_TICKET_COMPENSATION_TITLE","СПОВІЩЕННЯ ПРО ОНОВЛЕННЯ"
"TID_TICKET_COMPENSATION_INFO","Тримай самоцвіти замість твоїх квитків! Ми прибрали квитки з гри, тож вони більше не потрібні."
"TID_TICKET_COMPENSATION_CLAIM","ЗАБРАТИ!"
"TID_BRAWL_PASS_OLD_BOXES_TITLE","ВІДЧИНИТИ РЕШТУ СКРИНЬОК"
"TID_BRAWL_PASS_QUESTS_LABEL","КВЕСТИ"
"TID_BRAWL_PASS_QUESTS_INFO_LOCKED","Здобудь трофеї (<TROPHIES>), щоб розблокувати квести!"
"TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED","Квести тепер можна розблокувати на Шляху трофеїв!"
"TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER","Перейди до Шляху трофеїв, щоб розблокувати квести"
"TID_BRAWL_PASS_QUESTS_CLAIM_NEXT","Візьми квести на Шляху трофеїв!"
"TID_BRAWL_PASS_QUESTS_CLAIM_TR_REWARDS","Забери нагороди Шляху трофеїв, щоб розблокувати квести!"
"TID_BRAWL_PASS_BUY_PROGRESS_LABEL","ПРИДБАТИ РІВЕНЬ"
"TID_QUESTS_TITLE","КВЕСТИ"
"TID_QUEST_DESC_1","ВИГРАЙ БОЇ: <AMOUNT>"
"TID_QUEST_DESC_2","ПЕРЕМОЖИ ПРОТИВНИКІВ: <AMOUNT>"
"TID_QUEST_DESC_3","ЗАВДАЙ УШКОДЖЕННЯ: <AMOUNT> ОД."
"TID_QUEST_DESC_4","ВІДНОВИ ЗДОРОВʼЯ: <AMOUNT> ОД."
"TID_QUEST_DESC_5","ВИКОРИСТАЙ \q«ГРАТИ ЩЕ РАЗ»\q: <NUM> Р."
"TID_QUEST_DESC_6","ЗІГРАЙ МАТЧІ В КОМАНДІ: <NUM>"
"TID_QUEST_DESC_7_MODE_0","УТРИМУЙ <LIMIT> АБО БІЛЬШЕ САМОЦВІТІВ ПРОТЯГОМ <AMOUNT> С"
"TID_QUEST_DESC_7_MODE_2","ЗАВДАЙ УШКОДЖЕННЯ СЕЙФУ: <AMOUNT> ОД."
"TID_QUEST_DESC_7_MODE_3","ЗАВЕРШИ МАТЧІ ІЗ <LIMIT> АБО БІЛЬШЕ ЗІРКАМИ: <AMOUNT> Р."
"TID_QUEST_DESC_7_MODE_5","ПЕРЕДАЙ ПАСИ: <AMOUNT> Р."
"TID_QUEST_DESC_7_MODE_6","ЗБЕРИ КУБИ СИЛИ: <AMOUNT>"
"TID_QUEST_DESC_7_MODE_9","ПОКИ ОБИДВА ГРАВЦІ ПЕРЕБУВАЮТЬ У ГРІ, ЗБЕРИ КУБИ СИЛИ: <AMOUNT>"
"TID_QUEST_DESC_7_MODE_17","ЗАХОПИ ЗОНИ ПРОТЯГОМ <AMOUNT> С"
"TID_QUEST_DESC_7_MODE_20","ПРОТРИМАЙСЯ БЕЗ ПОРАЗКИ РАУНДИ: <AMOUNT>"
"TID_QUEST_DESC_7_MODE_34","ВТЕЧИ З ТРОФЕЯМИ: <AMOUNT>"
"TID_QUEST_DESC_10","ЗІГРАЙ МАТЧІ З ТОВАРИШЕМ ПО КЛУБУ: <NUM> Р."
"TID_QUEST_DESC_11","ЗІГРАЙ БОЇ: <AMOUNT>"
"TID_QUEST_DESC_1_LEVELED","ПРОЙДИ РІВЕНЬ"
"TID_QUEST_DESC_1_BIG_GAME","ВИГРАЙ БОЇ: <AMOUNT>"
"TID_QUEST_DESC_1_BIG_GAME_SINGLE","ВИГРАЙ <AMOUNT> БІЙ"
"TID_QUEST_HERO_CONDITION","\nЗА ГЕРОЯ <HERO>"
"TID_QUEST_HERO_CONDITION_2","\nЗА ГЕРОЯ <HERO_1> АБО <HERO_2>"
"TID_QUEST_HERO_CONDITION_3","\n ЗА ГЕРОЯ <HERO_1>, <HERO_2> АБО <HERO_3>"
"TID_QUEST_MODE_CONDITION","\nУ РЕЖИМІ <MODE>"
"TID_QUEST_MODE_CONDITION_2","\nУ РЕЖИМІ <MODE_1> АБО <MODE_2>"
"TID_QUEST_PLAYAGAIN_CONDITION","\nІЗ ТОВАРИШЕМ"
"TID_QUEST_NEW","НОВЕ"
"TID_QUEST_PREMIUM","ЕКСКЛЮЗИВ BRAWL PASS"
"TID_MEGA_QUEST_INFO_COMPLETE_PREVIOUS","Заверши попередні мегаквести"
"TID_MEGA_QUEST_INFO_EXPIRES_IN","Закінчується за <TIME>"
"TID_MEGA_QUEST_INFO_UNLOCKS_IN","Відкриється за <TIME>"
"TID_MEGA_QUEST_INFO_UNLOCKS_SOON","Незабаром відкриється!"
"TID_MEGA_QUEST_INFO_CURRENT","Поточний мегаквест"
"TID_MEGA_QUEST_INFO_COMPLETED","Завершений мегаквест"
"TID_RANK_POPUP_QUESTS","КВЕСТИ"
"TID_RANK_POPUP_CLUB_FEATURE","КЛУБИ"
"TID_BRAWL_PASS_POPUP_TITLE","BRAWL PASS"
"TID_BRAWL_PASS_POPUP_INFO","СЕЗОН <SEASON>"
"TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON","НАЗАД ДО ПОТОЧНОГО СЕЗОНУ"
"TID_BRAWL_PASS_PREVIOUS_SEASON","ПОПЕРЕДНІЙ СЕЗОН"
"TID_BRAWL_PASS_PREVIOUS_SEASON_INFO","НАТИСНИ ТУТ, ЩОБ ЗАБРАТИ НАГОРОДИ!"
"TID_BRAWL_PASS_UNLOCK_INFO","ПРЕМІАЛЬНІ НАГОРОДИ ЗАБЛОКОВАНО!"
"TID_BRAWL_PASS_UNLOCK_LABEL","РОЗБЛОКУВАТИ"
"TID_BRAWLPASS_PURCHASE_ERROR_3","Brawl Pass цього сезону вже придбано."
"TID_BRAWLPASS_PURCHASE_ERROR_4","На жаль, цей Brawl Pass більше недоступний!"
"TID_BRAWLPASS_PURCHASE_ERROR_5","Неможливо придбати ПАКЕТ BRAWL PASS, у тебе вже є всі нагороди!"
"TID_BRAWLPASS_PURCHASE_ERROR_6","Триває оплата купівлі Brawl Pass"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE","ПІДВИЩИТИ РІВЕНЬ?"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO","Придбати <NUM> оч. досвіду Brawl Pass і перейти на наступний рівень нагород?"
"TID_PURCHASE_BRAWL_PASS_TITLE","ОТРИМАЙ BRAWL PASS!"
"TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN","BRAWL PASS"
"TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE","ПАКЕТ BRAWL PASS"
"TID_PURCHASE_BRAWL_PASS_INFO_PLAIN","Розблокуй нагороди Brawl Pass і додаткові квести"
"TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE","BRAWL PASS + <NUM> РІВ."
"TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON","Brawl Pass за минулі сезони не можна придбати"
"TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND","Не вдалося знайти Brawl Pass поточного сезону. Спробуй ще раз згодом."
"TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED","Brawl Pass поточного сезону вже розблоковано"
"TID_TAKEDOWNS_LABEL","ЗНИЩЕННЯ"
"TID_DEFEAT_LABEL","ПОРАЗКА"
"TID_UNDERDOG","АУТСАЙДЕР"
"TID_ACCESSORY","ГАДЖЕТ"
"TID_BATTLE_END_COIN_SHOWER","ПОДІЯ «ЗЛИВА МОНЕТ»"
"TID_BATTLE_END_CC_SHOWER","ПОДІЯ «ЗЛИВА ХРОМИ»"
"TID_LFG_POPUP_TITLE_MEMBER","ПОШУК ГРАВЦЯ"
"TID_LFG_POPUP_TITLE_TEAM","ПОШУК КОМАНДИ"
"TID_LFG_POPUP_INFO_MEMBER","Шукай гравців для спільної гри"
"TID_LFG_POPUP_INFO_TEAM","Шукай гравця до своєї поточної команди"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Критерії події (натисни, щоб змінити)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Хочу грати (натисни, щоб змінити)"
"TID_LFG_POPUP_START_SEARCH","УПЕРЕД!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Цей режим не підтримує більше гравців"
"TID_LFG_NOT_AVAILABLE_FOR_MODE","Недоступно для поточного режиму гри"
"TID_LOOKING_FOR_A_TEAM","ПОШУК КОМАНДИ"
"TID_LOOKING_FOR_A_MEMBER","ПОШУК ГРАВЦЯ"
"TID_CC_TEASER_TITLE","Незабаром!"
"TID_CC_TEASER_INFO","Готуйся до Чемпіонського випробування! Вигравай матчі (<WIN>).\n\nГрай із друзями або скористайся функцією \q«Пошук команди»\q, щоб підвищити свої шанси.\n\nВипробування буде доступне лише <DURATION> год, тож не зволікай!"
"TID_CC_POPUP_TITLE","ЧЕМПІОНСЬКЕ ВИПРОБУВАННЯ"
"TID_CC_POPUP_1_TITLE","КУБОК PSG"
"TID_CC_POPUP_TITLE_PSG_21","КУБОК PSG 2021"
"TID_CC_POPUP_DESC","Круті нагороди за кожну перемогу! Перемог для проходження випробування потрібно: <WINS>. Поразок до вибування: <LOSSES>!"
"TID_CC_POPUP_1_DESC","Круті нагороди за кожну перемогу! Перемог для здобуття Кубка потрібно: <WINS>. Поразок до вибування: <LOSSES>!"
"TID_CC_POPUP_WINS","ПЕРЕМОГИ: <WINS>/<MAX>"
"TID_CC_POPUP_WINS_FOR_EVENT","ЕТАП <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","ЧВЕРТЬФІНАЛ"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","ПІВФІНАЛ"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","ФІНАЛ"
"TID_CC_POPUP_QUALIFY_INFO","Пройди випробування, щоб перейти до наступного етапу Чемпіонату Brawl Stars!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","Пройди випробування, щоб отримати скін PSG Шеллі!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Випробування пройдено!"
"TID_CC_POPUP_CHALLENGE_OVER","ВИПРОБУВАННЯ ЗАВЕРШЕНО"
"TID_CC_POPUP_OUT_OF_LIVES","СПРОБ НЕ ЗАЛИШИЛОСЯ"
"TID_CC_POPUP_BUY_LIVES","ПРИДБАТИ ДОДАТКОВІ СПРОБИ (<NUM>)?"
"TID_CC_POPUP_COMPLETED","ВИПРОБУВАННЯ ПРОЙДЕНО"
"TID_CC_POPUP_LEVEL","ЕТАП <LEVEL>"
"TID_CC_POPUP_WIN","ПЕРЕМОГА"
"TID_CC_POPUP_LOSSES","ПОРАЗКИ"
"TID_QUALIFIED_TITLE","Онлайн-відбір ВІДКРИТО!"
"TID_QUALIFIED_INFO","Ого, Чемпіонське випробування пройдено! НЕЙМОВІРНО!\n\nЩоб продовжити свій шлях до ЧЕМПІОНАТУ BRAWL STARS, перейди на сторінку <cFFE400><URL></c>"
"TID_QUALIFIED_INFO_HUB","Ого, Чемпіонське випробування пройдено! НЕЙМОВІРНО!\n\nЩоб продовжити свій шлях у ЧЕМПІОНАТІ BRAWL STARS, перейди до нового розділу «КІБЕРСПОРТ» на екрані «РАНГОВИЙ БІЙ»!"
"TID_QUALIFIED_INFO_PSG","Вітаємо з перемогою в КУБКУ PSG! Відкрито скін PSG Шеллі!"
"TID_QUALIFIED_GO","УПЕРЕД!"
"TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","ЧЕМПІОНСЬКЕ ВИПРОБУВАННЯ"
"TID_BATTLE_END_CC_WIN_LABEL","НАГОРОДА ЗА ПЕРЕМОГУ І МІСЦЕ №<AMOUNT>"
"TID_BATTLE_END_CC_DEFEAT_0","Випробування завершено.\nНаступного разу пощастить!"
"TID_BATTLE_END_CC_DEFEAT_1","Ще одна поразка і ти вибуваєш. Бийся далі!"
"TID_BATTLE_END_CC_DEFEAT_2","Цей бій програно, але ти можеш продовжити!"
"TID_BATTLE_END_CC_DRAW_DESC","Зіграй ще раз, щоб перемогти!"
"TID_BATTLE_END_CC_QUALIFY_LABEL","ВІДБІР ПРОЙДЕНО!"
"TID_BATTLE_END_CC_QUALIFY_INFO","Вітаємо! Ти можеш узяти участь у наступному етапі Чемпіонату Brawl Stars.\nПеревір вхідні повідомлення, щоб дізнатися більше."
"TID_PRO_LEAGUE_INFO_POPUP_TITLE","Нагороди ЛІГИ СИЛОВИХ ПЕРЕГОНІВ"
"TID_PRO_LEAGUE_INFO_POPUP_INFO","Нагорода залежить\nвід твоїх підсумкових очок"
"TID_PRO_LEAGUE_INFO_POPUP_RANK","Місце в рейтингу"
"TID_PRO_LEAGUE_INFO_POPUP_POINTS","Очки"
"TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO","Додаткова нагорода за місце\nсеред найкращих у світовій таблиці лідерів"
"TID_PRO_LEAGUE_POPUP_REWARDS_LABEL","ПІДСУМКОВІ НАГОРОДИ ЛІГИ СИЛОВИХ ПЕРЕГОНІВ"
"TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL","ТАБЛИЦЯ ЛІГИ"
"TID_PRO_LEAGUE_SEASON_END_TIME","ЛІГА ЗАКІНЧИТЬСЯ ЗА"
"TID_PRO_LEAGUE_POPUP_TITLE","СИЛОВІ ПЕРЕГОНИ"
"TID_EVENT_LABEL_PRO_LEAGUE","СИЛОВІ ПЕРЕГОНИ"
"TID_PRO_LEAGUE_POPUP_INFO","Випробуй свої навички в СИЛОВИХ ПЕРЕГОНАХ! Змагайся в трьох матчах щодня, щоб підійматися в таблиці ліги. Коли ліга завершиться, ти отримаєш зоряні очки залежно від своїх очок і місця у світовій таблиці ліги."
"TID_PRO_LEAGUE_POPUP_CURRENT_SEASON","ПОТОЧНА ЛІГА"
"TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON","ПОПЕРЕДНЯ ЛІГА"
"TID_PRO_LEAGUE_LABEL","СИЛОВІ ПЕРЕГОНИ"
"TID_TEAM_ERROR_38","Вибери бійця 10-го РІВНЯ СИЛИ!"
"TID_TEAM_ERROR_39","На сьогодні бої СИЛОВИХ ПЕРЕГОНІВ закінчилися!"
"TID_PRO_LEAGUE_GAMES","ЗАЛИШИЛОСЯ БОЇВ: <GAMESLEFT>/<MAXGAMES>"
"TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE","ЛІГУ СИЛОВИХ ПЕРЕГОНІВ ЗАВЕРШЕНО"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS","Твої очки"
"TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK","Твоє місце в рейтингу"
"TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS","Нагорода в зоряних очках"
"TID_PRO_LEAGUE_SEASON_END_INFO_SHORT","НАГОРОДА СИЛОВИХ ПЕРЕГОНІВ: <cff00ff>зоряні очки</c> (<AMOUNT>)!"
"TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY","Епічна перемога (+3 очки):"
"TID_OVERWHELMING_VICTORY_GMV_0","Перемога до появи 15-го самоцвіту"
"TID_OVERWHELMING_VICTORY_GMV_5","Перемога 2:0"
"TID_OVERWHELMING_VICTORY_GMV_2","Перемога зі щонайменше 60% міцності твого сейфа"
"TID_OVERWHELMING_VICTORY_GMV_11","Перемога зі щонайменше 80% міцності твоєї бази"
"TID_OVERWHELMING_VICTORY_GMV_3","Перемога з перевагою щонайменше 10 зірок"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0","Отримуй очки залежно від місця в рейтингу під час матчу"
"TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2","30 очок за перемогу, 15 — за нічию, 5 втішних — за поразку"
"TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL","ОЧКИ"
"TID_DOUBLE_TOKEN_WEEKEND","ПОДІЯ «ПОДВІЙНИЙ ДОСВІД»"
"TID_COIN_SHOWER_EVENT","ЗЛИВА МОНЕТ"
"TID_CHROMA_CREDITS_SHOWER_EVENT","ЗЛИВА ХРОМИ"
"TID_MASTERY_POINTS_BOOST_EVENT","ШАЛЕНА МАЙСТЕРНІСТЬ"
"TID_SKINS_TITLE","СКІНИ"
"TID_SKINS_BUTTON_LABEL","СКІНИ"
"TID_SKIN_PREVIEW","ПЕРЕГЛЯД СКІНА"
"TID_DEFAULT_SKIN","СТАНДАРТНИЙ СКІН ДЛЯ ГЕРОЯ <HERO>"
"TID_HERO_LVL_UP_MATERIAL","Монети"
"TID_TOKENS","Жетони"
"TID_FIRST_WINS","Зоряні жетони"
"TID_CLUB_COINS","Клубні монети"
"TID_BUTTON_INBOX","ВХІДНІ"
"TID_INBOX_TITLE","ВХІДНІ"
"TID_INBOX_SYSTEM_SENDER","Система"
"TID_INBOX_SUPPORT_SENDER","Підтримка Brawl Stars"
"TID_INBOX_BRAWLSTARS_SENDER","Brawl Stars"
"TID_INBOX_AGE","<TIME> тому"
"TID_INBOX_CLAIM","ЗАБРАТИ"
"TID_INBOX_VIEW","ПЕРЕГЛЯНУТИ"
"TID_INBOX_TAB_0","КЛУБНА ПОШТА"
"TID_INBOX_TAB_1","ОСОБИСТІ"
"TID_INBOX_NO_ENTRIES","ПОВІДОМЛЕНЬ НЕМАЄ"
"TID_INBOX_CAPTION_101","ПОДАРУНОК: ПОКРАЩЕННЯ ДО BRAWL PASS PLUS"
"TID_INBOX_CAPTION_100","ПОДАРУНОК: BRAWL PASS PLUS"
"TID_INBOX_CAPTION_99","Ліга трофеїв завершилася"
"TID_INBOX_CAPTION_94","Подаровано скін: <NAME>"
"TID_INBOX_CAPTION_93","Подаровано бійця: <NAME>"
"TID_INBOX_CAPTION_93_WITH_LEVEL","Подаровано бійця: <NAME> (рівень сили <LEVEL>)"
"TID_INBOX_CAPTION_92","Подаровано очки сили для бійця <NAME>: <AMOUNT>"
"TID_INBOX_CAPTION_91","Подаровано квитки: <AMOUNT>"
"TID_INBOX_CAPTION_90","Подаровано для бійця <NAME>: <AMOUNT>"
"TID_INBOX_CAPTION_89","Подаровано самоцвіти: <AMOUNT>"
"TID_INBOX_CAPTION_88","Подаровано подвоювачі досвіду: <AMOUNT>"
"TID_INBOX_CAPTION_85","Повернуто самоцвіти: <AMOUNT>"
"TID_INBOX_CAPTION_84_4","Подаровано зоряну силу <ABI> для бійця <NAME>"
"TID_INBOX_CAPTION_84_5","Подаровано гаджет <ABI> для бійця <NAME>"
"TID_INBOX_CAPTION_84_6","Подаровано гіперзаряд <ABI> для бійця <NAME>"
"TID_INBOX_CAPTION_78","Ранги бійців 21–30 уже тут!"
"TID_INBOX_CAPTION_76","Онлайн-відбір ВІДКРИТО!"
"TID_INBOX_CAPTION_75","Нагорода за перемогу у випробуванні «<CHALLENGE>»:\nбоєць <NAME>"
"TID_INBOX_CAPTION_74","Компенсація за квитки"
"TID_INBOX_CAPTION_73","ПОДАРОВАНО: BRAWL PASS"
"TID_INBOX_CAPTION_72_52","ПОДАРОВАНО: ЗНАЧОК"
