"Name","Disabled","TID","GameModeVariations","LocationThemes","MapTemplates"
"string","boolean","string","string","string","string"
"MineEnvironment",,"TID_ENVIRONMENT_MINE","GemGrab","Mine","Template_Gemgrab"
"DefaultEnvironment",,"TID_ENVIRONMENT_DEFAULT","Showdown","DefaultShowdown","Template_Survival"
"WarehouseEnvironment","TRUE","TID_ENVIRONMENT_WAREHOUSE","Siege","Warehouse","Template_Siege"
"OasisEnvironment","TRUE","TID_ENVIRONMENT_OASIS","Bounty","Oasis","Template_Gemgrab"
"MortuaryEnvironment",,"TID_ENVIRONMENT_MORTUARY","GemGrab","Mortuary","Template_Gemgrab"
,,,"Showdown","MortuaryShowdown","Template_Survival"
"GrassfieldEnvironment",,"TID_ENVIRONMENT_GRASSFIELD","BrawlBall","Grassfield","Template_Laserball"
"BeachBallEnvironment",,"TID_ENVIRONMENT_BEACHBALL","BrawlBall","GrassfieldBeachBall","Template_Laserball"
"ArcadeEnvironment","TRUE","TID_ENVIRONMENT_ARCADE","GemGrab","Arcade","Template_Gemgrab"
"BazaarEnvironment","TRUE","TID_ENVIRONMENT_BAZAAR","GemGrab","Bazaar","Template_Gemgrab"
"MinicityEnvironment","TRUE","TID_ENVIRONMENT_MINICITY","GemGrab","Minicity","Template_Gemgrab"
"GiftShopEnvironment","TRUE","TID_ENVIRONMENT_GIFTSHOP","GemGrab","GiftShop","Template_Gemgrab"
