"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_MSG_RANKED_ABANDON_MATCH_BANNED","You have been temporarily suspended from playing POWER LEAGUE due to leaving too many matches. Repeated offenses will incur longer suspensions and DECREASED rank score.",,,,,,,,,,,,,,,,,,,,
"TID_INVALID_PLAY_INSTALL","Brawl Stars is not installed correctly. Please reinstall from the Google Play Store to fix this issue.","Brawl Stars غير مثبتة بالشكل الصحيح. يرجى إعادة تثبيتها من متجر Google Play لإصلاح هذه المشكلة.","未正确安装《部落冲突》，请前往Google Play Store重新下载安装以修复该问题。","未正確安裝《部落衝突》，請前往Google Play Store重新下載並安裝，以修復該問題。","Brawl Stars wurde nicht korrekt installiert. Um dies zu beheben, installiere es bitte vom Google Play Store aus erneut.","Clash of Clans no se ha instalado correctamente. Vuelve a instalarlo desde Google Play para solucionar este problema.","Brawl Starsia ei ole asennettu oikein. Korjaa ongelma asentamalla peli uudelleen Google Play Kaupasta.","Brawl Stars n'a pas été installé correctement. Veuillez réinstaller l'application depuis le Google Play Store pour corriger ce problème.","Brawl Stars is not installed correctly. Please reinstall from the Google Play Store to fix this issue.","Terjadi kesalahan saat menginstal Brawl Stars. Silakan instal ulang melalui Google Play Store untuk menyelesaikan masalah ini.","Brawl Stars non è stato installato correttamente. Installalo nuovamente da Google Play Store per risolvere il problema.","クラッシュ・オブ・クランが正しくインストールされていません。問題を解決するには、Google Play ストアから再インストールしてください。","클래시 오브 클랜이 올바르게 설치되지 않았습니다. Google Play 스토어를 통해 재설치해 문제를 해결하세요.","Brawl Stars tidak dipasang dengan betul. Sila pasang semula dari Google Play Store untuk menyelesaikan masalah ini.","Brawl Stars is niet correct geïnstalleerd. Installeer het spel opnieuw via de Google Play Store om het probleem op te lossen.","Brawl Stars nie zostało zainstalowane poprawnie. Proszę zainstaluj gre ponownie ze sklepu Google Play aby naprawić ten błąd.","Brawl Stars não foi instalado corretamente. Para corrigir o erro, reinstale o jogo a partir do Google Play.","Игра Brawl Stars установлена некорректно. Для устранения проблемы установите игру из Google Play Маркет.","ติดตั้ง Brawl Stars ไม่ถูกต้อง โปรดติดตั้งใหม่อีกครั้งจากร้านค้า Google Play เพื่อแก้ปัญหานี้","Brawl Stars doğru yüklenmemiş. Sorunu çözmek için Google Play´e gidip oyunu yeniden yükle.","Bạn đã không cài đặt Brawl Stars đúng cách. Vui lòng cài đặt lại trò chơi từ Google Play Store để khắc phục lỗi này."
"TID_TEAM_ERROR_62","Cannot suggest event. Event is not available to all Team members","تعذر اقتراح الحدث. الحدث غير متاح لكل أعضاء الفريق.","无法推荐活动，有小队成员尚未解锁该活动。","無法推薦活動，有小隊成員尚未解鎖該活動。","Ereignis kann nicht vorgeschlagen werden. Das Ereignis ist nicht für alle Teammitglieder verfügbar.","No es posible sugerir el evento. El evento no está disponible para todos los miembros del equipo.","Tapahtumaa ei voi ehdottaa. Tapahtuma ei ole saatavilla kaikille joukkueen jäsenille.","Impossible de suggérer cet événement. Certains coéquipiers n'y ont pas accès.","לא ניתן להציע את האירוע. האירוע לא זמין לכל חברי הקבוצה.","Gagal menyarankan acara. Acara tidak tersedia untuk semua anggota Tim.","Impossibile consigliare l'evento, poiché non è disponibile per tutti i membri della squadra.","チーム内にこのイベントをアンロックしていないメンバーがいるため、提案できません","이벤트 제안 실패: 모든 팀 멤버가 이용할 수 없는 이벤트입니다.","Tidak boleh menyarankan acara. Acara tidak tersedia untuk semua ahli pasukan.","Je kunt dit evenement niet voorstellen. Het evenement is niet beschikbaar voor alle teamleden.","Nie można zasugerować wydarzenia. Wydarzenie nie jest dostępne dla wszystkich członków drużyny.","Sugestão indisponível. Evento não liberado para todos os integrantes da equipe.","Нельзя предложить событие. Событие доступно не всем участникам команды.","ไม่สามารถแนะนำอีเวนท์ได้ สมาชิกทุกคนไม่สามารถเข้าร่วมอีเวนท์","Etkinlik önerilemiyor. Bu etkinlik bazı takım üyelerinde yok.","Không thể đề xuất sự kiện. Một số thành viên trong đội không thể truy cập vào sự kiện này."
"TID_TEAM_ERROR_126","Cannot select event. Event is not available to all Team members.","تعذر تحديد الحدث. الحدث غير متاح لكل أعضاء الفريق.","无法选择活动，有小队成员尚未解锁该活动。","無法選擇活動，有小隊成員尚未解鎖該活動。","Ereignis kann nicht ausgewählt werden. Das Ereignis ist nicht für alle Teammitglieder verfügbar.","No es posible elegir el evento. El evento no está disponible para todos los miembros del equipo.","Tapahtumaa ei voi valita. Tapahtuma ei ole saatavilla kaikille joukkueen jäsenille.","Impossible de sélectionner cet événement. Certains coéquipiers n'y ont pas accès.","לא ניתן לבחור את האירוע. האירוע לא זמין לכל חברי הקבוצה.","Gagal memilih acara. Acara tidak tersedia untuk semua anggota Tim.","Impossibile selezionare l'evento, poiché non è disponibile per tutti i membri della squadra.","チーム内にこのイベントをアンロックしていないメンバーがいるため、選択できません","이벤트 선택 실패: 모든 팀 멤버가 이용할 수 없는 이벤트입니다.","Tidak boleh memilih acara. Acara tidak tersedia untuk semua ahli pasukan.","Je kunt dit evenement niet selecteren. Het evenement is niet beschikbaar voor alle teamleden.","Nie można wybrać wydarzenia. Wydarzenie nie jest dostępne dla wszystkich członków drużyny.","Seleção indisponível. Evento não liberado para todos os integrantes da equipe.","Нельзя выбрать событие. Событие доступно не всем участникам команды.","ไม่สามารถเลือกอีเวนท์ได้ สมาชิกทุกคนไม่สามารถเข้าร่วมอีเวนท์","Etkinlik seçilemiyor. Bu etkinlik bazı takım üyelerinde yok.","Không thể chọn sự kiện. Một số thành viên trong đội không thể truy cập vào sự kiện này."
"TID_ANTIADDICTION_NO_REAL_NAME_VERIFIED_1","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏"
"TID_ANTIADDICTION_NO_REAL_NAME_VERIFIED_2","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏"
"TID_ANTIADDICTION_NO_REAL_NAME_VERIFIED_3","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏"
"TID_ANTIADDICTION_ADULTHOOD_NOT_FULFILLED_1","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏"
"TID_ANTIADDICTION_ADULTHOOD_NOT_FULFILLED_2","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏","由于您是未成年人，根据国家防沉迷系统的要求，您在此时段无法进行游戏"
