"Name","Mode","LocationTheme","MeshNames","Character","FrameDelay"
"string","string","string","string","string","int"
"RoboCheer1","AnimateSwitchBetween","FightingGame","bot1_frame_1;bot1_frame_2",,180
"RoboCheer2","AnimateSwitchBetween","FightingGame","melee_bot_frame_1;melee_bot_frame_2",,200
"RoboCheer3","AnimateSwitchBetween","FightingGame","fast_bot_frame_1;fast_bot_frame_2",,230
"RoboCheer4","AnimateSwitchBetween","FightingGame","bot2_frame_1;bot2_frame_2",,220
"RoboCheer5","AnimateSwitchBetween","FightingGame","fast_bot2_frame_2;fast_bot2_frame_1",,245
"BlueFlag1","AnimateSwitchBetween","FightingGame","flag_blue_1_frame_1;flag_blue_1_frame_2;flag_blue_1_frame_3",,350
"BlueFlag2","AnimateSwitchBetween","FightingGame","flag_blue_2_frame_1;flag_blue_2_frame_2;flag_blue_2_frame_3",,340
"RedFlag1","AnimateSwitchBetween","FightingGame","flag_red_1_frame_1;flag_red_1_frame_2;flag_red_1_frame_3",,340
"RedFlag2","AnimateSwitchBetween","FightingGame","flag_red_2_frame_1;flag_red_2_frame_2;flag_red_2_frame_3",,350
"Torch1","AnimateSwitchBetween","FightingGame","torch1_frame_1;torch1_frame_2",,300
"Torch2","AnimateSwitchBetween","FightingGame","torch2_frame_2;torch2_frame_1",,300
"Torch3","AnimateSwitchBetween","FightingGame","torch3_frame_2;torch3_frame_1",,300
"Torch4","AnimateSwitchBetween","FightingGame","torch4_frame_1;torch4_frame_2",,300
"Torch5","AnimateSwitchBetween","FightingGame","torch5_frame_1;torch5_frame_2",,300
"Torch6","AnimateSwitchBetween","FightingGame","torch6_frame_2;torch6_frame_1",,300
"TorchTop1","AnimateSwitchBetween","FightingGame","torch_top_left_frame_1;torch_top_left_frame_2",,300
"TorchTop2","AnimateSwitchBetween","FightingGame","torch_top_right_frame_2;torch_top_right_frame_1",,290
"BlueBanner1","AnimateSwitchBetween","FightingGame","banner_blue_1_frame_1;banner_blue_1_frame_2;banner_blue_1_frame_3",,500
"BlueBanner2","AnimateSwitchBetween","FightingGame","banner_blue_2_frame_1;banner_blue_2_frame_2;banner_blue_2_frame_3",,450
"BlueBanner3","AnimateSwitchBetween","FightingGame","banner_blue_3_frame_1;banner_blue_3_frame_2;banner_blue_3_frame_3",,500
"RedBanner1","AnimateSwitchBetween","FightingGame","banner_red_1_frame_1;banner_red_1_frame_2;banner_red_1_frame_3",,450
"RedBanner2","AnimateSwitchBetween","FightingGame","banner_red_2_frame_1;banner_red_2_frame_2;banner_red_2_frame_3",,500
"RedBanner3","AnimateSwitchBetween","FightingGame","banner_red_3_frame_1;banner_red_3_frame_2;banner_red_3_frame_3",,450
