"rmsep","Loop","FollowParent","FollowParentAngle","FollowBone","OwnScreenShake","OthersScreenShake","OwnHapticLevel","OthersHapticLevel","Time","Sound","Type","FileName","ExportName","ParticleEmitterName","Effect","Layer","GroundBasis","FlashColor","Scale","FlashDuration","TextInstanceName","TextParentInstanceName","EnemyVersion","ChinaReplacement","FlashWidth","EffectZ"
"string","boolean","boolean","boolean","string","int","int","int","int","int","string","string","string","string","string","string","string","boolean","int","int","int","string","string","string","string","int","int"
"mode_gift_aura",,,,,,,,,,,"ParticleEmitter",,,"area_particle_glowCircle_1",,"GroundHigh","true",,100,,,,"mode_gift_aura_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"area_particle_glowCircle_2",,"GroundHigh","true",,100,,,,,,,
"mode_gift_aura_red",,,,,,,,,,,"ParticleEmitter",,,"area_particle_glowCircle_1_red",,"GroundHigh","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"area_particle_glowCircle_2_red",,"GroundHigh","true",,100,,,,,,,
"mode_gift_destoryed",,,,,450,150,3,3,,"Sound_Gen_small_explosion","ParticleEmitter",,,"gen_death_smoke",,"GroundHigh",,,120,,,,"mode_gift_destoryed_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_gift_explosion",,"Above","false",,160,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_gift_box_cloud",,"GroundHigh",,,120,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_gift_box_frags",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_gift_box_stars",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_death_explode",,"Above",,,120,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","area_mode_gift_soot",,,"GroundLow","true",,120,,,,,,,
"mode_gift_destoryed_red",,,,,450,150,3,3,,"Sound_Gen_small_explosion","ParticleEmitter",,,"gen_death_smoke_red",,"GroundHigh",,,120,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_gift_explosion",,"Above","false",,160,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_gift_box_cloud",,"GroundHigh",,,120,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_gift_box_frags_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_gift_box_stars_red",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"gen_death_explode_red",,"Above",,,120,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","area_mode_gift_soot",,,"GroundLow","true",,120,,,,,,,
"mode_gift_goal","true","true",,,450,450,3,3,,,"ParticleEmitter",,,"confetti_flying",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"confetti_explosion",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"Gen_Big_Debris_emitter",,"Above",,,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"huge_explosion_streaks_emitter",,"Above",,,100,,,,,,,
,,,,,,,,,,,"Effect",,,,"Gen_Explosion","Above",,,100,,,,,,,
"mode_koh_competing",,,,,,,,,,,"ParticleEmitter",,,"mode_koh_competing_base",,"GroundHigh","true",,80,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_koh_competing_sparks",,"GroundHigh","true",,105,,,,,,,
"mode_koh_competed",,,,,,,,,,,"ParticleEmitter",,,"mode_koh_competing_flash",,"GroundHigh","true",,80,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","area_mode_koh_competed_centre",,,"Above","true",,138,,,,,,,
"mode_koh_capturing","true",,,,,,,,,,"ParticleEmitter",,,"mode_koh_capturing_base",,"GroundHigh","true",,80,,,,"mode_koh_capturing_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_koh_capturing_flow",,"GroundHigh","true",,105,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_koh_capturing_progress",,"Above","true",,105,,,,,,,
,,,,,,,,,,,,,,"mode_koh_capturing_flagGlow",,"Above",,,100,,,,,,,
"mode_koh_capturing_red","true",,,,,,,,,,"ParticleEmitter",,,"mode_koh_capturing_base_red",,"GroundHigh","true",,80,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_koh_capturing_flow_red",,"GroundHigh","true",,105,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_koh_capturing_progress_red",,"Above","true",,105,,,,,,,
,,,,,,,,,,,,,,"mode_koh_capturing_flagGlow_red",,"Above",,,100,,,,,,,
"mode_koh_capturing_faster",,,,,,,,,,,"ParticleEmitter",,,"mode_koh_capturing_base_faster",,"GroundHigh","true",,105,,,,"mode_koh_capturing_faster_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_koh_capturing_flow_faster",,"GroundHigh","true",,105,,,,,,,
"mode_koh_capturing_faster_red",,,,,,,,,,,"ParticleEmitter",,,"mode_koh_capturing_base_faster_red",,"GroundHigh","true",,105,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_koh_capturing_flow_faster_red",,"GroundHigh","true",,105,,,,,,,
"mode_koh_captured",,,,,,,,,,,"ParticleEmitter",,,"mode_koh_captured_flash",,"GroundHigh","true",,80,,,,"mode_koh_captured_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_koh_captured_twinkles",,"Above",,,105,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_koh_captured_center",,"Above",,,105,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","area_mode_koh_captured_icon",,,"Above",,,185,,,,,,,
"mode_koh_captured_red",,,,,,,,,,,"ParticleEmitter",,,"mode_koh_captured_flash_red",,"GroundHigh","true",,80,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_koh_captured_twinkles_red",,"Above",,,105,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_koh_captured_center_red",,"Above",,,105,,,,,,,
,,,,,,,,,,,"SWF","sc/effects_brawler.sc","area_mode_koh_captured_icon_red",,,"Above",,,185,,,,,,,
"mode_koh_complete",,,,,,,,,,,"ParticleEmitter",,,"mode_koh_complete_base",,"GroundHigh","true",,75,,,,"mode_koh_complete_red",,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_koh_complete_twinkle",,"GroundHigh",,,100,,,,,,,
"mode_koh_complete_red",,,,,,,,,,,"ParticleEmitter",,,"mode_koh_complete_base_red",,"GroundHigh","true",,75,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"mode_koh_complete_twinkle_red",,"GroundHigh",,,100,,,,,,,
"mode_tc_boss_atk_melee",,,,,,,,,,"Barnzilla_Bite","ParticleEmitter",,,"boss_pve_melee_atk_bite",,"Above","true",,100,,,,,,,
,,,,,,,,,,,"ParticleEmitter",,,"boss_pve_melee_atk_frags",,"Above",,,100,,,,,,,
