TID,EN,AR,CN,CNT,DE,ES,FI,FR,HE,ID,IT,JP,KR,MS,NL,PL,PT,RU,TH,TR,VI
string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
TID_BRAWL_PASS_INFO_TEXT_GENERIC,"Earn tons of extra rewards, including:\n\n<BRAWLER>- the new Chromatic Brawler!\n\nTIMED EXCLUSIVE SKIN: <SKIN_1>!\n\nTIMED EXCLUSIVE SKIN: <SKIN_2>!\n\nTIMED EXCLUSIVE and COOL PINS for <BRAWLER>\n\nTIMED EXCLUSIVE SPRAYS\n\n<NUM> MEGA BOXES!\n\nEXTRA COINS and POWER POINTS!\n\nEXTRA QUESTS to complete your Brawl Pass faster!\n\n<NUM> EXTRA QUEST REROLLS PER WEEK\n\nEXCLUSIVE CHROMATIC NAME for the duration of the season!",أطنان من المكافآت الإضافية، بما فيها:\n\n<BRAWLER>- البطل المتلوّن الجديد.\n\nمظهر حصري مؤقت: <SKIN_1>!\n\nمظهر حصري مؤقت: <SKIN_2>!\n\nتعبيرات مؤقتة حصرية ورائعة لـ <BRAWLER>\n\nبخاخات حصرية مؤقتة\n\n<NUM> صناديق عملاقة.\n\nنقود ونقاط قوة إضافية.\n\nمهام إضافية لإتمام Brawl Pass بسرعة أكبر\n\n<NUM> تبديلات مهام إضافية جديدة كل أسبوع\n\nاسم متلوّن حصري طوال مدة الموسم.,丰厚的额外奖励：\n\n全新流彩英雄<BRAWLER>！\n\n限时专属皮肤：<SKIN_1>！\n\n限时专属皮肤：<SKIN_2>！\n\n<BRAWLER>的多款超赞限时专属表情\n\n限时专属喷漆\n\n<NUM>个超级宝箱！\n\n额外金币和战力能量！\n\n额外任务，助您更快解锁全部乱斗金券奖励！\n\n每周<NUM>次额外的任务刷新机会\n\n持续整个主题季的专属玩家名称流彩特效！,豐厚的額外獎勵：\n\n全新星虹英雄<BRAWLER>！\n\n限時專屬造型：<SKIN_1>！\n\n限時專屬造型：<SKIN_2>！\n\n多款<BRAWLER>的超酷及限時專屬表情\n\n限時專屬噴漆\n\n<NUM>個超級寶箱！\n\n額外金幣和能量點數！\n\n額外任務，幫助你更快解鎖亂鬥主題季獎勵！\n\n每週<NUM>次額外的刷新任務機會\n\n專屬星虹名稱，持續整個主題季！,"Verdiene tonnenweise Extrabelohnungen; unter anderem:\n\n<BRAWLER>, den neuen chromatischen Brawler!\n\nZEITL. BEGR. EXKLUSIVER SKIN: <SKIN_1>!\n\nZEITL. BEGR. EXKLUSIVER SKIN: <SKIN_2>!\n\nZEITL. BEGR. EXKLUSIVE und COOLE PINS für <BRAWLER>\n\nZEITL. BEGR. EXKLUSIVE SPRAY\n\n<NUM>MEGABOXEN!\n\nEXTRAMÜNZEN und POWERPUNKTE!\n\nEXTRAQUESTS zur schnelleren Komplettierung deines Brawlpasses!\n\n<NUM> ZUSÄTZLICHE QUEST-NEUWÜRFLUNGEN PRO WOCHE\n\nEXKLUSIVER CHROMATISCHER NAME für die Dauer der Saison!","¡Gana todas estas recompensas extras!\n\n<BRAWLER>, el nuevo brawler de calidad cromática.\n\nAspecto exclusivo por tiempo limitado: <SKIN_1>.\n\nAspecto exclusivo por tiempo limitado: <SKIN_2>.\n\nReacciones exclusivas y geniales por tiempo limitado de <BRAWLER>.\n\nSprays exclusivos por tiempo limitado.\n\n¡<NUM> megacajas!\n\nPuntos de fuerza y monedas extras.\n\n¡Misiones extras para completar el Brawl Pass más rápido!\n\n<NUM> cambios de misiones extras por semana.\n\n¡Nombre cromático exclusivo durante toda la temporada!","Ansaitse kasapäin ylimääräisiä palkintoja, mukaan lukien seuraavat:\n\n<BRAWLER> - uusi kromaattinen rämäpää!\n\nAikarajattu erikoisasu: <SKIN_1>!\n\nAikarajattu erikoisasu: <SKIN_2>!\n\nAikarajattuja erikoismerkkejä rämäpäälle <BRAWLER>!\n\nAikarajattuja spraymaaleja\n\n<NUM> megalipasta!\n\nYlimääräisiä kolikoita ja tehopisteitä!\n\nYlimääräisiä tehtäviä Brawl Passin nopeampaan suorittamiseen!\n\n<NUM> ylimääräistä tehtävän vaihtoa viikossa\n\nVain passin haltijoiden kromaattinen nimi kauden ajaksi!","Gagnez des tonnes de récompenses, dont :\n\n- <BRAWLER>, le nouveau brawler chromatique ;\n\n- le skin exclusif à durée limitée, <SKIN_1> ;\n\n- un autre skin exclusif à durée limitée, <SKIN_2> ;\n\n- les émoticônes exclusives à durée limitée pour <BRAWLER> ;\n\n- les tags exclusifs à durée limitée ;\n\n- <NUM> mégaboîtes ;\n\n- des pièces et des points de pouvoir ;\n\n- des quêtes supplémentaires pour finir le Pass Brawl plus vite ;\n\n- <NUM> relances supplémentaires par semaine ;\n\n- un nom chromatique exclusif qui durera toute la saison !","אפשר לקבל המון פרסים נוספים, כולל:\n\n<BRAWLER> - בראולר כרומטי חדש!\n\nסקין בלעדי: <SKIN_1>!\n\nסקין בלעדי: <SKIN_2>!\n\nסיכות מדליקות ובלעדיות בשביל <BRAWLER>\n\nמכלי ספריי ייחודיים לזמן מוגבל\n\n<NUM> מגה תיבות!\n\nמטבעות נוספים ונקודות כוח!\n\nקווסטים נוספים כדי להשלים מהר יותר את ה-Brawl Pass!\n\n<NUM>הפעלה מחדש של קווסט נוסף לכל שבוע\n\nשם כרומטי בלעדי למשך כל העונה!",Raih banyak hadiah ekstra seperti:\n\n<BRAWLER> - Jagoan Kromatik baru!\n\nKOSTUM EKSKLUSIF BERBATAS WAKTU: <SKIN_1>!\n\nKOSTUM EKSKLUSIF BERBATAS WAKTU: <SKIN_2>!\n\nPIN EKSKLUSIF KEREN BERBATAS WAKTU untuk <BRAWLER>\n\nCAT EKSKLUSIF BERBATAS WAKTU\n\n<NUM> KOTAK MEGA!\n\nKOIN dan POIN KEKUATAN EKSTRA!\n\nTUGAS EKSTRA untuk membantumu menyelesaikan Brawl Pass lebih cepat!\n\n<NUM> ACAK TUGAS EKSTRA PER MINGGU\n\nNAMA KROMATIK EKSKLUSIF sepanjang musim!,"Vinci un sacco di premi extra, tra cui:\n\n<BRAWLER>, la nuova brawler cromatica\n\nLA SKIN ESCLUSIVA A TEMPO LIMITATO \q<SKIN_1>\q\n\nLA SKIN ESCLUSIVA A TEMPO LIMITATO \q<SKIN_2>\q\n\nREAZIONI ESCLUSIVE A TEMPO LIMITATO per <BRAWLER>\n\nGRAFFITI ESCLUSIVI A TEMPO LIMITATO\n\n<NUM> MEGACASSE\n\nMONETE e PUNTI ENERGIA AGGIUNTIVI\n\nMISSIONI EXTRA per accelerare i progressi del Brawl Pass\n\n<NUM> MISSIONI MODIFICABILI IN PIÙ A SETTIMANA\n\nEFFETTO CROMATICO ESCLUSIVO PER IL NOME per tutta la stagione",追加報酬を獲得しましょう！\n報酬の中にはこんなものがあります！\n\n新クロマティックキャラクター：<BRAWLER>\n\n期間限定スキン：<SKIN_1>\n\n期間限定スキン：<SKIN_2>\n\n<BRAWLER>のクールな期間限定ピンズ\n\n期間限定スプレー\n\nメガボックス<NUM>個\n\n更なるコインとパワーポイント\n\nブロスタパスを速く進める追加クエスト\n\n1週間にクエストを追加で<NUM>回入れ替え可能\n\nシーズン期間中、名前の色を光沢のあるクロマティックカラーに変更できる限定特典,엄청난 추가 보상!\n\n<BRAWLER>- 신규 크로마틱 브롤러!\n\n기간 한정판 스킨: <SKIN_1>!\n\n기간 한정판 스킨: <SKIN_2>!\n\n기간 한정판 <BRAWLER> 핀\n\n기간 한정판 스프레이\n\n<NUM> 메가 상자!\n\n추가 코인 및 PP!\n\n추가 퀘스트로 브롤 패스를 더 빠르게 완료!\n\n<NUM> 매주 추가 퀘스트 리롤\n\n시즌 내내 전용 크로마틱 이름 이용 가능!,Dapatkan banyak ganjaran tambahan termasuk:\n\n<BRAWLER>- Brawler Kromatik baharu!\n\nKULIT EKSKLUSIF MASA TERHAD: <SKIN_1>!\n\nKULIT EKSKLUSIF MASA TERHAD: <SKIN_2>!\n\nPIN COMEL dan EKSKLUSIF MASA TERHAD untuk <BRAWLER>\n\nSEMBURAN EKSKLUSIF MASA TERHAD\n\n<NUM> KOTAK MEGA!\n\nSYILING dan MATA KUASA TAMBAHAN!\n\nMISI TAMBAHAN untuk menyelesaikan Brawl Pass lebih cepat!\n\n<NUM> RAWAK SEMULA MISI TAMBAHAN SETIAP MINGGU\n\nNAMA KROMATIK EKSKLUSIF sepanjang musim!,"Verdien tal van extra beloningen, waaronder:\n\n<BRAWLER>, de nieuwe chromatische knokker!\n\nTIJDELIJKE EXCLUSIEVE SKIN: <SKIN_1>!\n\nTIJDELIJKE EXCLUSIEVE SKIN: <SKIN_2>!\n\nTIJDELIJKE EXCLUSIEVE en COOLE REACTIES voor <BRAWLER>!\n\nTIJDELIJKE EXCLUSIEVE SPRAYS!\n\n<NUM>MEGADOZEN!\n\nEXTRA MUNTEN en KRACHTPUNTEN!\n\nEXTRA OPDRACHTEN om je Brawl Pass sneller te voltooien!\n\n<NUM>EXTRA OPDRACHTWISSELS PER WEEK!\n\nEXCLUSIEVE CHROMATISCHE NAAM tijdens het hele seizoen!","Zdobądź mnóstwo dodatkowych nagród takich jak:\n\n<BRAWLER>- Nowy Zadymiarz chromatyczny!\n\nOGRANICZONE CZASOWO WYJĄTKOWE PRZEBRANIE: <SKIN_1>!\n\nOGRANICZONE CZASOWO WYJĄTKOWE PRZEBRANIE: <SKIN_2>!\n\nOGRANICZONE CZASOWO WYJĄTKOWE i CZADOWE ODZNAKI <BRAWLER>\n\nOGRANICZONE CZASOWO WYJĄTKOWE SPREJE\n\n<NUM> MEGASKRZYNKI!\n\nDODATKOWE MONETY i PUNKTY MOCY!\n\nDODATKOWE MISJE, które pomogą szybciej wypełnić Karnet Zadymiarski!\n\n<NUM> DODATKOWE ODŚWIEŻENIA MISJI NA TYDZIEŃ\n\nWYJĄTKOWY CHROMATYCZNY KOLOR IMIENIA na czas trwania sezonu!","Ganhe prêmios de montão:\n\n<BRAWLER>, Brawler de raridade cromática!\n\nVisual exclusivo por tempo limitado: <SKIN_1>!\n\nVisual exclusivo por tempo limitado: <SKIN_2>!\n\nReações exclusivas e incríveis por tempo limitado para <BRAWLER>!\n\nSprays exclusivos por tempo limitado!\n\n<NUM> Megacaixas!\n\nPontos de poder e moedas extras!\n\nMissões extras para completar o Brawl Pass mais rápido!\n\n<NUM> trocas de missões extras por semana!\n\nNome cromático exclusivo durante toda a temporada!","Заработай тонны дополнительных наград! Среди них:\n\n<BRAWLER> — новый хроматический боец!\n\nУНИКАЛЬНЫЙ ВРЕМЕННЫЙ СКИН «<SKIN_1>»!\n\nУНИКАЛЬНЫЙ ВРЕМЕННЫЙ СКИН «<SKIN_2>»!\n\nУНИКАЛЬНЫЕ ВРЕМЕННЫЕ ЗНАЧКИ для бойца <BRAWLER>.\n\nУНИКАЛЬНЫЕ ВРЕМЕННЫЕ СПРЕИ!\n\nМЕГАЯЩИКИ (<NUM> шт.)!\n\nДОПОЛНИТЕЛЬНЫЕ МОНЕТЫ И ОЧКИ СИЛЫ!\n\nДОПОЛНИТЕЛЬНЫЕ КВЕСТЫ, чтобы быстрее пройти Brawl Pass!\n\nДОПОЛНИТЕЛЬНЫЕ ОБНОВЛЕНИЯ КВЕСТОВ (<NUM> В НЕДЕЛЮ)!\n\nУНИКАЛЬНОЕ ЦВЕТНОЕ ИМЯ на весь сезон!",รางวัลพิเศษอีกจำนวนมาก ซึ่งรวมถึง:\n\n<BRAWLER>- บรอว์เลอร์ระดับโครมาติกตัวใหม่!\n\nสกินพิเศษแบบจำกัดเวลา: <SKIN_1>!\n\nสกินพิเศษแบบจำกัดเวลา: <SKIN_2>!\n\nอีโมจิสุดเท่แบบจำกัดเวลาสำหรับ <BRAWLER>\n\nสเปรย์แบบจำกัดเวลา\n\nกล่องยักษ์ <NUM> กล่อง!\n\nเหรียญและค่าพลังเพิ่มเติม!\n\nเควสต์เพิ่มเติมที่จะช่วยให้คุณเล่น Brawl Pass เสร็จได้เร็วยิ่งขึ้น!\n\nสุ่มเควสต์เพิ่มได้อีก <NUM> ครั้งต่อสัปดาห์\n\nชื่อโครมาติกสุดพิเศษตลอดระยะเวลาของฤดูกาลนี้!,Pek çok ek ödül seni bekliyor!\n\n<BRAWLER>- Yeni Kromatik savaşçı!\n\nSINIRLI SÜRELİ ÖZEL KOSTÜM: <SKIN_1>!\n\nSINIRLI SÜRELİ ÖZEL KOSTÜM: <SKIN_2>!\n\n<BRAWLER> İÇİN SINIRLI SÜRELİ ÖZEL ROZETLER\n\nSINIRLI SÜRELİ ÖZEL SPREYLER\n\n<NUM> MEGA KUTU!\n\nEKSTRA ALTIN ve GÜÇ PUANI!\n\nBrawl Pass'i daha hızlı tamamlamanı sağlayacak EKSTRA GÖREVLER!\n\nHAFTADA EKSTRA <NUM> GÖREV YENİLEME HAKKI\n\nSezon boyunca ÖZEL KROMATİK AD!,Kiếm thêm rất nhiều phần thưởng gồm có:\n\n<BRAWLER> - Chiến binh Brawl Sắc màu mới!\n\nTRANG PHỤC ĐỘC QUYỀN CÓ THỜI HẠN: <SKIN_1>!\n\nTRANG PHỤC ĐỘC QUYỀN CÓ THỜI HẠN: <SKIN_2>!\n\nHUY HIỆU ĐỘC QUYỀN và CỰC NGẦU CÓ THỜI HẠN cho <BRAWLER>\n\nSƠN XỊT ĐỘC QUYỀN CÓ THỜI HẠN\n\n<NUM> HỘP SIÊU CẤP!\n\nTHÊM XU và ĐIỂM SỨC MẠNH!\n\nCÓ THÊM NHIỆM VỤ để hoàn thành Vé Brawl Pass nhanh hơn!\n\nTHÊM <NUM> LƯỢT THAY ĐỔI NHIỆM VỤ MỖI TUẦN\n\nBẢNG TÊN SẮC MÀU ĐỘC QUYỀN trong suốt mùa giải!
TID_TENCENT_LOGIN_BS_PP,荒野乱斗隐私保护指引,,荒野乱斗隐私保护指引,,,,,,,,,,,,,,,,,,
TID_TENCENT_LOGIN_SPECIAL_TOS,《腾讯游戏许可及服务协议》,,《腾讯游戏许可及服务协议》,,,,,,,,,,,,,,,,,,
TID_TENCENT_LOGIN_SPECIAL_OLD_PP,《腾讯游戏隐私保护指引》,,《腾讯游戏隐私保护指引》,,,,,,,,,,,,,,,,,,
TID_TENCENT_LOGIN_SPECIAL_BS_PP,《荒野乱斗隐私保护指引》,,《荒野乱斗隐私保护指引》,,,,,,,,,,,,,,,,,,
TID_TENCENT_LOGIN_AGREEMENT_POPUP_OLD_ACCT_1_TITLE,更新提示,,更新提示,,,,,,,,,,,,,,,,,,
TID_TENCENT_LOGIN_AGREEMENT_POPUP_OLD_ACCT_1,尊敬的腾讯游戏用户：\n为充分保障您的权利及个人信息安全，我们根据法律法规要求，\n对<OLDPP>进行了更新。我们结合本产品和业务实际，更详细、具体地向您说明我们收集和使用您个人信息的业务场景及目的，具体可参见<PP>内更新提示。\n您也可以阅读完整版\n<PP>和<TOS>\n了解详尽的个人信息处理规则和用户权利义务。如您已详细阅读并同意\n<TOS>和<PP>，\n请点击“同意”继续使用我们的服务。,,尊敬的腾讯游戏用户：\n为充分保障您的权利及个人信息安全，我们根据法律法规要求，\n对<OLDPP>进行了更新。我们结合本产品和业务实际，更详细、具体地向您说明我们收集和使用您个人信息的业务场景及目的，具体可参见<PP>内更新提示。\n您也可以阅读完整版\n<PP>和<TOS>\n了解详尽的个人信息处理规则和用户权利义务。如您已详细阅读并同意\n<TOS>和<PP>，\n请点击“同意”继续使用我们的服务。,,,,,,,,,,,,,,,,,,
TID_TENCENT_LOGIN_AGREEMENT_POPUP_OLD_ACCT_2,尊敬的用户，您需要详细阅读并同意\n<TOS>、<PP>、\n<CHILDREN>和<THIRDPARTY>，\n才可进入游戏哦。,,尊敬的用户，您需要详细阅读并同意\n<TOS>、<PP>、\n<CHILDREN>和<THIRDPARTY>，\n才可进入游戏哦。,,,,,,,,,,,,,,,,,,
TID_PRIVACY_POLICY_BUTTON_TENCENT,荒野乱斗隐私保护指引,,荒野乱斗隐私保护指引,,,,,,,,,,,,,,,,,,
