"Name","NumberValue","BooleanValue","TextValue","NumberArray","StringArray","AltStringArray"
"String","int","boolean","string","int","String","String"
"HELP_CENTER_LANGUAGES",,,,,"EN",
,,,,,"DE",
,,,,,"IT",
,,,,,"FR",
,,,,,"ES",
,,,,,"PT",
,,,,,"NL",
,,,,,"CN",
,,,,,"JP",
,,,,,"KR",
,,,,,"TR",
,,,,,"NO",
,,,,,"RU",
"FEEDBACK_CATEGORIES",,,,,"Purchasing Issue",
,,,,,"Connection Issue",
,,,,,"Report Problem",
,,,,,"Feedback",
,,,,,"Lost Village",
,,,,,"Account Locked",
"GAMECENTER_REAUTHORIZE",,"FALSE",,,,
"LOW_GFX_DEVICES",,,,,"iPad2,.*",
,,,,,"iPad3,.*",
,,,,,"iPhone4,.*",
,,,,,"iPhone5,.*",
,,,,,"iPod5,.*",
,,,,,"iPhone6,.*",
"LOW_GFX_RENDERERS",,,,,"Mali-300.*",
,,,,,"Mali-400.*",
,,,,,"Mali-450.*",
,,,,,"Mali-T6.*",
,,,,,"Mali-T720",
,,,,,"Adreno.*2\d\d",
,,,,,"Adreno.*3\d\d",
,,,,,"PowerVR.*SGX.*",
,,,,,"PowerVR.*Rogue.*GE8100",
"LOW_MEMORY_LIMIT",1536,,,,,
"ASH_CNT",250,,,,,
"ASH_CNT_COMBAT",40,,,,,
"SNOWFLAKE_CNT",200,,,,,
"SNOWFLAKE_CNT_COMBAT",100,,,,,
"LOAD_DROID_SANS_FALLBACK_MANUALLY",,"TRUE",,,,
"LOAD_DROID_SANS_FALLBACK_MANUALLY_ANDROID",,"FALSE",,,,
"SHOW_GEM_BALANCE_IN_JP",,"TRUE",,,,
"GOOGLE_SERVICE_ACHIEVEMENTS",,"FALSE",,,,
"GOOGLE_SERVICE_REAUTHORIZE",,,,,,
"IN_APP_RETRY_LIMIT",4,,,,,
"DISCONNECT_IN_APPS",,"FALSE",,,,
"RETRY_PURCHASES_IN_SHOP",,"TRUE",,,,
"HARD_BIND_TOWN_HALL_LEVEL",4,,,,,
"USE_DEVICE_LINK",,"FALSE",,,,
"CONFIRM_WORD_MAX_LENGTH",15,,,,,
"HUD_PRINT_TIME",6,,,,,
"PAYMENT_LIMIT_CONFIRMATION_ENABLED",,"FALSE",,,,
"PAYMENT_LIMIT_CONFIRMATION_USD",15000,,,,,
"PAYMENT_LIMIT_CONFIRMATION_TIME",15,,,,,
"HIGH_SCORE_EMPTY_LINES",,,,10,,
,,,,50,,
,,,,100,,
,,,,150,,
,,,,200,,
"SWITCH_CONFIRMATION_XP_LEVEL",7,,,,,
"NO_MONEY_COLOR_RED",255,,,,,
"NO_MONEY_COLOR_GREEN",123,,,,,
"NO_MONEY_COLOR_BLUE",114,,,,,
"ACHIEVEMENTS_ENABLED",,"TRUE",,,,
"GAME_CENTER_ACHIEVEMENTS_ENABLED",,"TRUE",,,,
"SEND_GC_ACHIEVEMENT_0_PROGRESS",,"FALSE",,,,
"USE_GC_SEND_ALL_ACHIEVEMENTS",,"TRUE",,,,
"SEND_GC_ACHIEVEMENT_PROGRESS_ONCE",,"TRUE",,,,
"HELPSHIFT_ENABLED",,"TRUE",,,,
"FORCE_USE_HELPSHIFT_FALLBACK_URL",,"FALSE",,,,
"DISABLE_HELPSHIFT_CONTACT_US_FROM_NON_PAYING",,"FALSE",,,,
"USE_DEFAULT_USER_NAME",,"FALSE",,,,
"SHOW_SUPPORT_TARGETING_ICON",,"FALSE",,,,
"MAX_INSTRUCTOR_TH_LEVEL",0,,,,,
"ENABLE_SC_CACHING",,"TRUE",,,,
"ENABLE_SC_CACHE_LOADING",,"TRUE",,,,
"SC_CACHE_FREE_SPACE_LIMIT",200,,,,,
"SC_CACHE_FREE_SPACE_LIMIT_ANDROID",400,,,,,
"SC_CACHE_USE_MODULO",,,,,,
"INSTRUCTOR_RECOMMENDS_PVP",,"FALSE",,,,
"REMOVE_INSTRUCTOR_AFTER_CLAN_CASTLE_REPAIR",,"FALSE",,,,
"INSTRUCTOR_MIN_IDLE_TIME_SEC",5,,,,,
"INSTRUCTOR_MAX_IDLE_TIME_SEC",10,,,,,
"INSTRUCTOR_MIN_GOLD_PERCENT_FOR_RECOMMENDING_RAID",25,,,,,
"INSTRUCTOR_MIN_ELIXIR_PERCENT_FOR_RECOMMENDING_RAID",25,,,,,
"INSTRUCTOR_TIME_TO_HIDE_BUBBLE_AFTER_TAP_IN_SECONDS",10,,,,,
