"Name","TID","Type","TypeCN","Disabled","ExistsApple","ExistsAndroid","ExistsCN","DisabledCN","ExistsAppleCN","ExistsAndroidCN","Diamonds","USD","Order","RMB","TencentID","IconExportName","FrameNumber","StarterPackNumber","XpLevelReq","ValueFactor","LabelTID","LabelValue","Bg","Decor","IsPromotion","Coins","RefundGemValue","PricePointGemValue","SCIDStore","PremiumPass"
"String","String","int","int","boolean","boolean","boolean","boolean","boolean","boolean","boolean","int","int","int","int","string","string","int","int","int","int","String","int","int","int","boolean","int","int","int","boolean","boolean"
"com.supercell.laser.gempack0","TID_SHOP_GEM_PACK_1_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,30,199,1,,,"shop_gem_0",0,,,,,,,,,,30,,,
"com.supercell.laser.gempack1","TID_SHOP_GEM_PACK_2_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,80,499,2,,,"shop_gem_1",1,,,,,,,,,,80,,,
"com.supercell.laser.gempack2","TID_SHOP_GEM_PACK_3_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,170,999,3,,,"shop_gem_2",2,,,,"TID_SHOP_LABEL_POPULAR",,,,,,170,,,
"com.supercell.laser.gempack3","TID_SHOP_GEM_PACK_4_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,360,1999,4,,,"shop_gem_3",3,,,,,,,,,,360,,,
"com.supercell.laser.gempack4","TID_SHOP_GEM_PACK_5_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,950,4999,5,,,"shop_gem_4",4,,,,,,,,,,950,,,
"com.supercell.laser.gempack5","TID_SHOP_GEM_PACK_6_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,2000,9999,6,,,"shop_gem_5",5,,,,"TID_SHOP_LABEL_BEST_VALUE",,,,,,2000,,,
"com.supercell.laser.starterpack1","TID_STARTER_PACK_1",2,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,110,299,0,,,,,1,5,4,,,1,0,,600,181,,,
"com.supercell.laser.starterpack2","TID_STARTER_PACK_2",2,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,190,399,0,,,,,2,15,4,,,1,0,,450,243,,,
"com.supercell.laser.starterpack3","TID_STARTER_PACK_3",2,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,240,499,0,,,,,3,25,4,,,1,0,,700,322,,,
"com.supercell.laser.starterpack4","TID_STARTER_PACK_4",2,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,320,599,0,,,,,4,35,4,,,1,0,,700,402,,,
"com.supercell.laser.xmas2018pack","TID_IAP_XMAS2018_PACK",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,330,499,9,,,,,,,4,,,3,1,,,330,,,
"com.supercell.laser.starterpackx","TID_STARTER_PACK_0",2,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,330,499,0,,,,,0,0,4,,,1,3,,,330,,,
