TID,ID
string,string
TID_BATTLE_END_QUESTS_COMPLETED,Tugas Selesai: <NUM>
TID_BATTLE_END_QUESTS_PROGRESSED,Tugas Aktif: <NUM>
TID_TICKET_COMPENSATION_TITLE,NOTIFIKASI PEMBARUAN
TID_TICKET_COMPENSATION_INFO,Terimalah Permata sebagai ganti Tiket milikmu! Tiket tidak akan berfungsi lagi karena telah disingkirkan dari game.
TID_TICKET_COMPENSATION_CLAIM,KLAIM!
TID_BRAWL_PASS_OLD_BOXES_TITLE,BUKA KOTAK TERSIMPAN
TID_BRAWL_PASS_QUESTS_LABEL,TUGAS
TID_BRAWL_PASS_QUESTS_INFO_LOCKED,Capai <TROPHIES> Trofi untuk membuka Tugas!
TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED,Kini Tugas bisa dibuka dari Ambang Trofi!
TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER,Kunjungi Ambang Trofi untuk membuka Tugas
TID_BRAWL_PASS_BUY_PROGRESS_LABEL,BELI TINGKATAN
TID_QUESTS_TITLE,TUGAS
TID_QUEST_DESC_1,MENANGKAN <AMOUNT> LAGA
TID_QUEST_DESC_2,TUMBANGKAN <AMOUNT> LAWAN
TID_QUEST_DESC_3,BERIKAN <AMOUNT> KERUSAKAN
TID_QUEST_DESC_4,PULIHKAN <AMOUNT> KESEHATAN
TID_QUEST_DESC_5,GUNAKAN \qMAIN LAGI\q <NUM> KALI
TID_QUEST_DESC_6,MAIN <NUM> LAGA DALAM TIM
TID_QUEST_DESC_7_MODE_0,BAWA <LIMIT> PERMATA ATAU LEBIH BANYAK SELAMA <AMOUNT> DETIK
TID_QUEST_DESC_7_MODE_2,BERIKAN <AMOUNT> POIN KERUSAKAN PADA BRANKAS
TID_QUEST_DESC_7_MODE_3,AKHIRI <AMOUNT> LAGA DENGAN <LIMIT> BINTANG ATAU LEBIH BANYAK
TID_QUEST_DESC_7_MODE_5,OPER BOLA <AMOUNT> KALI
TID_QUEST_DESC_7_MODE_6,KUMPULKAN <AMOUNT> KUBUS KEKUATAN
TID_QUEST_DESC_7_MODE_9,KUMPULKAN <AMOUNT> KUBUS KEKUATAN SAAT KEDUA PEMAIN MASIH AKTIF
TID_QUEST_DESC_7_MODE_17,PERTAHANKAN ZONA SELAMA <AMOUNT> DETIK
TID_QUEST_DESC_7_MODE_20,BERTAHAN HIDUP SELAMA <AMOUNT> RONDE
TID_QUEST_DESC_1_LEVELED,SELESAIKAN LEVEL
TID_QUEST_DESC_1_BIG_GAME,MENANGKAN <AMOUNT> LAGA
TID_QUEST_DESC_1_BIG_GAME_SINGLE,MENANGKAN <AMOUNT> LAGA
TID_QUEST_HERO_CONDITION,\nDENGAN <HERO>
TID_QUEST_MODE_CONDITION,\nDALAM <MODE>
TID_QUEST_PLAYAGAIN_CONDITION,\nDENGAN REKAN TIM
TID_QUEST_NEW,BARU
TID_QUEST_PREMIUM,EKSKLUSIF BRAWL PASS
TID_RANK_POPUP_QUESTS,TUGAS
TID_RANK_POPUP_CLUB_FEATURE,GENG
TID_BRAWL_PASS_POPUP_TITLE,BRAWL PASS
TID_BRAWL_PASS_POPUP_INFO,MUSIM <SEASON>
TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON,KEMBALI KE MUSIM SAAT INI
TID_BRAWL_PASS_PREVIOUS_SEASON,MUSIM LALU
TID_BRAWL_PASS_PREVIOUS_SEASON_INFO,KETUK DI SINI UNTUK MENGEKLAIM HADIAH!
TID_BRAWL_PASS_UNLOCK_INFO,HADIAH PREMIUM TERKUNCI!
TID_BRAWL_PASS_UNLOCK_LABEL,BUKA
TID_BRAWLPASS_PURCHASE_ERROR_3,Brawl Pass untuk musim ini telah dibeli.
TID_BRAWLPASS_PURCHASE_ERROR_4,"Maaf, Brawl Pass ini sudah tidak tersedia!"
TID_BRAWLPASS_PURCHASE_ERROR_5,"Tidak bisa membeli PAKET BRAWL PASS, semua hadiah telah diraih!"
TID_BRAWLPASS_PURCHASE_ERROR_6,Brawl Pass tidak dapat dibeli dengan saldo Permata negatif
TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE,KE TINGKAT BERIKUTNYA?
TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO,Beli <NUM> Token dan maju ke Tingkat berikutnya?
TID_PURCHASE_BRAWL_PASS_TITLE,DAPATKAN BRAWL PASS!
TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN,BRAWL PASS
TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE,PAKET BRAWL PASS
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,"Buka hadiah Brawl Pass, Tugas ekstra, dan <NUM> Acak Ulang Tugas per minggu"
TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE,BRAWL PASS + <NUM> TINGKATAN
TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON,Brawl Pass musim yang lalu tidak dapat dibeli
TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND,Brawl Pass musim ini tidak ditemukan. Coba lagi nanti.
TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED,Brawl Pass musim ini sudah didapatkan
TID_TAKEDOWNS_LABEL,LAWAN TUMBANG
TID_DEFEAT_LABEL,KALAH
TID_UNDERDOG,KUDA HITAM
TID_ACCESSORY,GADGET
TID_BATTLE_END_COIN_SHOWER,ACARA HUJAN KOIN
TID_LFG_POPUP_TITLE_MEMBER,CARI ANGGOTA
TID_LFG_POPUP_TITLE_TEAM,CARI TIM
TID_LFG_POPUP_INFO_MEMBER,Cari pemain untuk bermain bersama dalam satu tim
TID_LFG_POPUP_INFO_TEAM,Cari pemain untuk bergabung ke timmu saat ini
TID_LFG_POPUP_EVENT_LABEL_MEMBER,Kriteria acara (ketuk untuk mengubah)
TID_LFG_POPUP_EVENT_LABEL_TEAM,Aku ingin bermain (ketuk untuk mengubah)
TID_LFG_POPUP_START_SEARCH,AYO!
TID_LFG_NO_ROOM_FOR_PLAYERS,Mode laga ini tidak mendukung lebih banyak pemain
TID_LOOKING_FOR_A_TEAM,MENCARI TIM
TID_LOOKING_FOR_A_MEMBER,MENCARI ANGGOTA
TID_CC_TEASER_TITLE,Segera Hadir!
TID_CC_TEASER_INFO,"Bersiaplah untuk Tantangan Kejuaraan <WIN> kemenangan!\n\nMain dengan teman atau gunakan fitur \qMencari Tim\q untuk meningkatkan peluang menang.\n\nTantangan hanya akan berlangsung selama <DURATION> jam, jadi jangan sampai ketinggalan!"
TID_CC_POPUP_TITLE,TANTANGAN KEJUARAAN
TID_CC_POPUP_1_TITLE,PSG CUP
TID_CC_POPUP_TITLE_PSG_21,PSG CUP 2021
TID_CC_POPUP_DESC,Dapatkan hadiah keren di setiap kemenangan! Raih <WINS> kemenangan untuk menyelesaikan Tantangan. Berhati-hatilah! Kamu akan gugur setelah kalah <LOSSES> kali.
TID_CC_POPUP_1_DESC,Raih hadiah keren setiap kali menang! Kamu harus menang <WINS> kali untuk memenangkan Piala. Kamu harus berhati-hati karena kamu akan gugur setelah <LOSSES> kali kalah!
TID_CC_POPUP_WINS,<WINS>/<MAX>x MENANG
TID_CC_POPUP_WINS_FOR_EVENT,BABAK <LEVEL>
TID_POPUP_WINS_FOR_EVENT_PSG_1,PEREMPAT FINAL
TID_POPUP_WINS_FOR_EVENT_PSG_2,SEMIFINAL
TID_POPUP_WINS_FOR_EVENT_PSG_3,FINAL
TID_CC_POPUP_QUALIFY_INFO,Selesaikan tantangan untuk bisa lolos ke babak selanjutnya di Kejuaraan Brawl Stars!
TID_CC_POPUP_QUALIFY_INFO_PSG,Selesaikan tantangan untuk meraih Kostum Shelly PSG!
TID_CC_POPUP_QUALIFY_INFO_COMPLETED,Tantangan selesai!
TID_CC_POPUP_CHALLENGE_OVER,TANTANGAN BERAKHIR
TID_CC_POPUP_OUT_OF_LIVES,TIDAK BISA IKUT LAGI
TID_CC_POPUP_BUY_LIVES,BELI <NUM> LAGI?
TID_CC_POPUP_COMPLETED,TANTANGAN SELESAI
TID_CC_POPUP_LEVEL,BABAK <LEVEL>
TID_CC_POPUP_WIN,MENANG
TID_CC_POPUP_LOSSES,KALAH
TID_QUALIFIED_TITLE,Kualifikasi online TERBUKA!
TID_QUALIFIED_INFO,"Wow, kamu berhasil menyelesaikan Tantangan Kejuaraan! LUAR BIASA!\n\nUntuk melanjutkan perjalanan menuju KEJUARAAN BRAWL STARS, kunjungi <cFFE400><URL></c>"
TID_QUALIFIED_INFO_HUB,"Wow, kamu berhasil menyelesaikan Tantangan Kejuaraan! LUAR BIASA!\n\nUntuk melanjutkan perjalanan di KEJUARAAN BRAWL STARS, kunjungi bagian ESPORTS di layar utama!"
TID_QUALIFIED_INFO_PSG,"Selamat, kamu memenangkan PSG CUP! Nikmati hadiah kostum Shelly PSG!"
TID_QUALIFIED_GO,AYO!
TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE,TANTANGAN KEJUARAAN
TID_BATTLE_END_CC_WIN_LABEL,HADIAH KEMENANGAN KE-<AMOUNT>
