TID,CN
string,string
TID_BATTLE_END_QUESTS_COMPLETED,完成任务：<NUM>
TID_BATTLE_END_QUESTS_PROGRESSED,推进任务：<NUM>
TID_TICKET_COMPENSATION_TITLE,更新公告
TID_TICKET_COMPENSATION_INFO,您的门票已被兑换为宝石！门票已从游戏中移除，以后游戏中将不再使用门票。
TID_TICKET_COMPENSATION_CLAIM,领取
TID_BRAWL_PASS_OLD_BOXES_TITLE,打开剩余宝箱
TID_BRAWL_PASS_QUESTS_LABEL,任务板
TID_BRAWL_PASS_QUESTS_INFO_LOCKED,奖杯数达到<TROPHIES>即可解锁任务板
TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED,可以在荣誉之路上解锁任务板啦！
TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER,前往荣誉之路界面解锁任务板
TID_BRAWL_PASS_BUY_PROGRESS_LABEL,解锁下级奖励
TID_QUESTS_TITLE,任务
TID_QUEST_DESC_1,赢得<AMOUNT>场对战
TID_QUEST_DESC_2,击倒<AMOUNT>个敌人
TID_QUEST_DESC_3,造成<AMOUNT>点伤害
TID_QUEST_DESC_4,恢复<AMOUNT>点生命值
TID_QUEST_DESC_5,使用\q再来一场\q<NUM>次
TID_QUEST_DESC_6,组队进行<NUM>场对战
TID_QUEST_DESC_7_MODE_0,持有<LIMIT>颗或更多宝石达<AMOUNT>秒
TID_QUEST_DESC_7_MODE_2,对宝箱造成<AMOUNT>伤害
TID_QUEST_DESC_7_MODE_3,在<AMOUNT>场对战结束时持有<LIMIT>颗或更多赏金之星
TID_QUEST_DESC_7_MODE_5,传球<AMOUNT>次
TID_QUEST_DESC_7_MODE_6,收集<AMOUNT>个能量块
TID_QUEST_DESC_7_MODE_9,两名玩家均未被击倒的情况下收集<AMOUNT>个能量块
TID_QUEST_DESC_7_MODE_17,占领热区<AMOUNT>秒
TID_QUEST_DESC_7_MODE_20,<AMOUNT>局未被击倒
TID_QUEST_DESC_1_LEVELED,通过关卡
TID_QUEST_DESC_1_BIG_GAME,赢得<AMOUNT>场对战
TID_QUEST_DESC_1_BIG_GAME_SINGLE,赢得<AMOUNT>场对战
TID_QUEST_HERO_CONDITION,\n限定英雄：<HERO>
TID_QUEST_MODE_CONDITION,\n限定模式：<MODE>
TID_QUEST_PLAYAGAIN_CONDITION,\n仅限组队对战
TID_QUEST_NEW,新
TID_QUEST_PREMIUM,乱斗金券专属
TID_RANK_POPUP_QUESTS,任务
TID_RANK_POPUP_CLUB_FEATURE,战队
TID_BRAWL_PASS_POPUP_TITLE,乱斗金券
TID_BRAWL_PASS_POPUP_INFO,第<SEASON>季
TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON,回到当前主题季
TID_BRAWL_PASS_PREVIOUS_SEASON,上一主题季
TID_BRAWL_PASS_PREVIOUS_SEASON_INFO,点击此处领取奖励！
TID_BRAWL_PASS_UNLOCK_INFO,尚未解锁专属奖励！
TID_BRAWL_PASS_UNLOCK_LABEL,解锁
TID_BRAWLPASS_PURCHASE_ERROR_3,您已购买当前乱斗主题季的乱斗金券。
TID_BRAWLPASS_PURCHASE_ERROR_4,抱歉，已无法购买该乱斗金券！
TID_BRAWLPASS_PURCHASE_ERROR_5,无法购买乱斗金券礼包，您已解锁全部奖励！
TID_BRAWLPASS_PURCHASE_ERROR_6,宝石数量为负，无法购买乱斗金券
TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE,解锁奖励？
TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO,购买<NUM>奖章并解锁下一级奖励？
TID_PURCHASE_BRAWL_PASS_TITLE,获取乱斗金券！
TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN,乱斗金券
TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE,乱斗金券礼包
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,解锁乱斗金券奖励、额外任务，还有每周<NUM>次任务刷新机会。
TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE,乱斗金券 + <NUM>级奖励
TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON,无法购买以往乱斗主题季的乱斗金券
TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND,无法获取当前乱斗主题季的乱斗金券，请稍后重试。
TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED,已解锁当前乱斗主题季的乱斗金券
TID_TAKEDOWNS_LABEL,击倒
TID_DEFEAT_LABEL,被击倒
TID_UNDERDOG,迎难而上
TID_ACCESSORY,随身妙具
TID_BATTLE_END_COIN_SHOWER,堆金如山活动
TID_LFG_POPUP_TITLE_MEMBER,寻找队友
TID_LFG_POPUP_TITLE_TEAM,寻找小队
TID_LFG_POPUP_INFO_MEMBER,寻找队友与您并肩作战
TID_LFG_POPUP_INFO_TEAM,招募其他玩家加入您的小队
TID_LFG_POPUP_EVENT_LABEL_MEMBER,选择活动（点击更换）
TID_LFG_POPUP_EVENT_LABEL_TEAM,选择活动（点击更换）
TID_LFG_POPUP_START_SEARCH,立即寻找
TID_LFG_NO_ROOM_FOR_PLAYERS,该模式不支持更多玩家
TID_LOOKING_FOR_A_TEAM,正在寻找小队
TID_LOOKING_FOR_A_MEMBER,正在寻找队友
TID_CC_TEASER_TITLE,即将打响！
TID_CC_TEASER_INFO,做好准备，迎接荒野乱斗全球锦标赛<WIN>胜挑战！\n\n与好友组队，或使用\q寻找小队\q功能，让您更有机会脱颖而出。\n\n挑战仅持续<DURATION>小时，把握机会，立即加入对战吧！
