TID,IT
string,string
TID_BATTLE_END_QUESTS_COMPLETED,Missioni completate: <NUM>
TID_BATTLE_END_QUESTS_PROGRESSED,Missioni in corso: <NUM>
TID_TICKET_COMPENSATION_TITLE,AVVISO SULL'AGGIORNAMENTO
TID_TICKET_COMPENSATION_INFO,"Non avrai più bisogno dei biglietti, perché li abbiamo rimossi dal gioco, ma in cambio ti regaliamo delle gemme!"
TID_TICKET_COMPENSATION_CLAIM,RITIRA
TID_BRAWL_PASS_OLD_BOXES_TITLE,APRI LE CASSE RIMASTE
TID_BRAWL_PASS_QUESTS_LABEL,MISSIONI
TID_BRAWL_PASS_QUESTS_INFO_LOCKED,Sblocca le missioni ottenendo <TROPHIES> trofei!
TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED,Ora puoi sbloccare le missioni dal cammino dei trofei!
TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER,Vai al cammino dei trofei per sbloccare le missioni.
TID_BRAWL_PASS_BUY_PROGRESS_LABEL,COMPRA UNA SOGLIA
TID_QUESTS_TITLE,MISSIONI
TID_QUEST_DESC_1,VINCI <AMOUNT> BATTAGLIE
TID_QUEST_DESC_2,SCONFIGGI <AMOUNT> NEMICI
TID_QUEST_DESC_3,CAUSA <AMOUNT> PUNTI DANNO
TID_QUEST_DESC_4,RIPRISTINA <AMOUNT> PUNTI SALUTE
TID_QUEST_DESC_5,TOCCA \qGIOCA ANCORA\q <NUM> VOLTE
TID_QUEST_DESC_6,GIOCA <NUM> SCONTRI IN UNA SQUADRA
TID_QUEST_DESC_7_MODE_0,PROTEGGI ALMENO <LIMIT> GEMME PER <AMOUNT> SECONDI
TID_QUEST_DESC_7_MODE_2,CAUSA <AMOUNT> PUNTI DANNO ALLE CASSEFORTI
TID_QUEST_DESC_7_MODE_3,FINISCI <AMOUNT> SCONTRI CON ALMENO <LIMIT> STELLE
TID_QUEST_DESC_7_MODE_5,PASSA LA PALLA <AMOUNT> VOLTE
TID_QUEST_DESC_7_MODE_6,RACCOGLI <AMOUNT> CUBI DI ENERGIA
TID_QUEST_DESC_7_MODE_9,RACCOGLI <AMOUNT> CUBI D'ENERGIA MENTRE TU E L'ALLEATO SIETE IN VITA
TID_QUEST_DESC_7_MODE_17,RIMANI IN UNA ZONA DA CATTURARE PER <AMOUNT> SECONDI
TID_QUEST_DESC_7_MODE_20,NON FARTI ELIMINARE PER <AMOUNT> ROUND
TID_QUEST_DESC_1_LEVELED,COMPLETA UN LIVELLO
TID_QUEST_DESC_1_BIG_GAME,VINCI <AMOUNT> BATTAGLIE
TID_QUEST_DESC_1_BIG_GAME_SINGLE,VINCI <AMOUNT> BATTAGLIA
TID_QUEST_HERO_CONDITION,\nCON <HERO>
TID_QUEST_MODE_CONDITION,\nIN <MODE>
TID_QUEST_PLAYAGAIN_CONDITION,\nCON UN ALLEATO
TID_QUEST_NEW,NUOVA
TID_QUEST_PREMIUM,SOLO COL BRAWL PASS
TID_RANK_POPUP_QUESTS,MISSIONI
TID_RANK_POPUP_CLUB_FEATURE,CLUB
TID_BRAWL_PASS_POPUP_TITLE,BRAWL PASS
TID_BRAWL_PASS_POPUP_INFO,STAGIONE <SEASON>
TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON,TORNA ALLA STAGIONE ATTUALE
TID_BRAWL_PASS_PREVIOUS_SEASON,STAGIONE PRECEDENTE
TID_BRAWL_PASS_PREVIOUS_SEASON_INFO,TOCCA PER RITIRARE LE RICOMPENSE!
TID_BRAWL_PASS_UNLOCK_INFO,RICOMPENSE PREMIUM BLOCCATE!
TID_BRAWL_PASS_UNLOCK_LABEL,SBLOCCA
TID_BRAWLPASS_PURCHASE_ERROR_3,Hai già acquistato il Brawl Pass di questa stagione.
TID_BRAWLPASS_PURCHASE_ERROR_4,"Spiacenti, questo Brawl Pass non è più disponibile."
