TID,PT
string,string
TID_BATTLE_END_QUESTS_COMPLETED,Missões concluídas: <NUM>
TID_BATTLE_END_QUESTS_PROGRESSED,Missões iniciadas: <NUM>
TID_TICKET_COMPENSATION_TITLE,NOTIFICAÇÃO DE ATUALIZAÇÃO
TID_TICKET_COMPENSATION_INFO,"Os ingressos foram retirados do jogo, então não há mais utilidade para eles. Aqui estão algumas gemas em troca dos seus ingressos."
TID_TICKET_COMPENSATION_CLAIM,RESGATAR!
TID_BRAWL_PASS_OLD_BOXES_TITLE,ABRIR CAIXAS PENDENTES
TID_BRAWL_PASS_QUESTS_LABEL,MISSÕES
TID_BRAWL_PASS_QUESTS_INFO_LOCKED,Obtenha <TROPHIES> troféus para desbloquear as missões!
TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED,As missões já podem ser desbloqueadas no caminho de troféus!
TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER,Acesse o caminho de troféus para desbloquear as missões.
TID_BRAWL_PASS_BUY_PROGRESS_LABEL,PULAR UM PATAMAR
TID_QUESTS_TITLE,MISSÕES
TID_QUEST_DESC_1,VENÇA <AMOUNT> BATALHAS
TID_QUEST_DESC_2,DERROTE <AMOUNT> INIMIGOS
TID_QUEST_DESC_3,CAUSE <AMOUNT> PONTOS DE DANO
TID_QUEST_DESC_4,RESTAURE <AMOUNT> PONTOS DE SAÚDE
TID_QUEST_DESC_5,USE A OPÇÃO \qJOGAR DE NOVO\q <NUM> VEZES
TID_QUEST_DESC_6,JOGUE <NUM> PARTIDAS EM EQUIPE
TID_QUEST_DESC_7_MODE_0,SEGURE <LIMIT> OU MAIS GEMAS POR <AMOUNT> SEGUNDOS
TID_QUEST_DESC_7_MODE_2,CAUSE <AMOUNT> PONTOS DE DANO AO COFRE
TID_QUEST_DESC_7_MODE_3,COMPLETE <AMOUNT> PARTIDAS COM <LIMIT> OU MAIS ESTRELAS
TID_QUEST_DESC_7_MODE_5,PASSE A BOLA <AMOUNT> VEZES
TID_QUEST_DESC_7_MODE_6,COLETE <AMOUNT> CUBOS DE ENERGIA
TID_QUEST_DESC_7_MODE_9,COLETE <AMOUNT> CUBOS DE ENERGIA ENQUANTO VOCÊ E SEU ALIADO ESTIVEREM VIVOS
TID_QUEST_DESC_7_MODE_17,CONQUISTE ZONAS POR <AMOUNT> SEGUNDOS
TID_QUEST_DESC_7_MODE_20,VENÇA <AMOUNT> RODADAS SEM PERDER
TID_QUEST_DESC_1_LEVELED,CONCLUA O NÍVEL
TID_QUEST_DESC_1_BIG_GAME,VENÇA <AMOUNT> BATALHAS
TID_QUEST_DESC_1_BIG_GAME_SINGLE,VENÇA <AMOUNT> BATALHA
TID_QUEST_HERO_CONDITION,\nCOM <HERO>
TID_QUEST_MODE_CONDITION,\nEM <MODE>
TID_QUEST_PLAYAGAIN_CONDITION,\nCOM UM ALIADO
TID_QUEST_NEW,NOVO
TID_QUEST_PREMIUM,EXCLUSIVO DO BRAWL PASS
TID_RANK_POPUP_QUESTS,MISSÕES
TID_RANK_POPUP_CLUB_FEATURE,CLUBES
TID_BRAWL_PASS_POPUP_TITLE,BRAWL PASS
TID_BRAWL_PASS_POPUP_INFO,TEMPORADA <SEASON>
TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON,VOLTAR À TEMPORADA ATUAL
TID_BRAWL_PASS_PREVIOUS_SEASON,TEMPORADA ANTERIOR
TID_BRAWL_PASS_PREVIOUS_SEASON_INFO,TOQUE PARA COLETAR RECOMPENSAS!
TID_BRAWL_PASS_UNLOCK_INFO,RECOMPENSAS ESPECIAIS BLOQUEADAS!
TID_BRAWL_PASS_UNLOCK_LABEL,LIBERAR
TID_BRAWLPASS_PURCHASE_ERROR_3,O Brawl Pass desta temporada já foi comprado.
TID_BRAWLPASS_PURCHASE_ERROR_4,Que pena! O Brawl Pass não está mais disponível.
TID_BRAWLPASS_PURCHASE_ERROR_5,Não é possível comprar o combo do Brawl Pass. Você já ganhou todas as recompensas!
TID_BRAWLPASS_PURCHASE_ERROR_6,Aquisição do Brawl Pass indisponível com saldo negativo de gemas.
TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE,PULAR O PATAMAR?
TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO,Comprar <NUM> fichas e pular para o próximo patamar?
TID_PURCHASE_BRAWL_PASS_TITLE,OBTENHA O BRAWL PASS!
TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN,BRAWL PASS
TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE,COMBO DO BRAWL PASS
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,"Ganhe prêmios do Brawl Pass, missões extras e <NUM> trocas de missões por semana!"
