"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_QUEST_DESC_1","WIN <AMOUNT> BATTLES","اربح <AMOUNT> من المعارك","赢得<AMOUNT>场对战","贏得<AMOUNT>場對戰","GEWINNE <AMOUNT> KÄMPFE","GANA <AMOUNT> BATALLAS","VOITA <AMOUNT> OTTELUA","Gagner <AMOUNT> combats","נצחו ב-<AMOUNT> קרבות","MENANGKAN <AMOUNT> LAGA","VINCI <AMOUNT> BATTAGLIE","バトルに<AMOUNT>回勝利する","전투 <AMOUNT>회 승리","MENANG <AMOUNT> PERTEMPURAN","WIN <AMOUNT> GEVECHTEN","WYGRAJ BITWY: <AMOUNT>","VENÇA <AMOUNT> BATALHAS","ВЫИГРАЙ БОЙ <AMOUNT> Р.","ชนะการต่อสู้ <AMOUNT> ครั้ง","<AMOUNT> SAVAŞ KAZAN","THẮNG <AMOUNT> TRẬN CHIẾN"
"TID_QUEST_DESC_5","USE \qPLAY AGAIN\q <NUM> TIMES","استخدم \q'اللعب مجددًا'\q <NUM> من المرات","使用\q再来一场\q<NUM>次","使用\q再來一場\q<NUM>次","NUTZE \qNOCH EIN SPIEL\q <NUM>-MAL","USA \qVOLVER A JUGAR\q <NUM> VECES","VALITSE \qPELAA UUDELLEEN\q <NUM> KERTAA","Utiliser la fonction \qRejouer\q <NUM> fois","השתמשו ב\qמשחק מחדש\q <NUM> פעמים","GUNAKAN \qMAIN LAGI\q <NUM> KALI","TOCCA \qGIOCA ANCORA\q <NUM> VOLTE","「もう一度」機能を<NUM>回使用する","\q다시 플레이\q\n<NUM>회 사용","GUNA \qMAIN LAGI\q <NUM> KALI","MAAK <NUM> KEER GEBRUIK VAN 'OPNIEUW SPELEN'","SKORZYSTAJ Z OPCJI \qZAGRAJ PONOWNIE\q <NUM> RAZY","USE A OPÇÃO \qJOGAR DE NOVO\q <NUM> VEZES","ВОСПОЛЬЗУЙСЯ КНОПКОЙ «ИГРАТЬ СНОВА» <NUM> Р.","ใช้ \qเล่นอีกครั้ง\q <NUM> ครั้ง","<NUM> KEZ \qTEKRAR OYNA\q SEÇENEĞİNİ KULLAN","SỬ DỤNG NÚT \qCHƠI LẠI\q <NUM> LẦN"
"TID_QUEST_DESC_1_BIG_GAME","WIN <AMOUNT> BATTLES","اربح <AMOUNT> من المعارك","赢得<AMOUNT>场对战","贏得<AMOUNT>場對戰","GEWINNE <AMOUNT> KÄMPFE","GANA <AMOUNT> BATALLAS","VOITA <AMOUNT> OTTELUA","Gagner <AMOUNT> combats","נצחו ב-<AMOUNT> קרבות","MENANGKAN <AMOUNT> LAGA","VINCI <AMOUNT> BATTAGLIE","バトルに<AMOUNT>回勝利する","전투 <AMOUNT>회 승리","MENANG <AMOUNT> PERTEMPURAN","WIN <AMOUNT> GEVECHTEN","WYGRAJ BITWY: <AMOUNT>","VENÇA <AMOUNT> BATALHAS","ВЫИГРАЙ БОЙ <AMOUNT> Р.","ชนะการต่อสู้ <AMOUNT> ครั้ง","<AMOUNT> SAVAŞ KAZAN","THẮNG <AMOUNT> TRẬN CHIẾN"
"TID_QUEST_DESC_1_BIG_GAME_SINGLE","WIN <AMOUNT> BATTLE","اربح <AMOUNT> من المعارك","赢得<AMOUNT>场对战","贏得<AMOUNT>場對戰","GEWINNE <AMOUNT> KAMPF","GANA <AMOUNT> BATALLA","VOITA <AMOUNT> OTTELU","Gagner <AMOUNT> combat","נצחו בקרב <AMOUNT>","MENANGKAN <AMOUNT> LAGA","VINCI <AMOUNT> BATTAGLIA","バトルに<AMOUNT>回勝利する","전투 <AMOUNT>회 승리","MENANG <AMOUNT> PERTEMPURAN","WIN <AMOUNT> GEVECHT","WYGRAJ <AMOUNT> BITWĘ","VENÇA <AMOUNT> BATALHA","ВЫИГРАЙ БОЙ <AMOUNT> Р.","ชนะการต่อสู้ <AMOUNT> ครั้ง","<AMOUNT> SAVAŞ KAZAN","THẮNG <AMOUNT> TRẬN CHIẾN"
"TID_INBOX_CAPTION_84_6","Donation of Hypercharge <ABI> for <NAME>","تبرع بالشحن الفائق <ABI> لـ <NAME>","为<NAME>补偿极限充能：<ABI>","為<NAME>補償極限威能：<ABI>","Spende von Hyperladung (<ABI>) für <NAME>","Donación: hipercarga <ABI> para <NAME>.","Lahja: hyperlataus (<ABI>) rämäpäälle <NAME>","Don d'hypercharge <ABI> pour <NAME>","תרומת סופר-טעינה <ABI> עבור <NAME>","Pemberian Beringasss <ABI> untuk <NAME>","Donazione dell'overdrive \q<ABI>\q per <NAME>.","<NAME>のハイパーチャージ「<ABI>」を寄付","선물: <NAME> 하이퍼차지 (<ABI>)","Pendermaan hipercas <ABI> kepada <NAME>","Donatie van hyperkracht <ABI> voor <NAME>","Ofiarowanie hiperdoładowania <ABI> dla: <NAME>","Doação da hipercarga <ABI> para <NAME>","Вы получаете гиперзаряд «<ABI>» для бойца <NAME>","บริจาคไฮเปอร์ชาร์จ <ABI> ให้กับ <NAME>","<NAME> için <ABI> hiperşarj hediyesi","Tặng Cường hóa tuyệt chiêu <ABI> cho <NAME>"
"TID_BRAWL_PASS_INFO_TITLE_0","BRAWL PASS INCLUDES","محتويات BRAWL PASS","乱斗金券包括","亂鬥通行券包括","BRAWLPASS-INHALTE","CON EL BRAWL PASS...","BRAWL PASSIN SISÄLTÖ","Inclus avec le Pass Brawl","BRAWL PASS כולל","KONTEN BRAWL PASS","CONTENUTI DEL BRAWL PASS","ブロスタパスの内容","브롤 패스에는 아래와 같은 여러 특전이 포함되어 있습니다!","BRAWL PASS TERMASUK","INBEGREPEN BIJ DE BRAWL PASS","Z KARNETEM ZADYMIARSKIM","CONTEÚDO DO BRAWL PASS","ЧТО ДАЁТ BRAWL PASS","Brawl Pass ประกอบด้วย","BRAWL PASS ŞUNLARI İÇERİR:","VÉ BRAWL PASS BAO GỒM"
"TID_DUELIST_DESC","Gardener and caretaker of the Enchanted Forest. Obsesses over mushrooms and is hostile towards strangers.","بستاني الغابات المسحورة وراعيها. يُعرف عنه هوسه بالفطر، ومعاداته تجاه الغرباء.","魔法森林的园丁和看守人。痴迷蘑菇，对陌生人充满敌意。","魔法森林的園丁和看守人。瘋狂熱愛蘑菇，對陌生人充滿敵意。","Gärtner des Verzauberten Waldes. Liebt Pilze und hasst Eindringlinge.","Cordelius es el jardinero y guardián del bosque encantado. Le chiflan los champiñones y es hostil con los desconocidos.","Lumotun metsän puutarhuri ja hoitaja. Hulluna sieniin ja vihamielinen muukalaisia kohtaan.","Jardinier et paysagiste dans la Forêt enchantée. Il adooore les champignons, mais beaucoup moins les inconnus.","גנן ומטפל ביער המכושף. אובססיבי לפטריות ועוין לזרים.","Si penjaga dan juru kunci Belantara Abrakadabra ini punya obsesi dengan jamur. Jika dia baru bertemu denganmu, mungkin dia akan bersikap sedikit dingin.","È il giardiniere e custode della Foresta incantata. Va matto per i funghi e non ha molta confidenza con gli estranei.","不思議の森を管理する園芸家。キノコに目がないが、見知らぬ訪問者は容赦なく追い返すぞ！","마법에 걸린 숲의 정원사이자 관리인입니다. 버섯에 아주 진심이며 낯선 사람을 보면 적대적으로 돌변합니다.","Penanam dan penjaga Hutan Fantasi yang obsesi dengan cendawan dan bersikap bermusuhan terhadap orang asing.","De tuinier en conciërge van het Betoverd bos. Hij is geobsedeerd door paddenstoelen en gedraagt zich vijandig tegen vreemden.","Ogrodnik i opiekun Zaczarowanego Lasu. Ma obsesję na punkcie grzybów i jest wrogo nastawiony do nieznajomych.","Ele é jardineiro e cuidador da Floresta Encantada e não se dá muito bem com estranhos. Obcecado por cogumelos.","Садовник, ухаживающий за Зачарованным лесом. Обожает грибы и враждебно относится к незнакомцам.","คนสวนและผู้ดูแลป่ารุ่งโรจน์ เขาคลั่งไคล้เห็ดและไม่เป็นมิตรกับคนแปลกหน้า","Sihirli ormanın bakıcısı ve bekçisi. Mantarlara bayılır, yabancılarıysa hiç sevmez.","Vừa là người làm vườn vừa là người bảo vệ của Khu rừng kỳ bí. Ông ta rất thích nấm và rất ghét người lạ."
"TID_ACCESSORY_CONDUCTOR_GADGET_2_DESC","Chuck's next Super can go through walls!","تستطيع ضربة زخم تشاك التالية أن تخترق الجدران.","查克下一次使用超级技能时可穿过墙壁！","查克下一次使用超級技能時可穿過牆壁！","Bei der nächsten Aktivierung seines Superskills kann sich Chuck durch Wände bewegen!","El próximo súper de Chuck puede atravesar muros.","Chuckin seuraava super voi mennä muurien läpi.","Le prochain super de Chuck lui permet de traverser les murs.","עוד תכונת סופר של צ'אק היא מעבר דרך קירות!","Kekuatan Super Chuck berikutnya dapat menembus tembok!","La super successiva all'attivazione del gadget permette a Chuck di attraversare i muri.","次の必殺技で壁を通り抜けることが可能になる。","다음 특수 공격이 벽을 통과합니다.","Super Chuck seterusnya boleh menembusi benteng!","Chucks volgende super kan door muren gaan.","Przy następnym superataku Chuck może przechodzić przez ściany!","O próximo Super de Chuck atravessa muros.","Следующий Супер Чака позволит ему проходить сквозь стены.","ท่าไม้ตายครั้งต่อไปของชัคสามารถทะลุกำแพงได้!","Chuck, bir sonraki süper saldırısında duvarların içinden geçer!","Đòn Tuyệt chiêu tiếp theo của Chuck có thể xuyên qua tường chắn!"
"TID_QUEST_DESC_8","WIN <AMOUNT> BATTLES","اربح <AMOUNT> من المعارك","赢得<AMOUNT>场对战","贏得<AMOUNT>場對戰","GEWINNE <AMOUNT> KÄMPFE","GANA <AMOUNT> BATALLAS","VOITA <AMOUNT> OTTELUA","GAGNEZ <AMOUNT> COMBATS","נצחו ב-<AMOUNT> קרבות","MENANGKAN <AMOUNT> LAGA","VINCI <AMOUNT> BATTAGLIE","バトルに<AMOUNT>回勝利する","전투 <AMOUNT>회 승리","MENANG <AMOUNT> PERTEMPURAN","WIN <AMOUNT> GEVECHTEN","WYGRAJ TYLE BITEW: <AMOUNT>","VENÇA <AMOUNT> BATALHAS","ВЫИГРАЙ БОЙ <AMOUNT> Р.","ชนะการต่อสู้ <AMOUNT> ครั้ง","<AMOUNT> SAVAŞ KAZAN","THẮNG <AMOUNT> TRẬN"
