"Name","CumulativeWins","MainMilestone","Level","CumulativeRewardStarDrops","CumulativeRewardCoins","CumulativeRewardPowerPoints","CumulativeRewardBling"
"string","int","boolean","int","int","int","int","int"
"Win1",1,,1,1,100,20,10
"Win2",2,,1,1,100,20,10
"Win3",3,,1,1,100,20,10
"Win4",4,,1,1,100,20,10
"Win5",5,,1,1,100,20,10
"Win6",6,,1,2,100,20,10
"Win7",7,,1,2,100,20,10
"Win8",8,,1,2,100,20,10
"Win9",9,,1,2,110,20,10
"Win10",10,,1,2,120,20,10
"Win11",11,,1,3,130,30,10
"Win12",12,,1,3,140,40,10
"Win13",13,,1,3,150,50,15
"Win14",14,,1,3,160,60,20
"Win15",15,,1,3,170,70,25
"Win16",16,,1,5,180,80,30
"Win17",17,,1,5,190,90,35
"Win18",18,,1,5,200,100,40
"Win19",19,,1,10,880,250,80
"Win20",20,,1,11,898,257,84
"Win21",21,,1,11,916,265,88
"Win22",22,,1,11,935,272,91
"Win23",23,,1,11,953,280,95
"Win24",24,,1,11,972,287,99
"Win25",25,,1,11,991,295,103
"Win26",26,,1,12,1010,303,107
"Win27",27,,1,12,1030,310,111
"Win28",28,,1,12,1049,318,115
"Win29",29,,1,12,1069,326,119
"Win30",30,,1,12,1089,334,123
"Win31",31,,1,12,1109,342,127
"Win32",32,,1,12,1129,350,131
"Win33",33,,1,12,1149,359,136
"Win34",34,,1,12,1170,367,140
"Win35",35,,1,13,1190,375,144
"Win36",36,,1,13,1211,384,148
"Win37",37,,1,13,1233,392,153
"Win38",38,,1,13,1254,401,157
"Win39",39,,1,13,1275,410,162
"Win40",40,,1,14,1297,418,166
"Win41",41,,1,14,1319,427,171
"Win42",42,,1,14,1341,436,175
"Win43",43,,1,14,1364,445,180
"Win44",44,,1,14,1386,454,184
"Win45",45,,1,15,1409,463,189
"Win46",46,,1,15,1432,473,194
"Win47",47,,1,15,1455,482,199
"Win48",48,,1,15,1479,491,204
"Win49",49,,1,15,1502,501,208
"Win50",50,"TRUE",2,50,1526,511,213
"Win51",51,,2,50,1550,520,218
"Win52",52,,2,50,1574,530,223
"Win53",53,,2,50,1599,540,228
"Win54",54,,2,50,1623,550,233
"Win55",55,,2,50,1648,560,239
"Win56",56,,2,50,1674,570,244
"Win57",57,,2,50,1699,580,249
"Win58",58,,2,50,1725,591,254
"Win59",59,,2,50,1751,601,260
"Win60",60,,2,50,1777,612,265
"Win61",61,,2,50,1803,622,271
"Win62",62,,2,50,1830,633,276
"Win63",63,,2,50,1856,644,282
"Win64",64,,2,50,1884,655,287
"Win65",65,,2,50,1911,666,293
"Win66",66,,2,50,1938,677,298
"Win67",67,,2,50,1966,688,304
"Win68",68,,2,50,1994,700,310
"Win69",69,,2,50,2023,711,316
"Win70",70,,2,50,2051,722,322
"Win71",71,,2,50,2080,734,328
"Win72",72,,2,50,2109,746,334
"Win73",73,,2,50,2139,758,340
"Win74",74,,2,50,2168,770,346
"Win75",75,,2,50,2198,782,352
"Win76",76,,2,50,2229,794,358
"Win77",77,,2,50,2259,806,365
"Win78",78,,2,50,2290,819,371
"Win79",79,,2,50,2321,831,377
"Win80",80,,2,50,2352,844,384
"Win81",81,,2,50,2384,857,390
"Win82",82,,2,50,2416,870,397
"Win83",83,,2,50,2448,883,404
"Win84",84,,2,50,2481,896,410
"Win85",85,,2,50,2514,909,417
"Win86",86,,2,50,2547,922,424
"Win87",87,,2,50,2580,936,431
"Win88",88,,2,50,2614,949,438
"Win89",89,,2,50,2648,963,445
"Win90",90,,2,50,2682,977,452
"Win91",91,,2,50,2717,991,459
"Win92",92,,2,50,2752,1005,466
"Win93",93,,2,50,2787,1019,474
"Win94",94,,2,50,2823,1034,481
"Win95",95,,2,50,2859,1048,489
"Win96",96,,2,50,2895,1063,496
"Win97",97,,2,50,2932,1078,504
"Win98",98,,2,50,2969,1093,511
"Win99",99,,2,50,3006,1108,519
"Win100",100,"TRUE",3,100,3044,1123,527
