"Name","Rank","TID","HexColor","FrameLabel","RankIconTextField","RankIconTID"
"string","int","string","string","string","string","string"
"Bronze I",1,"TID_RANKED_BRONZE_I","0xFF9900","bronze","rank_bronze_text","TID_PLAYER_RANK_TIER_0"
"Bronze II",2,"TID_RANKED_BRONZE_II","0xFF9900","bronze","rank_bronze_text","TID_PLAYER_RANK_TIER_1"
"Bronze III",3,"TID_RANKED_BRONZE_III","0xFF9900","bronze","rank_bronze_text","TID_PLAYER_RANK_TIER_2"
"Silver I",4,"TID_RANKED_SILVER_I","0xC9C6F1","silver","rank_silver_text","TID_PLAYER_RANK_TIER_0"
"Silver II",5,"TID_RANKED_SILVER_II","0xC9C6F1","silver","rank_silver_text","TID_PLAYER_RANK_TIER_1"
"Silver III",6,"TID_RANKED_SILVER_III","0xC9C6F1","silver","rank_silver_text","TID_PLAYER_RANK_TIER_2"
"Gold I",7,"TID_RANKED_GOLD_I","0xFFEF49","gold","rank_gold_text","TID_PLAYER_RANK_TIER_0"
"Gold II",8,"TID_RANKED_GOLD_II","0xFFEF49","gold","rank_gold_text","TID_PLAYER_RANK_TIER_1"
"Gold III",9,"TID_RANKED_GOLD_III","0xFFEF49","gold","rank_gold_text","TID_PLAYER_RANK_TIER_2"
"Diamond I",10,"TID_RANKED_DIAMOND_I","0x33FFFF","diamond","rank_diamond_text","TID_PLAYER_RANK_TIER_0"
"Diamond II",11,"TID_RANKED_DIAMOND_II","0x33FFFF","diamond","rank_diamond_text","TID_PLAYER_RANK_TIER_1"
"Diamond III",12,"TID_RANKED_DIAMOND_III","0x33FFFF","diamond","rank_diamond_text","TID_PLAYER_RANK_TIER_2"
"Mythic I",13,"TID_RANKED_MYTHIC_I","0xFF00FF","mythic","rank_mythic_text","TID_PLAYER_RANK_TIER_0"
"Mythic II",14,"TID_RANKED_MYTHIC_II","0xFF00FF","mythic","rank_mythic_text","TID_PLAYER_RANK_TIER_1"
"Mythic III",15,"TID_RANKED_MYTHIC_III","0xFF00FF","mythic","rank_mythic_text","TID_PLAYER_RANK_TIER_2"
"Legendary I",16,"TID_RANKED_LEGENDARY_I","0xF75363","legendary","rank_legendary_text","TID_PLAYER_RANK_TIER_0"
"Legendary II",17,"TID_RANKED_LEGENDARY_II","0xF75363","legendary","rank_legendary_text","TID_PLAYER_RANK_TIER_1"
"Legendary III",18,"TID_RANKED_LEGENDARY_III","0xF75363","legendary","rank_legendary_text","TID_PLAYER_RANK_TIER_2"
"Masters",19,"TID_RANKED_MASTERS","0xFFFFFF","masters",,
