Name,PreTaskName,PostTaskName,TaskTypeName,TargetLevel,RewardTypeName,RewardAmount,GalleryTokenAmount,Character
string,string,string,string,int,string,int,int,string
shelly_0,,shelly_1,UnlockHero,1,GalleryStarK2,1,1,ShotgunGirl
shelly_1,shelly_0,shelly_2,UpgradeHero,9,GalleryStarK2,1,1,ShotgunGirl
shelly_2,shelly_1,,UpgradeHero,11,GalleryStarK2,1,1,ShotgunGirl
colt_0,,colt_1,UnlockHero,1,GalleryStarK2,1,1,Gunslinger
colt_1,colt_0,colt_2,UpgradeHero,9,GalleryStarK2,1,1,Gunslinger
colt_2,colt_1,,UpgradeHero,11,GalleryStarK2,1,1,Gunslinger
bull_0,,bull_1,UnlockHero,1,GalleryStarK2,1,1,BullDude
bull_1,bull_0,bull_2,UpgradeHero,9,GalleryStarK2,1,1,BullDude
bull_2,bull_1,,UpgradeHero,11,GalleryStarK2,1,1,BullDude
brock_0,,brock_1,UnlockHero,1,GalleryStarK2,1,1,RocketGirl
brock_1,brock_0,brock_2,UpgradeHero,9,GalleryStarK2,1,1,RocketGirl
brock_2,brock_1,,UpgradeHero,11,GalleryStarK2,1,1,RocketGirl
ricochet_0,,ricochet_1,UnlockHero,1,GalleryStarK2,1,1,TrickshotDude
ricochet_1,ricochet_0,ricochet_2,UpgradeHero,9,GalleryStarK2,1,1,TrickshotDude
ricochet_2,ricochet_1,,UpgradeHero,11,GalleryStarK2,1,1,TrickshotDude
spike_0,,spike_1,UnlockHero,1,GalleryStarK2,1,1,Cactus
spike_1,spike_0,spike_2,UpgradeHero,9,GalleryStarK2,1,1,Cactus
spike_2,spike_1,,UpgradeHero,11,GalleryStarK2,1,1,Cactus
barley_0,,barley_1,UnlockHero,1,GalleryStarK2,1,1,Barkeep
barley_1,barley_0,barley_2,UpgradeHero,9,GalleryStarK2,1,1,Barkeep
barley_2,barley_1,,UpgradeHero,11,GalleryStarK2,1,1,Barkeep
jessie_0,,jessie_1,UnlockHero,1,GalleryStarK2,1,1,Mechanic
jessie_1,jessie_0,jessie_2,UpgradeHero,9,GalleryStarK2,1,1,Mechanic
jessie_2,jessie_1,,UpgradeHero,11,GalleryStarK2,1,1,Mechanic
nita_0,,nita_1,UnlockHero,1,GalleryStarK2,1,1,Shaman
nita_1,nita_0,nita_2,UpgradeHero,9,GalleryStarK2,1,1,Shaman
nita_2,nita_1,,UpgradeHero,11,GalleryStarK2,1,1,Shaman
dynamike_0,,dynamike_1,UnlockHero,1,GalleryStarK2,1,1,TntDude
dynamike_1,dynamike_0,dynamike_2,UpgradeHero,9,GalleryStarK2,1,1,TntDude
dynamike_2,dynamike_1,,UpgradeHero,11,GalleryStarK2,1,1,TntDude
elprimo_0,,elprimo_1,UnlockHero,1,GalleryStarK2,1,1,Luchador
elprimo_1,elprimo_0,elprimo_2,UpgradeHero,9,GalleryStarK2,1,1,Luchador
elprimo_2,elprimo_1,,UpgradeHero,11,GalleryStarK2,1,1,Luchador
mortis_0,,mortis_1,UnlockHero,1,GalleryStarK2,1,1,Undertaker
mortis_1,mortis_0,mortis_2,UpgradeHero,9,GalleryStarK2,1,1,Undertaker
mortis_2,mortis_1,,UpgradeHero,11,GalleryStarK2,1,1,Undertaker
crow_0,,crow_1,UnlockHero,1,GalleryStarK2,1,1,Crow
crow_1,crow_0,crow_2,UpgradeHero,9,GalleryStarK2,1,1,Crow
crow_2,crow_1,,UpgradeHero,11,GalleryStarK2,1,1,Crow
poco_0,,poco_1,UnlockHero,1,GalleryStarK2,1,1,DeadMariachi
poco_1,poco_0,poco_2,UpgradeHero,9,GalleryStarK2,1,1,DeadMariachi
poco_2,poco_1,,UpgradeHero,11,GalleryStarK2,1,1,DeadMariachi
bo_0,,bo_1,UnlockHero,1,GalleryStarK2,1,1,BowDude
bo_1,bo_0,bo_2,UpgradeHero,9,GalleryStarK2,1,1,BowDude
bo_2,bo_1,,UpgradeHero,11,GalleryStarK2,1,1,BowDude
piper_0,,piper_1,UnlockHero,1,GalleryStarK2,1,1,Sniper
piper_1,piper_0,piper_2,UpgradeHero,9,GalleryStarK2,1,1,Sniper
piper_2,piper_1,,UpgradeHero,11,GalleryStarK2,1,1,Sniper
pam_0,,pam_1,UnlockHero,1,GalleryStarK2,1,1,MinigunDude
pam_1,pam_0,pam_2,UpgradeHero,9,GalleryStarK2,1,1,MinigunDude
pam_2,pam_1,,UpgradeHero,11,GalleryStarK2,1,1,MinigunDude
tara_0,,tara_1,UnlockHero,1,GalleryStarK2,1,1,BlackHole
tara_1,tara_0,tara_2,UpgradeHero,9,GalleryStarK2,1,1,BlackHole
tara_2,tara_1,,UpgradeHero,11,GalleryStarK2,1,1,BlackHole
darryl_0,,darryl_1,UnlockHero,1,GalleryStarK2,1,1,BarrelBot
darryl_1,darryl_0,darryl_2,UpgradeHero,9,GalleryStarK2,1,1,BarrelBot
darryl_2,darryl_1,,UpgradeHero,11,GalleryStarK2,1,1,BarrelBot
penny_0,,penny_1,UnlockHero,1,GalleryStarK2,1,1,ArtilleryDude
penny_1,penny_0,penny_2,UpgradeHero,9,GalleryStarK2,1,1,ArtilleryDude
penny_2,penny_1,,UpgradeHero,11,GalleryStarK2,1,1,ArtilleryDude
frank_0,,frank_1,UnlockHero,1,GalleryStarK2,1,1,HammerDude
frank_1,frank_0,frank_2,UpgradeHero,9,GalleryStarK2,1,1,HammerDude
frank_2,frank_1,,UpgradeHero,11,GalleryStarK2,1,1,HammerDude
gene_0,,gene_1,UnlockHero,1,GalleryStarK2,1,1,HookDude
gene_1,gene_0,gene_2,UpgradeHero,9,GalleryStarK2,1,1,HookDude
gene_2,gene_1,,UpgradeHero,11,GalleryStarK2,1,1,HookDude
tick_0,,tick_1,UnlockHero,1,GalleryStarK2,1,1,ClusterBombDude
tick_1,tick_0,tick_2,UpgradeHero,9,GalleryStarK2,1,1,ClusterBombDude
tick_2,tick_1,,UpgradeHero,11,GalleryStarK2,1,1,ClusterBombDude
leon_0,,leon_1,UnlockHero,1,GalleryStarK2,1,1,Ninja
leon_1,leon_0,leon_2,UpgradeHero,9,GalleryStarK2,1,1,Ninja
leon_2,leon_1,,UpgradeHero,11,GalleryStarK2,1,1,Ninja
rosa_0,,rosa_1,UnlockHero,1,GalleryStarK2,1,1,Rosa
rosa_1,rosa_0,rosa_2,UpgradeHero,9,GalleryStarK2,1,1,Rosa
rosa_2,rosa_1,,UpgradeHero,11,GalleryStarK2,1,1,Rosa
carl_0,,carl_1,UnlockHero,1,GalleryStarK2,1,1,Whirlwind
carl_1,carl_0,carl_2,UpgradeHero,9,GalleryStarK2,1,1,Whirlwind
carl_2,carl_1,,UpgradeHero,11,GalleryStarK2,1,1,Whirlwind
bibi_0,,bibi_1,UnlockHero,1,GalleryStarK2,1,1,Baseball
bibi_1,bibi_0,bibi_2,UpgradeHero,9,GalleryStarK2,1,1,Baseball
bibi_2,bibi_1,,UpgradeHero,11,GalleryStarK2,1,1,Baseball
8bit_0,,8bit_1,UnlockHero,1,GalleryStarK2,1,1,Arcade
8bit_1,8bit_0,8bit_2,UpgradeHero,9,GalleryStarK2,1,1,Arcade
8bit_2,8bit_1,,UpgradeHero,11,GalleryStarK2,1,1,Arcade
sandy_0,,sandy_1,UnlockHero,1,GalleryStarK2,1,1,Sandstorm
sandy_1,sandy_0,sandy_2,UpgradeHero,9,GalleryStarK2,1,1,Sandstorm
sandy_2,sandy_1,,UpgradeHero,11,GalleryStarK2,1,1,Sandstorm
bea_0,,bea_1,UnlockHero,1,GalleryStarK2,1,1,BeeSniper
bea_1,bea_0,bea_2,UpgradeHero,9,GalleryStarK2,1,1,BeeSniper
bea_2,bea_1,,UpgradeHero,11,GalleryStarK2,1,1,BeeSniper
emz_0,,emz_1,UnlockHero,1,GalleryStarK2,1,1,Mummy
emz_1,emz_0,emz_2,UpgradeHero,9,GalleryStarK2,1,1,Mummy
emz_2,emz_1,,UpgradeHero,11,GalleryStarK2,1,1,Mummy
mr.p_0,,mr.p_1,UnlockHero,1,GalleryStarK2,1,1,SpawnerDude
mr.p_1,mr.p_0,mr.p_2,UpgradeHero,9,GalleryStarK2,1,1,SpawnerDude
mr.p_2,mr.p_1,,UpgradeHero,11,GalleryStarK2,1,1,SpawnerDude
max_0,,max_1,UnlockHero,1,GalleryStarK2,1,1,Speedy
max_1,max_0,max_2,UpgradeHero,9,GalleryStarK2,1,1,Speedy
max_2,max_1,,UpgradeHero,11,GalleryStarK2,1,1,Speedy
jacky_0,,jacky_1,UnlockHero,1,GalleryStarK2,1,1,Driller
jacky_1,jacky_0,jacky_2,UpgradeHero,9,GalleryStarK2,1,1,Driller
jacky_2,jacky_1,,UpgradeHero,11,GalleryStarK2,1,1,Driller
gale_0,,gale_1,UnlockHero,1,GalleryStarK2,1,1,Blower
gale_1,gale_0,gale_2,UpgradeHero,9,GalleryStarK2,1,1,Blower
gale_2,gale_1,,UpgradeHero,11,GalleryStarK2,1,1,Blower
nani_0,,nani_1,UnlockHero,1,GalleryStarK2,1,1,Controller
nani_1,nani_0,nani_2,UpgradeHero,9,GalleryStarK2,1,1,Controller
nani_2,nani_1,,UpgradeHero,11,GalleryStarK2,1,1,Controller
sprout_0,,sprout_1,UnlockHero,1,GalleryStarK2,1,1,Wally
sprout_1,sprout_0,sprout_2,UpgradeHero,9,GalleryStarK2,1,1,Wally
sprout_2,sprout_1,,UpgradeHero,11,GalleryStarK2,1,1,Wally
surge_0,,surge_1,UnlockHero,1,GalleryStarK2,1,1,PowerLeveler
surge_1,surge_0,surge_2,UpgradeHero,9,GalleryStarK2,1,1,PowerLeveler
surge_2,surge_1,,UpgradeHero,11,GalleryStarK2,1,1,PowerLeveler
colette_0,,colette_1,UnlockHero,1,GalleryStarK2,1,1,Percenter
colette_1,colette_0,colette_2,UpgradeHero,9,GalleryStarK2,1,1,Percenter
colette_2,colette_1,,UpgradeHero,11,GalleryStarK2,1,1,Percenter
amber_0,,amber_1,UnlockHero,1,GalleryStarK2,1,1,FireDude
amber_1,amber_0,amber_2,UpgradeHero,9,GalleryStarK2,1,1,FireDude
amber_2,amber_1,,UpgradeHero,11,GalleryStarK2,1,1,FireDude
lou_0,,lou_1,UnlockHero,1,GalleryStarK2,1,1,IceDude
lou_1,lou_0,lou_2,UpgradeHero,9,GalleryStarK2,1,1,IceDude
lou_2,lou_1,,UpgradeHero,11,GalleryStarK2,1,1,IceDude
byron_0,,byron_1,UnlockHero,1,GalleryStarK2,1,1,SnakeOil
byron_1,byron_0,byron_2,UpgradeHero,9,GalleryStarK2,1,1,SnakeOil
byron_2,byron_1,,UpgradeHero,11,GalleryStarK2,1,1,SnakeOil
edgar_0,,edgar_1,UnlockHero,1,GalleryStarK2,1,1,Enrager
edgar_1,edgar_0,edgar_2,UpgradeHero,9,GalleryStarK2,1,1,Enrager
edgar_2,edgar_1,,UpgradeHero,11,GalleryStarK2,1,1,Enrager
ruffs_0,,ruffs_1,UnlockHero,1,GalleryStarK2,1,1,Ruffs
ruffs_1,ruffs_0,ruffs_2,UpgradeHero,9,GalleryStarK2,1,1,Ruffs
ruffs_2,ruffs_1,,UpgradeHero,11,GalleryStarK2,1,1,Ruffs
stu_0,,stu_1,UnlockHero,1,GalleryStarK2,1,1,Roller
stu_1,stu_0,stu_2,UpgradeHero,9,GalleryStarK2,1,1,Roller
stu_2,stu_1,,UpgradeHero,11,GalleryStarK2,1,1,Roller
belle_0,,belle_1,UnlockHero,1,GalleryStarK2,1,1,ElectroSniper
belle_1,belle_0,belle_2,UpgradeHero,9,GalleryStarK2,1,1,ElectroSniper
belle_2,belle_1,,UpgradeHero,11,GalleryStarK2,1,1,ElectroSniper
squeak_0,,squeak_1,UnlockHero,1,GalleryStarK2,1,1,StickyBomb
squeak_1,squeak_0,squeak_2,UpgradeHero,9,GalleryStarK2,1,1,StickyBomb
squeak_2,squeak_1,,UpgradeHero,11,GalleryStarK2,1,1,StickyBomb
grom_0,,grom_1,UnlockHero,1,GalleryStarK2,1,1,CrossBomber
grom_1,grom_0,grom_2,UpgradeHero,9,GalleryStarK2,1,1,CrossBomber
grom_2,grom_1,,UpgradeHero,11,GalleryStarK2,1,1,CrossBomber
buzz_0,,buzz_1,UnlockHero,1,GalleryStarK2,1,1,RopeDude
buzz_1,buzz_0,buzz_2,UpgradeHero,9,GalleryStarK2,1,1,RopeDude
buzz_2,buzz_1,,UpgradeHero,11,GalleryStarK2,1,1,RopeDude
griff_0,,griff_1,UnlockHero,1,GalleryStarK2,1,1,AssaultShotgun
griff_1,griff_0,griff_2,UpgradeHero,9,GalleryStarK2,1,1,AssaultShotgun
griff_2,griff_1,,UpgradeHero,11,GalleryStarK2,1,1,AssaultShotgun
ash_0,,ash_1,UnlockHero,1,GalleryStarK2,1,1,Knight
ash_1,ash_0,ash_2,UpgradeHero,9,GalleryStarK2,1,1,Knight
ash_2,ash_1,,UpgradeHero,11,GalleryStarK2,1,1,Knight
meg_0,,meg_1,UnlockHero,1,GalleryStarK2,1,1,MechaDude
meg_1,meg_0,meg_2,UpgradeHero,9,GalleryStarK2,1,1,MechaDude
meg_2,meg_1,,UpgradeHero,11,GalleryStarK2,1,1,MechaDude
lolla_0,,lolla_1,UnlockHero,1,GalleryStarK2,1,1,Duplicator
lolla_1,lolla_0,lolla_2,UpgradeHero,9,GalleryStarK2,1,1,Duplicator
lolla_2,lolla_1,,UpgradeHero,11,GalleryStarK2,1,1,Duplicator
fang_0,,fang_1,UnlockHero,1,GalleryStarK2,1,1,KickerDude
fang_1,fang_0,fang_2,UpgradeHero,9,GalleryStarK2,1,1,KickerDude
fang_2,fang_1,,UpgradeHero,11,GalleryStarK2,1,1,KickerDude
eve_0,,eve_1,UnlockHero,1,GalleryStarK2,1,1,Flea
eve_1,eve_0,eve_2,UpgradeHero,9,GalleryStarK2,1,1,Flea
eve_2,eve_1,,UpgradeHero,11,GalleryStarK2,1,1,Flea
janet_0,,janet_1,UnlockHero,1,GalleryStarK2,1,1,JetpackGirl
janet_1,janet_0,janet_2,UpgradeHero,9,GalleryStarK2,1,1,JetpackGirl
janet_2,janet_1,,UpgradeHero,11,GalleryStarK2,1,1,JetpackGirl
bonnie_0,,bonnie_1,UnlockHero,1,GalleryStarK2,1,1,CannonGirl
bonnie_1,bonnie_0,bonnie_2,UpgradeHero,9,GalleryStarK2,1,1,CannonGirl
bonnie_2,bonnie_1,,UpgradeHero,11,GalleryStarK2,1,1,CannonGirl
otis_0,,otis_1,UnlockHero,1,GalleryStarK2,1,1,Silencer
otis_1,otis_0,otis_2,UpgradeHero,9,GalleryStarK2,1,1,Silencer
otis_2,otis_1,,UpgradeHero,11,GalleryStarK2,1,1,Silencer
sam_0,,sam_1,UnlockHero,1,GalleryStarK2,1,1,WeaponThrower
sam_1,sam_0,sam_2,UpgradeHero,9,GalleryStarK2,1,1,WeaponThrower
sam_2,sam_1,,UpgradeHero,11,GalleryStarK2,1,1,WeaponThrower
gus_0,,gus_1,UnlockHero,1,GalleryStarK2,1,1,SoulCollector
gus_1,gus_0,gus_2,UpgradeHero,9,GalleryStarK2,1,1,SoulCollector
gus_2,gus_1,,UpgradeHero,11,GalleryStarK2,1,1,SoulCollector
buster_0,,buster_1,UnlockHero,1,GalleryStarK2,1,1,ShieldTank
buster_1,buster_0,buster_2,UpgradeHero,9,GalleryStarK2,1,1,ShieldTank
buster_2,buster_1,,UpgradeHero,11,GalleryStarK2,1,1,ShieldTank
chester_0,,chester_1,UnlockHero,1,GalleryStarK2,1,1,Jester
chester_1,chester_0,chester_2,UpgradeHero,9,GalleryStarK2,1,1,Jester
chester_2,chester_1,,UpgradeHero,11,GalleryStarK2,1,1,Jester
gray_0,,gray_1,UnlockHero,1,GalleryStarK2,1,1,DoorMan
gray_1,gray_0,gray_2,UpgradeHero,9,GalleryStarK2,1,1,DoorMan
gray_2,gray_1,,UpgradeHero,11,GalleryStarK2,1,1,DoorMan
mandy_0,,mandy_1,UnlockHero,1,GalleryStarK2,1,1,Beamer
mandy_1,mandy_0,mandy_2,UpgradeHero,9,GalleryStarK2,1,1,Beamer
mandy_2,mandy_1,,UpgradeHero,11,GalleryStarK2,1,1,Beamer
artie_0,,artie_1,UnlockHero,1,GalleryStarK2,1,1,Splitter
artie_1,artie_0,artie_2,UpgradeHero,9,GalleryStarK2,1,1,Splitter
artie_2,artie_1,,UpgradeHero,11,GalleryStarK2,1,1,Splitter
willow_0,,willow_1,UnlockHero,1,GalleryStarK2,1,1,Puppeteer
willow_1,willow_0,willow_2,UpgradeHero,9,GalleryStarK2,1,1,Puppeteer
willow_2,willow_1,,UpgradeHero,11,GalleryStarK2,1,1,Puppeteer
maisie_0,,maisie_1,UnlockHero,1,GalleryStarK2,1,1,Maisie
maisie_1,maisie_0,maisie_2,UpgradeHero,9,GalleryStarK2,1,1,Maisie
maisie_2,maisie_1,,UpgradeHero,11,GalleryStarK2,1,1,Maisie
fishtank_0,,fishtank_1,UnlockHero,1,GalleryStarK2,1,1,FishTank
fishtank_1,fishtank_0,fishtank_2,UpgradeHero,9,GalleryStarK2,1,1,FishTank
fishtank_2,fishtank_1,,UpgradeHero,11,GalleryStarK2,1,1,FishTank
cordelius_0,,cordelius_1,UnlockHero,1,GalleryStarK2,1,1,Duelist
cordelius_1,cordelius_0,cordelius_2,UpgradeHero,9,GalleryStarK2,1,1,Duelist
cordelius_2,cordelius_1,,UpgradeHero,11,GalleryStarK2,1,1,Duelist
doug_0,,doug_1,UnlockHero,1,GalleryStarK2,1,1,Reviver
doug_1,doug_0,doug_2,UpgradeHero,9,GalleryStarK2,1,1,Reviver
doug_2,doug_1,,UpgradeHero,11,GalleryStarK2,1,1,Reviver
pearl_0,,pearl_1,UnlockHero,1,GalleryStarK2,1,1,Cooker
pearl_1,pearl_0,pearl_2,UpgradeHero,9,GalleryStarK2,1,1,Cooker
pearl_2,pearl_1,,UpgradeHero,11,GalleryStarK2,1,1,Cooker
chuck_0,,chuck_1,UnlockHero,1,GalleryStarK2,1,1,Conductor
chuck_1,chuck_0,chuck_2,UpgradeHero,9,GalleryStarK2,1,1,Conductor
chuck_2,chuck_1,,UpgradeHero,11,GalleryStarK2,1,1,Conductor
charlie_0,,charlie_1,UnlockHero,1,GalleryStarK2,1,1,Cocooner
charlie_1,charlie_0,charlie_2,UpgradeHero,9,GalleryStarK2,1,1,Cocooner
charlie_2,charlie_1,,UpgradeHero,11,GalleryStarK2,1,1,Cocooner
mico_0,,mico_1,UnlockHero,1,GalleryStarK2,1,1,Leaper
mico_1,mico_0,mico_2,UpgradeHero,9,GalleryStarK2,1,1,Leaper
mico_2,mico_1,,UpgradeHero,11,GalleryStarK2,1,1,Leaper
kit_0,,kit_1,UnlockHero,1,GalleryStarK2,1,1,Attacher
kit_1,kit_0,kit_2,UpgradeHero,9,GalleryStarK2,1,1,Attacher
kit_2,kit_1,,UpgradeHero,11,GalleryStarK2,1,1,Attacher
twins_0,,twins_1,UnlockHero,1,GalleryStarK2,1,1,Twins
twins_1,twins_0,twins_2,UpgradeHero,9,GalleryStarK2,1,1,Twins
twins_2,twins_1,,UpgradeHero,11,GalleryStarK2,1,1,Twins
