Name,ParentItemForSkin,Disabled,FileName,ExportName,ExportNameEnemy,ShadowExportName,GroundGlowExportName,LoopingEffect,AlignToTiles,Value,Value2,Lifetime,TriggerRangeSubTiles,TriggerAreaEffect,DestroyAreaEffect,CanBePickedUp,PickUpOnlyBySource,SpawnEffect,ActivateEffect,SCW,SCWEnemy,SCWTopLayer,UseGeneratedShadow,ShowAlways,RandomStartFrame,Layer
string,String,boolean,string,string,string,string,string,string,boolean,int,int,int,int,string,string,boolean,boolean,string,string,string,string,string,boolean,boolean,int,string
Health,,,sc/effects.sc,soul,soul,,pickup_glow_green,Health_fx,,16000,,,4,,,TRUE,,Spawn_plasmoid,,,,,,,,Above
Speed,,,sc/effects.sc,red_pickup,red_pickup,,pickup_glow_green,Health_fx,,300,,,4,,,TRUE,,Spawn_plasmoid,,,,,,,,Above
DamageAndSpeed,,,sc/effects.sc,,,,pickup_glow_green,power_up_bottle_sparkle,,100,200,,4,,,TRUE,,Spawn_buff,,sc3d/item_power_up_bottle.scw,sc3d/item_power_up_bottle.scw,,TRUE,,,Above
Point,,,sc/effects.sc,blob_pickup,blob_pickup,,pickup_glow,Blob_fx,,,,,4,,,TRUE,,Spawn_plasmoid,,,,,,,,Above
Corpse,,,sc/effects.sc,soul,soul,,pickup_glow_green,Health_fx,,800,,,4,,,TRUE,,Spawn_plasmoid,,,,,,,,Above
OrbSpawner,,,,,,,,,,,,,,,,,,Spawn_plasmoid,,sc3d/mine_gem_spawn.scw,sc3d/mine_gem_spawn.scw,,TRUE,,,GroundLow
Mine,,,sc/effects_brawler.sc,bo_def_mine_blue,bo_def_mine_red,,,,,800,1150,,3,Bo_def_ulti2_area,,TRUE,,bo_def_ulti2_spawn,,,,,,,,Above
SupplyCrate,,,sc/effects.sc,red_pickup,red_pickup,,pickup_glow_green,,,,,,,,,,,Spawn_plasmoid,,,,,,,,Above
BoxOfMines,,,sc/effects.sc,,,,pickup_glow_green,,,3,6,,,,,,,Spawn_plasmoid,,,,,,,,Above
BattleRoyaleBuff,,,sc/effects.sc,,,projectile_shadow,,powerup_fx,,10,400,,4,,,TRUE,,Spawn_plasmoid,,sc3d/item_showdown_boost.scw,sc3d/item_showdown_boost.scw,,TRUE,,,Above
Money,,,sc/effects.sc,wanted_star_pickup,wanted_star_pickup,,pickup_glow_gold,Blob_fx,,1,,,4,,,TRUE,,Spawn_plasmoid,,,,,,,,Above
BoxOfBombs,,,sc/effects.sc,,,,pickup_glow_green,,,4,8,,,,,,,Spawn_plasmoid,,,,,,,,Above
Bomb,,,sc/effects.sc,grenade_01,grenade_01_red,projectile_shadow,,,,800,300,,200,SniperBombExplosion,,TRUE,,Spawn_sniper_bomb,,,,,,,,Above
BoxOfSelfDestructBombs,,,sc/effects.sc,red_pickup,red_pickup,,pickup_glow_green,,,4,40,,,,,,,Spawn_plasmoid,,,,,,,,Above
SelfDestructBomb,,,sc/effects.sc,cannon_projectile_blue,cannon_projectile_red,projectile_shadow,,,,800,1300,,200,SelfDestructExplosion,,TRUE,,artillery_dude_turret_attack,,,,,,,,Above
Scrap,,,sc/effects.sc,,,,pickup_glow_green,power_up_bottle_sparkle,,,,,4,,,TRUE,,Spawn_buff,,sc3d/item_bolt.scw,sc3d/item_bolt.scw,,TRUE,,,Above
SpringBoardLeft,,,,,,,,,TRUE,600,,,3,,,,,Spawn_plasmoid,,sc3d/spring_board.scw,sc3d/spring_board.scw,,TRUE,,,GroundTop
SpringBoardRight,,,,,,,,,TRUE,600,,,3,,,,,Spawn_plasmoid,,sc3d/spring_board.scw,sc3d/spring_board.scw,,TRUE,,,GroundTop
