Name,SubType,Rewards,HeroLevel,ExtraRewards
String,String,int,int,String
BrawlerRareMax,BrawlerMax,16000000,11,
,,16000001,,
,,16000002,,
,,16000003,,
,,16000006,,
,,16000008,,
,,16000010,,
,,16000013,,
,,16000024,,
BrawlerSRMax,BrawlerMax,16000004,11,
,,16000007,,
,,16000009,,
,,16000018,,
,,16000019,,
,,16000022,,
,,16000025,,
,,16000027,,
,,16000034,,
,,16000061,,
BrawlerEpicMax,BrawlerMax,16000014,11,
,,16000015,,
,,16000016,,
,,16000020,,
,,16000026,,
,,16000029,,
,,16000030,,
,,16000035,,
,,16000036,,
,,16000039,,
,,16000043,,
,,16000045,,
,,16000046,,
,,16000048,,
,,16000050,,
,,16000051,,
,,16000053,,
,,16000058,,
,,16000060,,
,,16000065,,
,,16000068,,
,,16000069,,
,,16000072,,
BrawlerMythicMax,BrawlerMax,16000011,11,
,,16000017,,
,,16000021,,
,,16000031,,
,,16000032,,
,,16000037,,
,,16000042,,
,,16000047,,
,,16000064,,
,,16000067,,
,,16000071,,
,,16000073,,
,,16000041,,
,,16000044,,
,,16000049,,
,,16000054,,
,,16000056,,
,,16000057,,
,,16000059,,
,,16000062,,
,,16000066,,
,,16000196,,
,,16000197,,
BrawlerLegendaryMax,BrawlerMax,16000005,11,
,,16000012,,
,,16000023,,
,,16000028,,
,,16000040,,
,,16000052,,
,,16000063,,
,,16000038,,
,,16000070,,
,,16000198,,
BrawlerRarePerfect,BrawlerPerfect,16000000,11,23000255;23000288;23000076;23000135;62000000;62000001;62000002;62000003;62000004;62000017;23000613
,,16000001,,23000319;23000273;23000077;23000138;62000000;62000001;62000002;62000003;62000004;62000017;62000005;23000614
,,16000002,,23000272;23000310;23000078;23000137;62000000;62000001;62000002;62000003;62000004;62000017;62000006;23000616
,,16000003,,23000245;23000316;23000079;23000150;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000006,,23000293;23000250;23000082;23000158;62000000;62000001;62000002;62000003;62000004;62000017
,,16000008,,23000249;23000314;23000084;23000136;62000000;62000001;62000002;62000003;62000004;62000017;62000014
,,16000010,,23000264;23000292;23000086;23000140;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000013,,23000350;23000267;23000089;23000144;62000000;62000001;62000002;62000003;62000004;62000017
,,16000024,,23000348;23000242;23000124;23000147;62000000;62000001;62000002;62000003;62000004;62000017;23000628
BrawlerSRPerfect,BrawlerPerfect,16000004,11,23000409;23000246;23000080;23000156;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000007,,23000251;23000295;23000083;23000149;62000000;62000001;62000002;62000003;62000004;62000017;62000014;23000630
