Name,PageName,TopicName,Rarity,SerialNo,IconName,SlotMovieClipName,DetailName,SEName,Weight,ExtraWeight
String,String,String,int,int,String,String,String,String,int,int
lianggejiahuo1,lianggejiahuo,xibushijie,3,1,show,painting_1,content_2_show_1.png,,10,0
lianggejiahuo2,lianggejiahuo,xibushijie,3,2,show,painting_2,content_2_show_2.png,,10,0
lianggejiahuo3,lianggejiahuo,xibushijie,5,3,show,painting_3,content_2_show_3.png,,10,0
lianggejiahuo4,lianggejiahuo,xibushijie,2,4,show,painting_4,content_2_show_4.png,,10,0
jinbibang1,jinbibang,xibushijie,2,5,show,painting_1,content_3_show_1.png,,10,0
jinbibang2,jinbibang,xibushijie,3,6,show,painting_2,content_3_show_2.png,,10,0
jinbibang3,jinbibang,xibushijie,3,7,show,painting_3,content_3_show_3.png,,10,0
jinbibang4,jinbibang,xibushijie,5,8,show,painting_4,content_3_show_4.png,,10,0
jinbibang5,jinbibang,xibushijie,2,9,show,painting_5,content_3_show_5.png,,10,0
jiqirengongchang1,jiqirengongchang,xibushijie,5,10,show,painting_1,content_5_show_1.png,,10,0
jiqirengongchang2,jiqirengongchang,xibushijie,3,11,show,painting_2,content_5_show_2.png,,10,0
jiqirengongchang3,jiqirengongchang,xibushijie,2,12,show,painting_3,content_5_show_3.png,,10,0
luandouxueyuan1,luandouxueyuan,luandouxueyuan,5,13,show,painting_1,content_8_show_1.png,,10,0
luandouxueyuan2,luandouxueyuan,luandouxueyuan,3,14,show,painting_2,content_8_show_2.png,,10,0
luandouxueyuan3,luandouxueyuan,luandouxueyuan,3,15,show,painting_3,content_8_show_3.png,,10,0
luandouxueyuan4,luandouxueyuan,luandouxueyuan,3,16,show,painting_4,content_8_show_4.png,,10,0
liwushangdian1,liwushangdian,liwushangdian,5,17,show,painting_1,content_1_show_1.png,,10,0
liwushangdian2,liwushangdian,liwushangdian,3,18,show,painting_2,content_1_show_2.png,,10,0
liwushangdian3,liwushangdian,liwushangdian,3,19,show,painting_3,content_1_show_3.png,,10,0
liwushangdian4,liwushangdian,liwushangdian,3,20,show,painting_4,content_1_show_4.png,,10,0
liwushangdian5,liwushangdian,liwushangdian,3,21,show,painting_5,content_1_show_5.png,,10,0
chengfengpolang1,chengfengpolang,haishangchuanqi,5,22,show,painting_1,content_6_show_1.png,,10,0
chengfengpolang2,chengfengpolang,haishangchuanqi,3,23,show,painting_2,content_6_show_2.png,,10,0
chengfengpolang3,chengfengpolang,haishangchuanqi,2,24,show,painting_3,content_6_show_3.png,,10,0
chengfengpolang4,chengfengpolang,haishangchuanqi,2,25,show,painting_4,content_6_show_4.png,,10,0
chengfengpolang5,chengfengpolang,haishangchuanqi,2,26,show,painting_5,content_6_show_5.png,,10,0
mizhouhaiyuan1,mizhouhaiyuan,haishangchuanqi,3,27,show,painting_1,content_7_show_1.png,,10,0
mizhouhaiyuan2,mizhouhaiyuan,haishangchuanqi,3,28,show,painting_2,content_7_show_2.png,,10,0
mizhouhaiyuan3,mizhouhaiyuan,haishangchuanqi,3,29,show,painting_3,content_7_show_3.png,,10,0
mizhouhaiyuan4,mizhouhaiyuan,haishangchuanqi,5,30,show,painting_4,content_7_show_4.png,,10,0
zhiwuaomi1,zhiwuaomi,jizhanshengtaiguan,5,31,show,painting_1,content_9_show_1.png,,10,0
zhiwuaomi2,zhiwuaomi,jizhanshengtaiguan,3,32,show,painting_2,content_9_show_2.png,,10,0
zhiwuaomi3,zhiwuaomi,jizhanshengtaiguan,2,33,show,painting_3,content_9_show_3.png,,10,0
qiyizhilv1,qiyizhilv,jizhanshengtaiguan,5,34,show,painting_1,content_10_show_1.png,,10,0
qiyizhilv2,qiyizhilv,jizhanshengtaiguan,3,35,show,painting_2,content_10_show_2.png,,10,0
qiyizhilv3,qiyizhilv,jizhanshengtaiguan,2,36,show,painting_3,content_10_show_3.png,,10,0
tangguotiandi1,tangguotiandi,tangguodazhan,2,37,show,painting_1,content_13_show_1.png,,10,0
tangguotiandi2,tangguotiandi,tangguodazhan,3,38,show,painting_2,content_13_show_2.png,,10,0
tangguotiandi3,tangguotiandi,tangguodazhan,3,39,show,painting_3,content_13_show_3.png,,10,0
tangguotiandi4,tangguotiandi,tangguodazhan,3,40,show,painting_4,content_13_show_4.png,,10,0
tangguotiandi5,tangguotiandi,tangguodazhan,2,41,show,painting_5,content_13_show_5.png,,10,0
tangguotiandi6,tangguotiandi,tangguodazhan,5,42,show,painting_6,content_13_show_6.png,,10,0
daodangui1,daodangui,tangguodazhan,2,43,show,painting_1,content_4_show_1.png,,10,0
daodangui2,daodangui,tangguodazhan,3,44,show,painting_2,content_4_show_2.png,,10,0
daodangui3,daodangui,tangguodazhan,3,45,show,painting_3,content_4_show_3.png,,10,0
daodangui4,daodangui,tangguodazhan,3,46,show,painting_4,content_4_show_4.png,,10,0
daodangui5,daodangui,tangguodazhan,5,47,show,painting_5,content_4_show_5.png,,10,0
shenyechezhan1,shenyechezhan,jinghunchezhan,5,48,show,painting_1,content_11_show_1.png,,10,0
shenyechezhan2,shenyechezhan,jinghunchezhan,3,49,show,painting_2,content_11_show_2.png,,10,0
shenyechezhan3,shenyechezhan,jinghunchezhan,2,50,show,painting_3,content_11_show_3.png,,10,0
shenyechezhan4,shenyechezhan,jinghunchezhan,2,51,show,painting_4,content_11_show_4.png,,10,0
kuanghuanzhilie1,kuanghuanzhilie,jinghunchezhan,5,52,show,painting_1,content_12_show_1.png,,10,0
kuanghuanzhilie2,kuanghuanzhilie,jinghunchezhan,3,53,show,painting_2,content_12_show_2.png,,10,0
kuanghuanzhilie3,kuanghuanzhilie,jinghunchezhan,3,54,show,painting_3,content_12_show_3.png,,10,0
dianwanshijie1,dianwanshijie,dianwanshijie,5,55,show,painting_1,content_14_show_1.png,,10,10
dianwanshijie2,dianwanshijie,dianwanshijie,3,56,show,painting_2,content_14_show_2.png,,10,10
dianwanshijie3,dianwanshijie,dianwanshijie,2,57,show,painting_3,content_14_show_3.png,,10,10
