Name,WingType,WingPivot_Std,WingOffset_Std,WingScalePercent_Std,WingPivot_Spc,WingOffset_Spc,WingScalePercent_Spc,HaloPivot,HaloOffset,HaloScalePercent,HaloRotateEuler,NothingHereAfterIsExtension,WidgetEffects,ClientShowToHeroSkin,ClientShowPivot,ClientShowOffset,ClientShowPercent,ClientShowRotateEuler,QualifierId,QualifierFrame
string,string,string,string,int,string,string,int,string,string,int,string,string,string,string,string,string,int,string,int,int
BanditGirlDefault,,chest_s,0;-1;-1.7,80,chest_s,0;-1;-1.3,58,head_s,0;30;190,70,0;0;-5,,,,,,,,,
GunSlingerDefault,,chest_s,0;-0.5;-2.5,80,chest_s,0;-1;-2,68,head_s,0;15;170,80,,,,,,,,,,
GunSlingerRockstar,,chest_s,0;-0.5;-2.5,80,chest_s,0;-1;-2,68,head_s,0;15;170,80,,,,,,,,,,
BullGuyDefault,,chest_s,0;-2;-3.5,110,chest_s,0;-1.6;-3,88,head_s,0;30;220,85,0;0;-11,,,,,,,,,
RocketGirlDefault,,hips_s,0;-3;-5,75,hips_s,0;-3.8;-5.3,60,head_s,0;20;155,75,0;0;-10,,,,,,,,,
RocketGirlBeach,,hips_s,0;-3;-5,75,hips_s,0;-3.8;-5.3,60,head_s,0;20;155,75,0;0;-10,,,,,,,,,
TntGuyDefault,,chest_s,0;-0.5;-1.3,80,back_item_01_s,0;-1.5;-6.3,50,head_s,0;0;200,75,,,,,,,,,,
LuchadorDefault,,chest_s,0;-1;-3.4,100,chest_s,0;-2;-2.8,80,head_s,0;15;170,90,0;0;8,,,,,,,,,
TurretDefault,,,,,,,,,,,,,,,,,,,,
TrickshotDefault,,chest_s,0;-3;-3.7,90,chest_s,0;-3.5;-3,75,head_s,0;0;170,75,,,,,,,,,,
CactusDefault,,chest_s,0;-0.5;-3.3,85,chest_s,0;-1.1;-3.2,56,head_s,0;0;190,80,,,,,,,,,,
CactusPink,,chest_s,0;-0.5;-3.3,85,chest_s,0;-1.1;-3.2,56,head_s,0;0;190,80,,,,,,,,,,
BarkeepDefault,,chest_s,0;-0.5;-2,90,chest_s,0;-1;-2.4,64,head_s,0;0;170,75,0;0;9,,,,,,,,,
MechanicDefault,,chest_s,0;0.2;-4,65,hips_s,0;-2;-4,55,head_s,0;0;192,75,0;0;27,,,,,,,,,
ShamanDefault,,chest_s,0;-0.4;-2.2,65,chest_s,0;-0.4;-3.8,46,head_s,0;15;170,80,,,,,,,,,,
ShamanPanda,,chest_s,0;-0.4;-2.2,65,chest_s,0;-0.4;-3.8,46,head_s,0;15;170,80,,,,,,,,,,
ShamanBearDefault,,,,,,,,,,,,,,,,,,,,
ShamanBearPanda,,,,,,,,,,,,,,,,,,,,
ShamanDragon,,chest_s,0;-0.4;-2.2,65,chest_s,0;0;-2.8,46,head_s,0;15;200,80,,,,,,,,,,
UndertakerDefault,,chest_s,0;-0.3;-2,90,chest_s,0;0;-3,56,head_s,0;0;160,80,,,,,,,,,,
CrowDefault,,chest_s,0;-0.5;-1.8,80,chest_s,0;-0.5;-1.6,52,head_s,0;0;175,75,0;0;-45,,,,,,,,,
CrowWhite,,chest_s,0;-0.5;-1.8,80,chest_s,0;-0.5;-1.6,52,head_s,0;0;175,75,0;0;-45,,,,,,,,,
DeadMariachiDefault,,chest_s,0;-1;-1.5,65,chest_s,0;-1.4;-3.7,45,head_s,0;0;210,75,0;0;20,,,,,,,,,
BowDudeDefault,,chest_s,0;-1;-5,100,chest_s,0;-1;-4.9,82,head_s,0;0;175,85,0;0;-55,,,,,,,,,
SniperDefault,,chest_s,0;-1;-2,80,chest_s,0;-1.2;-3.2,48,head_s,0;0;145,60,0;0;23,,,,,,,,,
MinigunDudeDefault,,ChestBone,1.3;6.3;0,100,ChestBone,4;5.5;0,88,HeadBone,0;0;224,85,0;0;6,,,,,,,,,
BullGuyHair,,chest_s,0;-2;-4,110,chest_s,0;-2;-4,88,head_s,0;30;190,85,0;0;-11,,,,,,,,,
TrickshotGold,,chest_s,0;-3;-3.7,90,chest_s,0;-3.5;-3.5,75,head_s,0;0;200,75,,,,,,,,,,
BarkeepGold,,chest_s,0;-0.5;-2,90,chest_s,0;-1;-2.4,64,head_s,0;0;170,75,0;0;9,,,,,,,,,
LuchadorRudo,,chest_s,0;-1;-3.4,100,chest_s,0;-1;-2.8,80,head_s,0;15;170,90,0;0;-20,,,,,,,,,
BanditGirlBandita,,chest_s,0;-1;-1.7,80,chest_s,0;-1;-1.3,58,head_s,0;30;190,70,0;0;-5,,,,,,,,,
LuchadorRey,,chest_s,0;-1.7;-4,100,chest_s,0;-2;-4,78,head_s,0;15;170,90,0;0;10,,,,,,,,,
BallDefault,,,,,,,,,,,,,,,,,,,,
BlackholeDefault,,chest_s,0;-0.7;-2,90,chest_s,0;-1.2;-1.6,50,head_s,0;0;160,75,,,,,,,,,,
HealstationDefault,,,,,,,,,,,,,,,,,,,,
BarrelbotDefault,,chest_s,0;0;-4,100,chest_s,0;-1;-4.6,70,head_s,0;0;250,85,0;0;-7,,,,,,,,,
BlackholePetDefault,,,,,,,,,,,,,,,,,,,,
TntPetDefault,,,,,,,,,,,,,,,,,,,,
RangedBotDefault,,,,,,,,,,,,,,,,,,,,
MeleeFastBotDefault,,,,,,,,,,,,,,,,,,,,
MeleeBotDefault,,,,,,,,,,,,,,,,,,,,
BossBotDefault,,,,,,,,,,,,,,,,,,,,
ArtilleryGalDefault,,chest_s,0;-0.5;-3.6,65,chest_s,0;-0.9;-3.2,52,head_s,0;0;200,85,0;0;6,,,,,,,,,
FrankDefault,,chest_s,0;-2;-3.4,90,chest_s,0;-2;-3,80,head_s,0;0;150,90,,,,,,,,,,
ArtilleryTurretDefault,,,,,,,,,,,,,,,,,,,,
MechanicKnight,,chest_s,0;3;-3.2,65,hips_s,0;-2.2;-3,58,head_s,0;0;202,75,0;0;27,,,,,,,,,
FrankCaveman,,chest_s,0;-2;-3.4,90,chest_s,0;-2;-2.8,80,head_s,0;0;150,90,,,,,,,,,,
TurretDragon,,,,,,,,,,,,,,,,,,,,
MechanicSummer,,chest_s,0;-0.5;-3.5,65,hips_s,0;-1.4;-4.7,50,head_s,0;0;192,75,,,,,,,,,,
TurretSummertime,,,,,,,,,,,,,,,,,,,,
CrowPheonix,,hips_s|spine_lower_s|spine_mid_s|spine_upper_s|chest_s,0;-0.5;-1.8,80,hips_s|spine_lower_s|spine_mid_s|spine_upper_s|chest_s,0;-0.5;-2.6,46,hips_s|spine_lower_s|spine_mid_s|spine_upper_s|chest_s|neck_s,0;0;200,66,0;0;25,,,,,,,,,
UndertakerGreaser,,chest_s,0;-0.3;-2,90,chest_s,0;0;-2,56,head_s,0;0;168,80,0;0;-6,,,,,,,,,
BigBotDefault,,,,,,,,,,,,,,,,,,,,
BanditGirlPrereg,,chest_s,0;-1;-1.7,80,chest_s,0;-1;-1.3,58,head_s,0;30;190,70,0;0;-5,,,,,,,,,
LootBox,,,,,,,,,,,,,,,,,,,,
TntBox,,,,,,,,,,,,,,,,,,,,
Safe,,,,,,,,,,,,,,,,,,,,
TntGuySanta,,chest_s,0;-0.5;-1.3,80,back_item_01_s,0;-1.5;-6,50,head_s,0;0;200,75,,,,,,,,,,
TntGuyChef,,chest_s,0;-0.5;-1.3,80,back_item_01_s,0;-1.5;-6.3,50,head_s,0;0;200,75,,,,,,,,,,
RocketGirlBoombox,,hips_s,0;-3;-5,75,hips_s,0;-3.8;-5.3,60,head_s,0;20;155,75,0;0;-10,,,,,,,,,
BarkeepWizard,,chest_s,0;-0.5;-2.5,90,chest_s,0;-1;-3.2,64,head_s,0;0;170,75,0;0;15,,,,,,,,,
ShamanReindeer,,chest_s,0;-0.4;-2.2,65,chest_s,0;-0.4;-3.8,46,head_s,0;15;195,80,,,,,,,,,,
ArtilleryGalElf,,chest_s,0;-0.5;-3.6,65,chest_s,0;-0.9;-4.2,49,head_s,0;0;200,85,,,,,,,,,,
NinjaDefault,,chest_s,0;-0;-2,80,chest_s,0;-0;-1.5,45,head_s,0;0;175,75,0;0;22,,,,,,,,,
UndertakerHat,,chest_s,0;-0.3;-2,90,chest_s,0;0;-3.1,56,head_s,0;0;200,80,,,,,,,,,,
BullGuyFootbull,,chest_s,0;-2;-3.5,110,chest_s,0;-2;-3.3,88,head_s,0;30;190,85,0;0;-11,,,,,,,,,
ShamanBearReindeer,,,,,,,,,,,,,,,,,,,,
ArtilleryTurretElf,,,,,,,,,,,,,,,,,,,,
HookDefault,,spine_upper_s,0;-0.5;-2.5,90,spine_upper_s,0;-1.1;-4.2,46,head_s,0;0;184,90,,,,,,,,,,
TrickshotPopcorn,,chest_s,0;-3;-3.7,90,chest_s,0;-3.5;-3,75,head_s,0;0;180,75,,,,,,,,,,
GunSlingerHanbok,,chest_s,0;-0.5;-3,80,chest_s,0;-1.2;-2.5,68,head_s,0;15;190,80,,,,,,,,,,
BarrelbotCny,,chest_s,0;0;-4,100,chest_s,0;-1;-4,70,head_s,0;0;250,85,0;0;-7,,,,,,,,,
PocoValentine,,chest_s,0;-1;-1,65,chest_s,0;-1.4;-3.7,45,head_s,0;0;210,75,0;0;20,,,,,,,,,
RocketGirlCny,,hips_s,0;-3;-5,75,hips_s,0;-3.8;-5,60,head_s,0;20;155,75,0;0;-10,,,,,,,,,
WhirlwindDefault,,chest_s,0;-0.5;-2,65,chest_s,0;-0.7;-2.5,56,head_s,0;0;215,85,,,,,,,,,,
RoboWarsBox,,,,,,,,,,,,,,,,,,,,
UndertakerNightwitch,,chest_s,0;-0.3;-2,90,chest_s,0;0.6;-3.1,56,head_s,0;0;150,80,0;0;5,,,,,,,,,
RoboWarsBaseDefault,,,,,,,,,,,,,,,,,,,,
RosaDefault,,chest_s,0;0;-2.8,90,spine_upper_s,0;1.2;-5.3,72,head_s,0;0;200,80,0;0;-8,,,,,,,,,
MineCart,,,,,,,,,,,,,,,,,,,,
ShamanShiba,,chest_s,0;-0.7;-3.2,65,chest_s,0;-0.9;-3.3,46,head_s,0;15;170,80,,,,,,,,,,
ShamanBearShiba,,,,,,,,,,,,,,,,,,,,
