"Name","Rank","MinELO","MaxELO","RequiredBrawlerLevel","RequiredBrawlerCount","RandomRewardContainer","TID","HexColor","FrameLabel","RankIconTextField","RankIconTID","CompetitiveGroup","CompetitiveIcon","CompetitiveBackground","HasFrameReward","Sound","ShowGlobalRank","ShowFormatTooltip"
"string","int","int","int","int","int","String","string","string","string","string","string","int","string","string","boolean","string","boolean","boolean"
"Bronze I",1,0,499,9,3,,"TID_RANKED_BRONZE_I","0xFF9900","bronze","rank_bronze_text","TID_PLAYER_RANK_TIER_0",1,"rank_icon_animated_01","bgr_competitive_bronze",,"Bronze_Rank_1_JIngle",,
"Bronze II",2,500,999,9,3,"RankedStar","TID_RANKED_BRONZE_II","0xFF9900","bronze","rank_bronze_text","TID_PLAYER_RANK_TIER_1",1,"rank_icon_animated_01","bgr_competitive_bronze","TRUE","Bronze_Rank_2_JIngle",,
"Bronze III",3,1000,1499,9,3,"RankedStar","TID_RANKED_BRONZE_III","0xFF9900","bronze","rank_bronze_text","TID_PLAYER_RANK_TIER_2",1,"rank_icon_animated_01","bgr_competitive_bronze",,"Bronze_Rank_3_JIngle",,
"Silver I",4,1500,1999,9,3,"EpicStar","TID_RANKED_SILVER_I","0xC9C6F1","silver","rank_silver_text","TID_PLAYER_RANK_TIER_0",2,"rank_icon_animated_02","bgr_competitive_silver","TRUE","Silver_Rank_1_JIngle",,
"Silver II",5,2000,2499,9,3,"RankedStar","TID_RANKED_SILVER_II","0xC9C6F1","silver","rank_silver_text","TID_PLAYER_RANK_TIER_1",2,"rank_icon_animated_02","bgr_competitive_silver",,"Silver_Rank_2_JIngle",,
"Silver III",6,2500,2999,9,3,"RankedStar","TID_RANKED_SILVER_III","0xC9C6F1","silver","rank_silver_text","TID_PLAYER_RANK_TIER_2",2,"rank_icon_animated_02","bgr_competitive_silver",,"Silver_Rank_3_JIngle",,
"Gold I",7,3000,3499,9,3,"MythicStar","TID_RANKED_GOLD_I","0xFFEF49","gold","rank_gold_text","TID_PLAYER_RANK_TIER_0",3,"rank_icon_animated_03","bgr_competitive_gold","TRUE","Gold_Rank_1_Jingle",,
"Gold II",8,3500,3999,9,3,"RankedStar","TID_RANKED_GOLD_II","0xFFEF49","gold","rank_gold_text","TID_PLAYER_RANK_TIER_1",3,"rank_icon_animated_03","bgr_competitive_gold",,"Gold_Rank_2_Jingle",,
"Gold III",9,4000,4499,9,3,"RankedStar","TID_RANKED_GOLD_III","0xFFEF49","gold","rank_gold_text","TID_PLAYER_RANK_TIER_2",3,"rank_icon_animated_03","bgr_competitive_gold",,"Gold_Rank_3_Jingle",,
"Diamond I",10,4500,4999,9,12,"MythicStar","TID_RANKED_DIAMOND_I","0x33FFFF","diamond","rank_diamond_text","TID_PLAYER_RANK_TIER_0",4,"rank_icon_animated_04","bgr_competitive_diamond","TRUE","Diamond_Rank_1_Jingle",,"TRUE"
"Diamond II",11,5000,5499,9,12,"RankedStar","TID_RANKED_DIAMOND_II","0x33FFFF","diamond","rank_diamond_text","TID_PLAYER_RANK_TIER_1",4,"rank_icon_animated_04","bgr_competitive_diamond",,"Diamond_Rank_2_Jingle",,
"Diamond III",12,5500,5999,9,12,"RankedStar","TID_RANKED_DIAMOND_III","0x33FFFF","diamond","rank_diamond_text","TID_PLAYER_RANK_TIER_2",4,"rank_icon_animated_04","bgr_competitive_diamond",,"Diamond_Rank_3_Jingle",,
"Mythic I",13,6000,6499,9,12,"LegendaryStar","TID_RANKED_MYTHIC_I","0xFF00FF","mythic","rank_mythic_text","TID_PLAYER_RANK_TIER_0",5,"rank_icon_animated_05","bgr_competitive_mythic","TRUE","Mythic_Rank_1_Jingle",,
"Mythic II",14,6500,6999,9,12,"RankedStar","TID_RANKED_MYTHIC_II","0xFF00FF","mythic","rank_mythic_text","TID_PLAYER_RANK_TIER_1",5,"rank_icon_animated_05","bgr_competitive_mythic",,"Mythic_Rank_2_Jingle",,
"Mythic III",15,7000,7499,9,12,"RankedStar","TID_RANKED_MYTHIC_III","0xFF00FF","mythic","rank_mythic_text","TID_PLAYER_RANK_TIER_2",5,"rank_icon_animated_05","bgr_competitive_mythic",,"Mythic_Rank_3_Jingle",,
"Legendary I",16,7500,7999,9,12,"LegendaryStar","TID_RANKED_LEGENDARY_I","0xF75363","legendary","rank_legendary_text","TID_PLAYER_RANK_TIER_0",6,"rank_icon_animated_06","bgr_competitive_legendary","TRUE","Legendary_Rank_1_Jingle",,
"Legendary II",17,8000,8499,9,12,"RankedStar","TID_RANKED_LEGENDARY_II","0xF75363","legendary","rank_legendary_text","TID_PLAYER_RANK_TIER_1",6,"rank_icon_animated_06","bgr_competitive_legendary",,"Legendary_Rank_2_Jingle",,
"Legendary III",18,8500,8999,9,12,"RankedStar","TID_RANKED_LEGENDARY_III","0xF75363","legendary","rank_legendary_text","TID_PLAYER_RANK_TIER_2",6,"rank_icon_animated_06","bgr_competitive_legendary",,"Legendary_Rank_3_Jingle",,
"Masters",19,9000,,9,12,"LegendaryStar","TID_RANKED_MASTERS","0xFFFFFF","masters",,,7,"rank_icon_animated_07","bgr_competitive_masters","TRUE","Masters_Rank_1_Jingle","TRUE",
